"Home \ Away","AST","BIR","BLB","BLP","BOL","BRI","BRY","CAR","CRL","CHA","CRY","DER","FUL","HUD","HUL","MID","MIL","NWC","OXF","POR","PNE","SHU"
"Aston Villa","","1–0","1–1","0–1","1–1","1–0","1–0","2–0","0–0","0–0","1–1","0–1","1–1","1–0","1–1","1–0","1–1","2–1","2–0","2–0","0–1","3–1"
"Birmingham","4–0","","3–1","1–0","5–0","2–0","1–3","2–0","3–0","0–0","0–1","1–1","5–4","5–1","5–2","3–1","1–2","1–2","0–1","5–2","3–1","2–2"
"Blackburn Rovers","2–0","3–2","","1–1","2–3","1–3","3–0","1–0","0–2","0–1","1–2","1–1","2–2","0–0","1–1","1–1","2–4","3–0","1–0","3–1","1–0","1–0"
"Blackpool","1–1","2–1","0–1","","1–0","2–2","6–0","1–2","1–0","2–3","3–0","2–3","2–2","0–0","2–0","1–1","1–0","2–1","1–0","1–1","1–1","1–1"
"Bolton Wanderers","4–1","0–0","1–1","1–4","","1–0","2–0","1–2","0–1","3–0","2–2","1–2","3–2","2–3","1–0","0–0","0–4","1–1","1–1","1–0","0–0","4–2"
"Bristol City","1–0","0–0","1–0","1–1","2–2","","2–1","0–3","3–0","2–0","1–1","0–0","6–0","0–1","1–1","3–0","0–0","0–1","2–0","2–2","2–1","1–1"
"Bury","3–2","1–2","1–3","2–0","2–1","1–2","","3–3","3–2","2–3","2–1","0–1","5–1","1–1","0–0","2–3","0–0","1–2","3–1","3–2","0–1","0–2"
"Cardiff City","1–1","4–0","2–1","1–0","0–2","3–0","2–0","","2–1","0–1","0–4","1–1","0–2","0–2","3–0","2–0","2–0","3–1","5–0","2–2","1–0","4–1"
"Carlisle United","0–1","2–3","4–1","1–0","1–1","3–0","2–0","1–0","","1–1","1–2","1–1","2–0","0–0","1–0","3–0","1–0","0–4","0–2","0–0","1–0","0–1"
"Charlton Athletic","1–1","3–1","4–0","0–0","2–2","0–0","2–2","4–1","1–1","","1–1","2–0","5–3","1–0","1–1","2–0","3–4","2–1","1–0","2–1","0–1","2–1"
"Crystal Palace","4–2","3–2","1–0","1–2","2–1","2–1","1–0","3–1","5–0","3–3","","1–2","3–2","2–1","2–0","0–0","4–2","2–0","1–1","3–1","1–2","1–1"
"Derby County","3–1","1–0","4–2","1–1","5–1","5–0","2–0","2–0","3–3","2–1","0–1","","1–0","1–0","2–2","3–2","1–0","1–1","2–0","2–1","1–0","1–0"
"Fulham","1–1","2–0","1–1","0–0","0–2","1–0","0–0","1–5","0–2","0–1","1–0","0–1","","4–3","0–0","0–3","2–0","1–3","0–1","2–2","2–1","2–2"
"Huddersfield Town","3–1","0–0","2–1","2–1","3–0","4–1","4–1","3–0","2–0","0–0","0–0","2–0","3–0","","0–3","3–0","0–2","2–2","2–1","0–0","1–1","1–0"
"Hull City","1–0","1–2","1–3","2–2","1–0","1–1","3–0","3–3","1–2","5–2","2–0","1–0","4–0","3–0","","3–0","2–0","0–1","0–0","2–2","1–1","1–1"
"Middlesbrough","0–0","3–1","2–0","2–1","0–0","4–1","2–3","0–0","1–0","1–0","4–0","0–0","2–0","1–1","5–3","","1–1","0–0","2–0","1–0","2–1","3–1"
"Millwall","0–1","1–3","2–2","1–2","3–1","2–2","1–0","2–0","1–1","3–2","0–2","0–1","2–0","5–1","2–3","2–0","","3–1","2–1","0–0","0–0","1–0"
"Norwich City","1–1","1–1","3–1","0–1","2–0","1–1","2–2","3–1","2–1","0–1","0–1","1–4","2–0","1–0","1–2","0–2","0–3","","1–1","0–1","1–1","2–0"
"Oxford United","1–0","1–2","2–1","0–0","1–1","0–0","2–2","0–2","0–1","0–1","0–2","0–2","1–0","3–0","1–1","2–4","1–0","0–2","","3–1","2–1","1–0"
"Portsmouth","2–0","0–0","0–1","1–0","2–2","1–1","1–2","1–3","2–1","4–1","3–3","0–1","3–1","1–2","1–0","3–0","3–0","5–2","3–0","","1–1","2–1"
"Preston North End","1–0","4–1","1–1","1–0","1–4","1–0","3–0","0–1","2–2","1–1","0–0","0–0","0–0","1–0","1–0","1–2","0–1","1–3","2–1","0–0","","2–2"
"Sheffield United","3–1","2–0","3–0","2–1","5–2","2–1","5–0","2–2","0–1","2–0","1–1","2–0","1–0","0–0","1–1","1–3","1–0","1–0","1–2","2–0","4–0",""
