"Home \ Away","BAR","BRW","B&BA","B&HA","BRR","CRE","GIL","HAR","LUT","MAN","NOR","OLD","ORI","PLY","REA","ROT","SHR","SOU","STP","SWI","TOR","TRA","WAL","WAT"
"Barnsley","","2–3","1–0","4–0","4–2","2–2","0–1","2–1","3–1","2–0","2–1","0–1","2–2","0–0","1–0","0–1","1–0","2–1","2–0","1–1","1–0","2–2","0–0","3–2"
"Barrow","0–1","","0–2","1–1","3–0","2–0","2–1","1–2","0–0","3–0","0–2","2–1","3–1","1–0","0–0","2–0","2–1","0–0","3–3","0–3","2–0","1–0","1–1","1–4"
"Bournemouth & Boscombe Athletic","3–0","1–0","","2–0","0–0","4–0","2–0","4–0","0–2","2–1","3–2","3–1","0–1","0–1","1–1","1–0","2–0","2–1","1–0","2–0","3–0","3–4","1–0","1–3"
"Brighton & Hove Albion","4–1","4–1","4–1","","3–1","3–1","0–2","1–1","1–0","1–2","1–1","6–0","2–0","0–0","2–0","2–2","3–0","4–0","1–1","1–3","1–1","2–2","3–0","0–1"
"Bristol Rovers","4–2","4–2","3–2","1–1","","1–0","5–1","2–1","0–0","6–2","2–1","1–0","0–1","1–1","1–3","1–1","1–2","2–1","2–0","2–1","1–1","0–2","0–1","1–1"
"Crewe Alexandra","1–4","1–1","0–2","1–0","6–1","","4–2","1–0","2–0","2–1","2–2","3–0","2–0","2–1","1–2","1–0","0–1","3–3","1–1","1–2","2–1","2–3","0–1","2–3"
"Gillingham","1–1","2–0","0–0","5–0","0–2","1–0","","2–2","1–3","1–1","2–0","2–0","2–2","1–0","2–2","2–0","4–1","0–0","0–0","2–0","0–0","1–1","4–0","0–5"
"Hartlepool","2–1","1–4","1–1","2–5","1–0","0–0","1–1","","1–0","1–1","3–0","0–2","0–0","1–1","2–0","0–3","0–0","2–2","0–0","0–0","2–2","2–4","1–1","2–1"
"Luton Town","5–1","5–1","1–1","3–0","3–0","2–0","1–1","3–0","","4–2","2–1","4–0","2–1","2–0","2–1","3–1","2–1","0–0","4–1","2–0","1–0","3–1","1–0","2–1"
"Mansfield Town","0–0","4–2","3–1","3–2","0–0","2–1","2–0","2–0","1–0","","0–2","4–0","0–2","1–0","1–1","0–1","1–2","3–1","0–0","2–0","2–1","1–1","2–1","3–0"
"Northampton Town","3–1","4–0","1–3","1–1","2–2","0–1","0–1","0–0","0–2","0–0","","1–1","4–1","1–1","4–2","1–0","3–4","1–0","1–1","2–6","1–1","2–1","2–1","2–0"
"Oldham Athletic","1–1","0–1","2–0","2–0","2–1","3–0","1–0","1–2","0–1","2–2","1–1","","3–1","0–2","1–1","0–0","2–2","0–1","5–2","2–3","3–1","1–2","1–0","0–3"
"Orient","1–1","1–2","1–0","3–2","2–1","2–0","1–1","0–1","0–0","1–0","0–0","3–0","","1–2","4–2","3–3","4–0","0–2","2–0","1–0","0–1","0–0","0–0","1–1"
"Plymouth Argyle","0–0","4–1","1–1","1–1","3–1","2–2","1–1","3–0","2–0","1–0","0–1","1–1","2–1","","3–1","1–2","1–1","0–4","2–2","2–1","1–2","1–0","1–0","1–2"
"Reading","3–2","0–1","0–1","1–0","2–1","3–1","3–2","7–0","1–1","2–1","1–0","4–1","0–1","1–2","","1–0","2–4","1–0","4–2","0–1","1–1","2–0","2–2","0–1"
"Rotherham United","0–0","3–1","1–1","1–1","3–2","3–0","1–0","1–1","2–2","3–0","0–1","1–2","3–1","0–1","4–1","","1–0","3–1","4–1","1–1","1–0","4–1","0–1","0–2"
"Shrewsbury Town","0–0","1–0","1–0","1–2","1–0","1–1","1–1","1–1","3–1","1–1","1–0","0–1","1–0","1–0","3–3","1–0","","5–1","2–1","1–1","1–0","0–1","0–1","1–1"
"Southport","1–0","1–0","2–1","2–3","3–0","4–0","4–2","3–0","1–1","3–2","2–0","3–1","2–2","2–0","1–1","0–0","5–0","","5–0","1–1","2–2","2–2","2–1","1–1"
"Stockport County","1–1","4–1","0–1","3–1","0–1","2–1","5–0","1–0","2–0","1–1","1–0","0–0","5–2","2–3","2–2","3–1","4–3","3–0","","2–1","1–2","1–0","2–2","4–2"
"Swindon Town","2–0","2–0","3–0","1–0","2–2","1–0","1–0","1–1","0–0","1–0","1–0","5–1","1–0","3–0","0–0","1–0","3–0","5–1","1–0","","2–1","1–0","1–0","0–1"
"Torquay United","3–1","3–1","0–0","1–1","0–1","2–0","2–0","3–0","1–1","0–1","2–0","3–1","0–0","0–1","1–0","1–0","2–0","3–0","0–1","0–1","","2–5","4–2","2–1"
"Tranmere Rovers","3–1","0–3","2–1","0–2","1–2","0–1","2–0","1–0","0–2","2–1","2–1","6–2","3–0","2–2","2–1","0–0","3–1","1–0","1–1","3–5","0–1","","2–1","0–3"
"Walsall","3–0","1–1","0–0","4–0","2–2","1–1","2–1","1–2","2–0","3–1","0–1","2–1","2–1","1–1","2–2","0–0","2–0","3–0","2–0","0–2","0–1","1–1","","0–0"
"Watford","1–2","4–0","1–0","1–0","1–0","4–0","2–1","0–0","1–0","2–1","3–0","2–0","0–0","1–0","1–0","5–1","2–0","1–0","0–1","0–0","0–0","3–1","0–0",""
