"Home \ Away","ARS","BUR","CHE","COV","CRY","DER","EVE","IPS","LEE","LIV","MCI","MUN","NEW","NOT","SHW","SOU","STK","SUN","TOT","WBA","WHU","WOL"
"Arsenal","","3–2","0–3","0–1","2–0","4–0","0–1","0–0","1–1","2–1","1–1","2–2","0–0","2–1","0–0","2–2","0–0","3–1","2–3","1–1","2–1","2–2"
"Burnley","0–1","","3–1","0–0","4–2","1–1","1–2","0–1","1–1","1–5","1–1","1–1","0–1","5–0","4–2","1–1","1–1","3–0","0–2","2–1","3–2","1–3"
"Chelsea","3–0","2–0","","1–0","1–1","2–2","1–1","1–0","2–5","2–1","3–1","2–1","0–0","1–1","3–1","3–1","1–0","3–1","1–0","2–0","0–0","2–2"
"Coventry City","2–0","1–1","0–3","","2–2","1–1","0–1","3–1","1–2","2–3","3–0","1–2","1–0","3–2","1–1","4–0","0–3","1–1","3–2","3–1","2–2","1–0"
"Crystal Palace","1–5","1–2","1–5","0–3","","0–1","0–0","1–1","1–1","1–3","1–0","2–2","0–3","1–1","0–2","2–0","3–1","2–0","0–2","1–3","0–0","2–1"
"Derby County","3–2","0–0","2–2","1–3","3–1","","2–1","3–1","4–1","4–0","0–1","2–0","2–0","0–2","1–0","3–0","0–0","3–0","5–0","2–0","3–0","2–0"
"Everton","2–2","2–1","5–2","0–0","2–1","1–0","","3–0","3–2","0–3","1–0","3–0","0–0","1–0","2–1","4–2","6–2","3–1","3–2","2–0","2–0","1–0"
"Ipswich Town","2–1","0–1","1–4","0–1","2–0","0–1","0–3","","3–2","2–2","1–1","0–1","2–0","0–0","1–0","2–0","1–1","2–0","2–0","0–1","1–0","1–1"
"Leeds United","0–0","2–1","2–0","3–1","2–0","2–0","2–1","4–0","","1–1","1–3","2–2","1–1","6–1","2–0","1–3","2–1","2–0","3–1","5–1","4–1","3–1"
"Liverpool","0–1","3–3","4–1","2–1","3–0","0–2","0–2","2–0","0–0","","3–2","1–4","0–0","1–1","3–0","4–1","3–1","2–0","0–0","1–1","2–0","0–0"
"Manchester City","1–1","1–1","0–0","3–1","0–1","0–1","1–1","1–0","1–2","0–2","","4–0","2–1","1–1","4–1","1–0","0–1","0–1","1–1","2–1","1–5","1–0"
"Manchester United","2–1","3–3","0–2","1–1","1–1","1–0","0–2","2–1","2–2","1–0","1–2","","0–0","1–1","2–2","1–4","1–1","3–1","3–1","7–0","5–2","0–0"
"Newcastle United","3–1","0–1","0–1","4–0","0–0","0–1","1–2","4–0","2–1","1–0","1–0","5–1","","3–1","3–1","2–1","3–1","3–0","1–2","1–0","4–1","1–1"
"Nottingham Forest","1–1","1–1","1–1","1–4","0–0","1–3","1–1","1–0","1–4","1–0","2–2","1–2","2–2","","2–1","2–1","0–0","2–1","2–2","1–0","1–0","4–2"
"Sheffield Wednesday","1–1","2–0","1–3","0–1","0–0","1–0","0–1","2–2","1–2","1–1","1–2","1–3","1–0","2–1","","1–1","0–2","2–0","0–1","2–0","2–3","2–3"
"Southampton","0–2","1–1","2–2","0–0","1–1","1–1","2–1","4–2","1–1","0–1","0–0","0–3","1–1","1–2","4–0","","0–0","1–1","2–2","0–2","1–1","2–3"
"Stoke City","0–0","2–1","1–2","2–0","1–0","1–0","0–1","3–3","1–1","0–2","2–0","2–2","0–1","1–1","2–1","2–1","","4–2","1–1","3–2","2–1","1–1"
"Sunderland","1–1","0–1","0–0","0–0","0–0","1–1","0–0","2–1","0–0","0–1","0–4","1–1","1–1","2–1","1–2","2–2","0–3","","2–1","2–2","0–1","2–1"
"Tottenham Hotspur","1–0","4–0","1–1","1–2","2–0","2–1","0–1","3–2","1–1","0–2","0–3","2–1","2–1","4–1","1–0","0–1","1–0","0–1","","2–0","0–2","0–1"
"West Bromwich Albion","0–1","0–1","3–1","0–1","3–2","0–2","2–0","2–2","1–1","2–2","3–0","2–1","2–2","4–0","3–0","1–0","1–3","3–1","1–1","","3–1","3–3"
"West Ham United","1–1","3–1","2–0","1–2","2–1","3–0","0–1","0–0","2–2","1–0","0–4","0–0","1–0","1–1","3–0","0–0","3–3","1–1","0–1","1–3","","3–0"
"Wolverhampton Wanderers","2–0","1–1","3–0","0–1","1–1","1–1","2–3","2–0","1–2","0–1","1–3","0–0","1–1","3–3","2–2","2–1","3–1","1–0","2–2","1–0","1–0",""
