"Home \ Away","AST","BIR","BLB","BLP","BOL","BRI","CAR","CRL","CHA","HUD","HUL","LEI","MID","MIL","NWC","OXF","POR","PNE","QPR","SHU","SWI","WAT"
"Aston Villa","","0–0","1–1","0–0","3–0","0–2","1–1","1–0","1–0","4–1","3–2","0–1","2–0","2–2","0–1","0–0","3–5","0–0","1–1","1–0","0–2","0–2"
"Birmingham","0–2","","3–0","2–3","2–0","2–2","1–1","1–1","3–0","2–2","2–4","0–1","0–0","2–0","3–1","1–3","1–1","1–0","3–0","2–1","2–0","0–0"
"Blackburn Rovers","2–0","1–1","","2–1","3–1","3–3","1–0","1–0","3–0","0–2","2–1","3–1","4–0","4–0","3–1","2–0","0–3","4–2","0–1","1–2","2–0","1–0"
"Blackpool","2–1","2–0","0–0","","1–1","1–0","3–2","1–1","2–0","2–0","0–1","1–1","1–1","1–1","0–0","1–0","2–1","0–0","1–1","1–0","3–2","0–3"
"Bolton Wanderers","2–1","2–0","1–0","0–2","","3–1","0–1","0–0","1–1","1–1","2–1","2–3","2–1","4–1","0–0","1–1","0–1","2–0","6–4","0–0","0–1","2–3"
"Bristol City","1–0","2–0","4–0","2–1","2–2","","0–2","0–0","6–0","1–2","3–1","0–0","0–0","1–1","4–0","2–0","3–0","0–0","2–0","0–1","3–3","1–0"
"Cardiff City","4–0","3–1","0–0","2–2","2–1","1–0","","1–1","1–0","0–1","6–0","1–1","1–0","0–0","0–1","0–0","2–0","2–1","4–2","3–0","2–2","3–1"
"Carlisle United","1–1","4–3","0–1","1–2","2–1","2–1","2–3","","1–1","0–2","2–1","2–2","1–0","4–0","2–1","1–1","3–3","1–0","3–2","0–1","2–2","5–0"
"Charlton Athletic","1–0","0–1","0–0","0–2","1–1","2–1","0–0","2–1","","1–2","1–4","0–5","0–2","2–2","3–0","1–0","2–2","2–1","1–1","3–2","1–1","0–0"
"Huddersfield Town","2–0","2–0","0–1","2–0","1–0","3–0","1–0","1–0","4–0","","2–2","1–1","0–0","0–0","1–1","1–0","4–0","3–2","2–0","2–1","1–1","3–1"
"Hull City","3–1","0–0","3–0","1–0","4–2","2–0","1–1","2–4","1–1","2–3","","4–1","3–2","2–1","1–0","3–1","3–3","3–1","1–2","2–3","1–1","1–1"
"Leicester City","1–0","3–1","2–1","0–0","2–2","2–0","1–2","1–2","2–2","1–1","2–2","","2–1","1–1","3–0","2–1","2–1","3–0","2–1","2–1","0–2","3–1"
"Middlesbrough","1–0","4–2","4–1","0–2","4–0","2–0","2–1","0–2","2–0","1–1","1–0","2–1","","3–1","0–0","2–0","2–1","1–1","1–0","1–0","0–0","3–1"
"Millwall","2–0","6–2","3–1","1–3","2–0","1–1","1–2","4–2","1–1","1–0","2–1","0–1","1–1","","1–0","0–0","3–1","2–1","2–0","1–0","3–1","1–0"
"Norwich City","3–1","6–0","0–1","3–1","1–0","4–1","1–1","1–0","1–1","1–2","2–1","3–0","2–0","2–1","","2–0","0–0","1–2","1–0","1–1","1–0","1–1"
"Oxford United","2–2","2–0","1–0","2–0","3–1","2–0","1–1","1–0","1–1","1–2","0–0","0–1","1–1","0–0","1–0","","0–2","3–1","0–0","0–0","0–0","2–1"
"Portsmouth","0–0","1–1","2–0","2–3","1–1","0–0","3–0","4–0","5–1","1–3","1–4","2–3","2–3","0–1","1–4","2–1","","4–0","1–3","1–5","3–1","3–1"
"Preston North End","1–1","4–1","0–0","0–3","1–3","0–1","1–2","3–1","4–1","1–3","3–3","2–1","0–1","1–1","1–1","0–1","1–2","","0–0","2–1","3–1","3–0"
"Queens Park Rangers","4–2","2–1","2–3","6–1","0–4","2–2","2–1","0–0","1–1","4–2","3–0","1–1","4–0","3–2","4–0","1–2","2–0","0–0","","2–1","2–0","2–1"
"Sheffield United","5–0","6–0","4–0","2–3","0–1","2–1","1–0","1–0","2–0","0–0","3–0","1–0","3–0","3–1","1–0","5–1","5–0","2–0","2–0","","1–2","1–1"
"Swindon Town","1–1","4–1","1–0","1–1","3–2","1–1","2–1","2–2","5–0","2–1","1–0","1–1","0–3","2–1","2–0","0–0","3–1","1–0","0–0","2–1","","1–0"
"Watford","3–0","2–3","0–2","0–1","0–0","2–0","2–1","1–2","1–1","1–1","1–1","2–1","2–3","1–1","1–1","2–0","4–0","0–0","0–1","1–2","0–0",""
