"Home \ Away","BAR","BRW","B&BA","BRA","B&HA","BRR","BRY","DON","FUL","GIL","HAL","LUT","MAN","ORI","PLY","REA","ROC","ROT","SHR","SOU","STP","TOR","TRA","WAL"
"Barnsley","","2–1","1–0","3–2","1–2","2–0","3–3","2–1","3–3","5–1","2–0","2–1","1–1","1–2","0–1","4–3","1–0","1–0","1–1","1–1","1–0","3–0","1–1","2–0"
"Barrow","1–1","","1–1","0–1","1–1","1–1","3–1","1–1","3–1","1–1","0–1","2–1","0–1","1–1","1–1","2–2","2–0","1–2","2–0","1–0","4–1","0–4","0–3","0–1"
"Bournemouth & Boscombe Athletic","3–1","0–0","","0–0","0–0","2–2","2–0","3–1","2–2","2–1","0–0","0–1","1–0","0–2","1–3","1–2","0–3","1–0","3–3","1–0","1–0","1–2","2–2","2–2"
"Bradford City","1–1","3–3","8–1","","1–0","2–4","0–1","3–0","0–0","1–0","2–1","1–1","0–1","0–1","1–0","4–0","0–3","0–1","2–2","1–0","1–0","2–1","1–1","3–0"
"Brighton & Hove Albion","2–0","2–0","1–1","2–1","","0–3","2–0","1–0","2–1","3–1","4–0","1–2","1–2","0–0","2–0","2–1","2–0","2–1","1–0","1–0","1–0","2–2","2–0","1–1"
"Bristol Rovers","3–3","2–1","5–2","1–1","0–2","","2–1","1–1","3–2","1–2","2–0","3–0","4–1","1–0","3–1","1–1","3–3","3–0","1–3","2–0","1–0","3–1","3–0","3–1"
"Bury","1–2","4–0","1–0","0–2","1–2","2–2","","1–1","1–0","1–3","1–1","1–3","1–0","0–1","3–1","2–1","2–1","2–1","2–2","4–3","4–1","1–0","8–0","4–2"
"Doncaster Rovers","1–0","3–2","2–1","1–1","2–0","3–1","1–1","","0–1","1–0","0–1","2–0","2–0","0–1","1–1","2–3","3–1","1–2","2–1","1–0","0–1","1–0","2–1","0–0"
"Fulham","0–0","2–1","1–1","0–0","4–1","3–1","2–4","1–1","","2–1","2–1","0–1","1–1","1–1","4–3","2–1","2–0","3–2","3–1","3–2","1–1","1–1","1–1","4–0"
"Gillingham","1–3","0–1","0–0","1–1","0–1","1–0","1–0","2–1","2–0","","2–0","0–2","3–3","0–1","4–0","1–3","2–2","1–1","2–1","2–4","0–2","2–4","0–0","1–3"
"Halifax Town","0–2","3–0","4–1","0–0","1–0","1–1","2–0","1–1","0–8","1–1","","0–0","1–2","1–1","2–0","1–1","3–1","4–2","1–0","1–0","1–0","1–1","2–2","0–1"
"Luton Town","1–1","3–0","0–0","5–0","1–1","4–0","0–0","4–0","1–0","1–2","1–1","","2–2","3–2","0–2","5–0","2–0","2–1","2–2","1–0","2–0","1–1","2–0","3–0"
"Mansfield Town","2–0","4–2","2–0","2–1","1–0","1–1","3–1","1–2","2–3","1–0","3–3","0–0","","4–1","1–2","2–1","1–2","2–0","2–0","5–0","4–1","2–0","1–2","0–0"
"Orient","4–2","2–0","3–0","2–1","1–1","0–0","3–0","2–0","3–1","1–2","1–0","1–0","1–0","","4–1","0–1","2–2","1–1","1–0","3–2","3–0","1–1","2–0","2–0"
"Plymouth Argyle","0–0","1–0","0–1","0–1","0–1","2–2","2–2","0–0","2–0","2–2","1–0","1–3","1–0","1–0","","1–1","2–3","0–3","4–2","1–1","2–0","6–0","2–1","1–0"
"Reading","6–2","6–3","2–0","1–0","1–0","1–5","3–2","1–0","0–4","1–0","4–1","0–1","1–0","3–2","2–1","","1–0","1–1","3–1","8–0","3–1","1–1","1–1","2–3"
"Rochdale","1–1","1–0","0–1","1–2","2–1","0–0","3–3","2–0","0–1","0–0","5–0","1–2","2–1","0–3","2–1","3–2","","4–2","3–0","1–1","2–0","1–1","4–0","1–2"
"Rotherham United","2–0","5–0","3–0","2–3","2–0","0–0","4–3","0–1","0–0","0–1","1–1","1–1","2–2","0–0","1–0","1–1","3–1","","1–2","2–0","0–0","2–1","0–1","4–1"
"Shrewsbury Town","1–1","1–1","2–0","1–0","2–2","0–0","3–3","0–0","1–1","2–2","3–1","5–1","0–0","1–1","3–0","0–0","1–0","1–0","","1–2","3–1","1–0","2–0","1–1"
"Southport","0–1","1–0","3–0","1–0","2–0","0–0","4–0","2–2","0–2","1–1","1–0","0–3","0–1","1–0","0–0","6–2","0–3","2–1","0–2","","1–1","4–2","2–0","0–1"
"Stockport County","1–0","2–2","0–2","0–2","0–1","0–1","1–0","3–1","1–4","1–0","0–1","1–1","1–3","0–2","0–1","2–2","0–1","1–1","1–1","0–0","","0–1","0–1","2–2"
"Torquay United","1–1","1–1","2–2","2–1","2–1","1–2","3–0","2–1","1–1","3–2","0–1","2–2","0–2","0–1","1–2","1–1","3–0","0–0","3–0","0–0","3–0","","5–1","0–0"
"Tranmere Rovers","0–1","5–0","1–5","1–0","2–0","5–2","3–2","1–3","1–0","0–0","1–1","3–2","1–1","1–1","3–1","1–5","0–0","2–2","3–1","0–1","3–0","1–1","","0–0"
"Walsall","3–2","1–0","2–1","2–0","0–3","2–1","1–1","1–3","1–3","0–1","2–1","1–3","1–0","2–0","2–2","4–1","1–4","0–2","3–2","4–0","0–0","0–1","0–0",""
