"Home \ Away","ARS","BLP","BUR","CHE","COV","CRY","DER","EVE","HUD","IPS","LEE","LIV","MCI","MUN","NEW","NOT","SOU","STK","TOT","WBA","WHU","WOL"
"Arsenal","","1–0","1–0","2–0","1–0","1–1","2–0","4–0","1–0","3–2","0–0","2–0","1–0","4–0","1–0","4–0","0–0","1–0","2–0","6–2","2–0","2–1"
"Blackpool","0–1","","1–1","3–4","1–0","3–1","0–1","0–2","2–2","0–2","1–1","0–0","3–3","1–1","0–1","2–3","0–3","1–1","0–0","3–1","1–1","0–2"
"Burnley","1–2","1–0","","0–0","0–0","2–1","1–2","2–2","2–3","2–2","0–3","1–2","0–4","0–2","1–1","2–1","0–1","1–1","0–0","1–1","1–0","2–3"
"Chelsea","2–1","2–0","0–1","","2–1","1–1","2–1","2–2","0–0","2–1","3–1","1–0","1–1","1–2","1–0","2–0","2–2","2–1","0–2","4–1","2–1","2–2"
"Coventry City","1–3","2–0","3–0","0–1","","2–1","0–0","3–1","0–0","1–0","0–1","1–0","2–1","2–1","2–0","2–0","1–0","1–0","0–0","1–1","0–1","0–1"
"Crystal Palace","0–2","1–0","0–2","0–0","1–2","","0–0","2–0","0–3","1–0","1–1","1–0","0–1","3–5","1–0","2–0","3–1","3–2","0–3","3–0","1–1","1–1"
"Derby County","2–0","2–0","1–0","1–2","3–4","1–0","","3–1","3–2","2–0","0–2","0–0","0–0","4–4","1–2","1–2","0–0","2–0","1–1","2–0","2–4","1–2"
"Everton","2–2","0–0","1–1","3–0","3–0","3–1","1–1","","2–1","2–0","0–1","0–0","0–1","1–0","3–1","1–0","4–1","2–0","0–0","3–3","0–1","1–2"
"Huddersfield Town","2–1","3–0","0–1","0–1","1–0","0–2","0–0","1–1","","1–0","0–0","0–0","1–0","1–2","1–1","0–0","3–1","0–1","1–1","2–1","1–1","1–2"
"Ipswich Town","0–1","2–1","3–0","0–0","0–2","1–2","0–1","0–0","2–0","","2–4","1–0","2–0","4–0","1–0","0–0","1–3","2–0","1–2","2–2","2–1","2–3"
"Leeds United","1–0","3–1","4–0","1–0","2–0","2–1","1–0","3–2","2–0","0–0","","0–1","1–0","2–2","3–0","2–0","1–0","4–1","1–2","1–2","3–0","3–0"
"Liverpool","2–0","2–2","2–0","1–0","0–0","1–1","2–0","3–2","4–0","2–1","1–1","","0–0","1–1","1–1","3–0","1–0","0–0","0–0","1–1","1–0","2–0"
"Manchester City","0–2","2–0","0–0","1–1","1–1","1–0","1–1","3–0","1–1","2–0","0–2","2–2","","3–4","1–1","1–3","1–1","4–1","0–1","4–1","2–0","0–0"
"Manchester United","1–3","1–1","1–1","0–0","2–0","0–1","1–2","2–0","1–1","3–2","0–1","0–2","1–4","","1–0","2–0","5–1","2–2","2–1","2–1","1–1","1–0"
"Newcastle United","1–1","1–2","3–1","0–1","0–0","2–0","3–1","2–1","2–0","0–0","1–1","0–0","0–0","1–0","","1–1","2–2","0–2","1–0","3–0","1–1","3–2"
"Nottingham Forest","0–3","3–1","1–0","1–1","2–0","3–1","2–4","3–2","1–3","0–1","0–0","0–1","0–1","1–2","2–1","","2–0","0–0","0–1","3–3","1–0","4–1"
"Southampton","1–2","1–1","2–0","0–0","3–0","6–0","4–0","2–2","1–0","1–0","0–3","1–0","1–1","1–0","2–0","4–1","","2–1","0–0","1–0","1–2","1–2"
"Stoke City","5–0","1–1","0–0","1–2","2–1","0–0","1–0","1–1","3–1","0–0","3–0","0–1","2–0","1–2","3–0","0–0","0–0","","0–1","2–0","2–1","1–0"
"Tottenham Hotspur","0–1","3–0","4–0","2–1","1–0","2–0","2–1","2–1","1–1","2–0","0–2","1–0","2–0","2–2","1–2","0–1","1–3","3–0","","2–2","2–2","0–0"
"West Bromwich Albion","2–2","1–1","1–0","2–2","0–0","0–0","2–1","3–0","2–1","0–1","2–2","1–1","0–0","4–3","1–2","0–1","1–0","5–2","3–1","","2–1","2–4"
"West Ham United","0–0","2–1","3–1","2–2","1–2","0–0","1–4","1–2","0–1","2–2","2–3","1–2","0–0","2–1","0–2","2–0","1–1","1–0","2–2","2–1","","3–3"
"Wolverhampton Wanderers","0–3","1–0","1–0","1–0","0–0","2–1","2–4","2–0","3–1","0–0","2–3","1–0","3–0","3–2","3–2","4–0","0–1","1–1","0–3","2–1","2–0",""
