"Home \ Away","ALD","BRW","B&BA","BRE","CAM","CHE","COL","CRE","DAR","EXE","GRI","HAR","LIN","NPC","NOR","NTC","OLD","PET","SCU","STD","SOU","STP","WRK","YOR"
"Aldershot","","3–0","2–0","1–0","2–2","1–0","0–1","0–0","2–2","2–2","3–2","1–0","0–2","1–1","1–1","0–1","1–1","2–2","0–1","2–2","2–1","5–0","1–1","0–1"
"Barrow","1–1","","1–2","0–1","2–1","1–4","0–2","0–1","1–1","1–1","0–1","3–0","1–4","3–1","2–1","1–2","1–1","2–3","1–2","2–0","0–2","2–2","0–3","0–2"
"Bournemouth & Boscombe Athletic","1–1","0–0","","1–0","3–0","3–1","4–1","2–2","1–0","4–1","2–1","3–0","3–0","2–2","4–2","1–1","5–0","1–0","0–2","4–0","0–1","2–0","1–0","4–0"
"Brentford","2–3","2–1","1–2","","1–2","1–2","1–0","3–1","1–0","5–0","2–0","1–0","2–1","0–3","3–0","2–2","1–1","1–1","0–1","4–2","0–1","3–0","3–0","6–4"
"Cambridge United","1–1","3–3","0–2","1–0","","1–1","2–1","1–0","2–0","2–0","2–3","2–0","1–1","3–2","0–2","2–1","3–1","1–1","1–1","0–3","0–0","1–1","1–2","1–1"
"Chester","1–2","2–1","4–2","1–2","2–1","","2–1","1–0","2–1","3–1","5–0","0–1","1–0","2–1","2–2","2–1","0–1","2–0","2–0","2–0","1–0","3–0","1–0","1–1"
"Colchester United","5–2","4–1","1–1","4–0","2–1","0–1","","3–0","2–0","1–1","1–0","1–0","1–1","4–2","1–1","2–3","1–2","3–0","2–0","1–1","1–0","1–1","2–1","1–0"
"Crewe Alexandra","0–3","1–0","3–3","5–3","1–2","6–3","0–3","","3–0","4–1","4–0","1–0","3–1","2–0","3–0","1–2","0–1","1–3","3–1","1–2","1–0","2–3","1–0","3–4"
"Darlington","1–2","3–1","1–0","2–1","2–0","5–1","0–0","0–1","","3–2","5–1","2–0","3–2","2–1","0–0","2–3","3–1","1–0","3–0","0–4","1–1","1–0","0–1","2–0"
"Exeter City","4–1","4–2","0–0","1–0","1–0","3–1","2–2","6–2","2–1","","4–0","1–1","0–0","1–1","1–1","0–1","0–2","3–2","1–1","2–0","2–1","2–1","0–1","0–2"
"Grimsby Town","0–2","3–1","1–0","1–5","2–0","2–2","3–1","2–0","1–1","1–2","","1–1","1–1","2–0","0–2","2–1","4–1","2–1","1–0","2–0","1–2","1–2","1–0","3–1"
"Hartlepool","1–1","2–1","2–1","0–0","0–0","0–2","1–2","0–2","2–2","3–0","2–2","","0–0","2–2","2–2","2–1","0–1","1–2","1–1","0–1","1–2","3–0","1–1","2–1"
"Lincoln City","4–4","0–3","1–2","2–0","0–1","2–0","1–2","2–2","2–1","4–1","3–0","2–0","","1–1","1–3","0–1","2–1","2–1","4–1","1–2","3–0","1–1","3–1","4–5"
"Newport County","1–2","3–2","0–2","0–1","2–0","0–1","1–3","1–3","3–1","0–1","0–1","2–0","2–2","","0–1","2–1","1–4","2–0","2–3","3–0","2–2","3–1","2–2","0–3"
"Northampton Town","2–0","1–0","2–3","1–0","2–1","3–1","2–1","1–1","2–0","2–2","0–4","2–0","2–1","1–0","","1–1","1–3","2–0","1–0","0–2","2–1","1–1","5–0","3–2"
"Notts County","3–0","3–1","2–1","0–0","4–1","2–1","4–0","5–1","3–0","1–1","1–0","3–0","0–0","2–0","1–0","","2–0","6–0","3–0","2–1","3–1","5–1","2–2","2–1"
"Oldham Athletic","5–2","2–1","2–2","5–1","4–1","1–1","4–0","5–3","3–1","2–1","1–0","2–0","4–2","4–0","1–1","1–3","","3–0","1–1","2–0","2–4","1–1","1–3","1–1"
"Peterborough United","1–0","4–0","3–1","1–2","2–3","1–0","1–2","3–1","0–1","1–3","1–1","5–0","1–1","2–1","1–0","1–1","2–1","","1–2","4–0","1–0","5–1","3–1","2–1"
"Scunthorpe United","2–1","1–1","1–1","1–1","0–0","0–2","2–0","1–1","0–0","3–0","1–2","2–1","3–1","0–1","2–2","0–1","2–3","5–2","","3–0","2–0","1–2","4–0","0–1"
"Southend United","2–2","2–3","1–2","4–3","1–1","1–1","1–1","0–2","0–0","0–0","1–1","2–0","1–1","3–0","1–0","1–0","3–0","1–2","2–2","","1–1","2–1","1–1","1–0"
"Southport","3–3","1–0","0–1","2–0","0–1","2–0","2–1","1–0","0–3","0–2","1–0","5–0","1–0","6–1","2–1","0–2","1–4","3–2","5–1","3–0","","1–0","1–0","2–2"
"Stockport County","1–0","2–0","1–1","1–0","0–1","0–1","0–0","2–2","1–1","0–3","1–0","2–1","4–3","3–2","1–1","1–0","1–1","0–0","2–0","0–0","3–0","","1–0","1–0"
"Workington","4–0","2–1","1–0","1–1","3–1","1–0","1–1","1–1","0–0","1–0","1–0","0–1","2–1","2–1","2–0","0–1","0–0","2–1","0–0","1–1","2–1","0–1","","1–0"
"York City","3–1","4–3","1–1","0–0","3–0","1–1","1–1","1–0","2–0","2–2","4–1","4–0","2–0","1–0","4–1","0–0","0–1","2–1","2–0","3–0","2–0","2–1","1–0",""
