"Home \ Away","BIR","BLB","BOL","BRI","CAR","CRL","CHA","HUL","LEI","LUT","MID","MIL","NWC","ORI","OXF","POR","QPR","SHU","SHW","SUN","SWI","WAT"
"Birmingham","","1–0","4–0","2–0","2–0","1–0","1–1","0–0","0–0","1–1","0–1","3–1","2–2","1–0","1–1","1–1","2–1","0–1","1–0","3–1","2–1","2–0"
"Blackburn Rovers","2–2","","0–2","2–2","1–1","0–2","1–0","0–1","2–2","1–0","1–1","0–2","2–1","0–0","0–0","1–1","0–2","1–3","3–2","0–1","1–0","2–3"
"Bolton Wanderers","3–0","1–1","","1–0","0–2","0–3","4–0","0–0","0–3","4–2","0–3","1–1","0–1","0–1","0–2","1–1","2–2","2–1","2–1","1–3","0–3","0–1"
"Bristol City","2–1","1–1","1–1","","1–0","2–1","2–2","3–3","0–1","3–2","0–2","3–2","0–1","0–0","0–4","2–0","0–0","0–1","1–2","4–3","2–1","3–0"
"Cardiff City","2–0","4–1","1–0","1–0","","4–0","1–1","5–1","2–2","0–0","3–4","2–2","1–1","1–0","1–0","1–0","1–0","1–1","4–0","3–1","1–1","0–1"
"Carlisle United","0–3","1–0","1–0","2–1","1–1","","1–1","2–0","0–1","1–0","1–0","3–0","4–2","2–0","3–2","6–0","3–0","1–0","3–0","0–0","2–1","2–1"
"Charlton Athletic","1–1","2–4","4–1","1–1","2–1","1–1","","0–1","0–1","1–1","1–0","1–3","2–1","2–0","2–0","2–2","0–3","0–2","2–3","1–1","2–1","1–2"
"Hull City","0–1","0–0","1–0","1–0","1–1","1–2","2–0","","3–0","0–2","1–0","2–0","1–0","5–2","0–1","0–1","1–1","1–1","4–4","4–0","2–0","1–0"
"Leicester City","1–4","1–1","1–0","4–0","0–1","2–2","1–0","0–0","","1–0","3–2","2–1","2–1","4–0","0–0","2–0","0–0","0–0","1–0","1–0","3–1","1–1"
"Luton Town","3–2","2–0","2–0","3–0","3–0","3–3","1–1","3–1","1–3","","1–0","1–1","0–0","4–0","4–0","2–1","0–0","2–1","2–2","1–2","1–1","1–0"
"Middlesbrough","0–0","1–1","1–0","1–0","1–1","2–1","3–0","1–0","1–0","2–1","","1–0","5–0","0–1","0–2","3–2","6–2","1–1","1–0","2–2","3–0","2–2"
"Millwall","2–1","2–0","2–0","2–0","2–1","2–1","2–0","4–0","0–0","4–0","1–0","","2–2","0–1","1–2","0–0","3–0","1–2","1–0","0–0","2–2","3–0"
"Norwich City","2–2","2–1","2–1","3–2","1–2","1–1","2–0","0–2","2–2","1–1","1–1","1–0","","4–2","1–1","1–1","3–0","1–0","0–0","3–0","1–0","2–1"
"Orient","0–2","1–1","3–1","1–1","0–0","1–1","0–0","0–1","0–1","1–2","0–0","0–0","1–0","","0–0","1–1","0–1","3–1","1–1","1–0","1–0","1–1"
"Oxford United","1–0","2–1","1–1","1–0","1–0","1–1","2–1","0–3","1–0","2–1","2–2","2–3","1–1","0–1","","1–1","1–3","1–2","1–1","0–0","0–0","2–1"
"Portsmouth","1–0","4–1","4–0","1–1","1–3","1–4","2–0","2–2","1–2","0–1","1–1","0–2","0–2","1–1","1–0","","2–0","1–5","2–0","2–1","0–2","5–0"
"Queens Park Rangers","5–2","2–0","4–0","2–1","0–1","1–1","1–4","1–1","1–3","0–1","1–1","2–0","0–1","5–1","2–0","2–0","","2–2","1–0","2–0","4–2","1–1"
"Sheffield United","3–0","5–0","2–2","3–3","5–1","2–2","3–0","1–2","2–1","2–1","1–1","2–0","0–0","3–1","3–0","2–0","1–1","","3–2","1–0","2–1","3–0"
"Sheffield Wednesday","3–3","1–1","1–1","2–0","1–2","3–0","1–0","1–1","0–3","1–5","3–0","1–0","2–0","2–1","1–1","3–1","1–0","0–0","","1–2","2–2","2–1"
"Sunderland","2–1","3–2","4–1","1–0","0–4","2–0","3–0","0–1","0–0","0–0","2–2","0–1","2–1","1–0","0–1","0–0","3–1","0–0","3–1","","5–2","3–3"
"Swindon Town","1–2","3–0","3–1","2–1","2–2","0–0","1–1","1–1","0–1","0–0","3–0","3–0","3–2","1–1","3–0","2–1","1–0","3–0","3–0","2–0","","1–1"
"Watford","2–1","2–1","1–1","0–3","0–1","0–0","1–1","1–2","0–1","0–1","1–0","0–4","2–0","0–0","2–1","0–0","1–2","0–0","3–0","1–1","1–2",""
