"Home \ Away","AST","BAR","BRA","B&HA","BRR","BRY","CHF","DON","FUL","GIL","HAL","MAN","PLY","PTV","PNE","REA","ROC","ROT","SHR","SWA","TOR","TRA","WAL","WRE"
"Aston Villa","","0–0","1–0","0–0","1–1","1–0","0–0","3–2","1–0","2–1","1–1","0–1","1–1","1–0","2–0","2–1","1–0","1–0","2–0","3–0","0–1","1–0","0–0","3–4"
"Barnsley","1–1","","2–0","1–0","0–4","1–1","1–0","0–1","0–1","3–1","2–2","1–0","2–0","1–0","0–1","3–0","2–2","2–1","2–1","0–0","2–0","0–0","1–2","3–1"
"Bradford City","1–0","1–0","","2–3","1–1","1–3","1–0","3–0","2–3","0–1","0–1","1–1","0–1","1–1","0–2","0–1","3–0","1–1","1–0","0–2","2–0","1–1","0–0","1–3"
"Brighton & Hove Albion","1–0","1–2","1–2","","0–0","1–0","1–2","3–0","3–2","3–1","0–2","2–0","1–1","0–0","0–0","2–0","1–1","1–1","1–2","2–2","0–0","0–0","2–2","2–0"
"Bristol Rovers","1–2","3–0","4–2","1–3","","0–1","3–2","2–0","0–1","2–0","1–0","2–0","1–3","3–0","0–0","4–0","2–2","0–2","2–2","0–0","1–1","0–1","3–0","3–2"
"Bury","3–1","0–0","1–1","0–2","3–0","","1–1","2–3","2–0","2–1","1–1","0–0","3–0","2–3","0–1","5–1","0–2","0–1","1–1","1–1","1–0","0–0","1–1","1–2"
"Chesterfield","2–3","4–2","0–1","2–1","2–0","0–0","","4–0","0–0","2–0","5–0","2–2","2–0","3–0","0–0","4–0","1–1","1–1","2–0","0–0","5–0","2–0","1–1","1–0"
"Doncaster Rovers","2–1","1–0","3–1","2–0","0–1","2–0","2–1","","0–1","2–2","1–2","1–2","0–0","1–2","1–1","2–0","1–2","0–2","1–1","1–2","0–1","2–2","1–2","2–1"
"Fulham","0–2","1–1","5–0","1–0","2–1","2–1","2–0","1–1","","1–0","3–1","0–0","1–1","4–1","0–1","1–1","2–0","1–0","0–0","4–1","4–0","2–0","1–0","1–0"
"Gillingham","0–0","2–1","2–1","1–1","1–4","1–2","1–1","0–1","1–3","","2–1","2–2","0–2","1–1","2–1","0–0","0–0","2–1","0–2","0–0","1–2","0–0","2–1","1–2"
"Halifax Town","2–1","4–1","1–2","0–1","0–0","3–0","1–0","4–0","2–1","2–1","","0–1","4–1","2–0","1–0","4–0","1–4","1–3","2–0","2–2","2–0","4–3","2–1","2–0"
"Mansfield Town","2–0","1–2","3–5","1–0","4–1","1–0","2–2","2–1","1–0","2–0","3–2","","1–5","2–0","3–1","0–0","3–2","1–1","1–1","2–0","0–0","6–2","2–2","1–1"
"Plymouth Argyle","1–1","2–1","1–3","1–1","0–0","3–4","1–1","1–1","1–1","2–1","1–1","0–0","","2–1","1–1","4–0","2–2","4–1","4–4","2–3","1–2","0–1","3–1","2–2"
"Port Vale","2–0","1–1","0–0","2–1","2–0","0–0","0–2","1–0","0–1","1–1","0–1","2–0","2–1","","1–0","3–1","4–1","1–0","0–1","4–0","0–1","2–2","1–1","0–3"
"Preston North End","0–0","3–1","1–1","1–1","3–2","2–0","1–0","4–0","1–1","1–0","1–1","2–1","1–0","1–0","","4–1","3–1","3–0","2–0","1–1","2–2","1–1","1–0","3–2"
"Reading","3–5","2–0","1–1","0–3","0–2","1–5","1–1","1–0","1–1","3–2","1–1","1–0","0–2","2–1","1–0","","1–1","4–2","2–1","3–1","2–1","1–1","1–2","0–0"
"Rochdale","1–1","1–0","0–0","3–3","1–1","2–0","2–0","1–0","1–2","0–1","0–3","1–1","1–1","0–3","1–2","1–2","","4–3","1–2","0–0","2–0","0–0","2–0","4–1"
"Rotherham United","1–1","1–0","1–1","2–0","1–1","3–2","1–2","2–0","1–1","0–0","2–2","2–1","1–1","2–1","1–1","2–1","5–1","","1–1","2–0","3–1","2–0","1–0","1–1"
"Shrewsbury Town","2–1","1–0","1–1","0–1","1–4","2–0","1–1","0–3","0–1","0–0","2–2","5–1","1–1","7–3","0–1","3–1","0–2","4–2","","1–0","1–0","3–1","1–1","1–0"
"Swansea City","1–2","0–2","2–0","1–0","1–3","3–0","1–0","1–1","4–1","1–0","3–1","2–4","0–2","0–2","2–2","5–0","4–2","1–1","5–0","","0–1","0–0","1–1","3–0"
"Torquay United","1–1","0–1","1–1","1–0","1–1","2–1","1–1","2–1","3–1","2–3","2–0","0–0","2–1","1–1","3–1","0–4","3–0","3–1","1–0","2–1","","4–2","1–2","1–2"
"Tranmere Rovers","1–1","2–2","3–1","3–0","0–2","0–0","0–0","1–0","0–3","1–0","0–1","4–1","1–0","1–1","3–3","0–0","0–2","5–0","1–0","0–0","0–0","","0–0","1–1"
"Walsall","3–0","1–2","1–2","1–0","1–2","3–0","2–1","1–2","3–2","3–0","0–0","0–1","1–0","3–1","0–1","1–2","0–3","0–1","0–1","0–1","1–4","2–0","","3–1"
"Wrexham","2–3","1–0","2–0","1–1","1–0","3–2","0–3","0–0","2–2","3–4","2–2","4–0","4–0","1–1","1–1","2–0","3–1","1–1","2–1","1–1","1–0","4–1","2–1",""
