"Home \ Away","ARS","CHE","COV","CRY","DER","EVE","HUD","IPS","LEE","LEI","LIV","MCI","MUN","NEW","NOT","SHU","SOU","STK","TOT","WBA","WHU","WOL"
"Arsenal","","3–0","2–0","2–1","2–0","1–1","1–0","2–1","2–0","3–0","0–0","1–2","3–0","4–2","3–0","0–1","1–0","0–1","0–2","2–0","2–1","2–1"
"Chelsea","1–2","","3–3","2–1","1–1","4–0","2–2","2–0","0–0","2–1","0–0","2–2","2–3","3–3","2–0","2–0","3–0","2–0","1–0","1–0","3–1","3–1"
"Coventry City","0–1","1–1","","1–1","2–2","4–1","2–1","1–1","3–1","1–1","0–2","1–1","2–3","1–0","1–1","3–2","1–0","1–1","1–0","0–2","1–1","0–0"
"Crystal Palace","2–2","2–3","2–2","","0–1","2–1","0–0","1–1","1–1","1–1","0–1","1–2","1–3","2–0","1–1","5–1","2–3","2–0","1–1","0–2","0–3","0–2"
"Derby County","2–1","1–0","1–0","3–0","","2–0","3–0","1–0","2–0","3–0","1–0","3–1","2–2","0–1","4–0","3–0","2–2","4–0","2–2","0–0","2–0","2–1"
"Everton","2–1","2–0","1–2","0–0","0–2","","2–2","1–1","0–0","0–0","1–0","1–2","1–0","1–0","1–1","0–1","8–0","0–0","1–1","2–1","2–1","2–2"
"Huddersfield Town","0–1","1–2","0–1","0–1","2–1","0–0","","1–3","2–1","2–2","0–1","1–1","0–3","0–0","0–1","0–0","0–2","0–0","1–1","1–0","1–0","0–1"
"Ipswich Town","0–1","1–2","3–1","0–2","0–0","0–0","1–0","","0–2","1–2","0–0","2–1","0–0","0–0","1–1","0–0","1–1","2–1","2–1","2–3","1–0","2–1"
"Leeds United","3–0","2–0","1–0","2–0","3–0","3–2","3–1","2–2","","2–1","1–0","3–0","5–1","5–1","6–1","1–0","7–0","1–0","1–1","3–0","0–0","0–0"
"Leicester City","0–0","1–1","1–0","0–0","0–2","0–0","2–0","1–0","0–0","","1–0","0–0","2–0","3–0","2–1","0–1","0–1","2–1","0–1","0–1","2–0","1–2"
"Liverpool","3–2","0–0","3–1","4–1","3–2","4–0","2–0","2–0","0–2","3–2","","3–0","2–2","5–0","3–1","2–0","1–0","2–1","0–0","2–0","1–0","3–2"
"Manchester City","2–0","1–0","4–0","4–0","2–0","1–0","1–0","4–0","0–1","1–1","1–0","","3–3","2–1","2–2","2–1","3–0","1–2","4–0","2–1","3–1","5–2"
"Manchester United","3–1","0–1","2–2","4–0","1–0","0–0","2–0","1–0","0–1","3–2","0–3","1–3","","0–2","3–2","2–0","3–2","3–0","3–1","3–1","4–2","1–3"
"Newcastle United","2–0","0–0","4–2","1–2","0–1","0–0","0–0","0–1","1–0","2–0","3–2","0–0","0–1","","2–1","1–2","3–1","0–0","3–1","4–2","2–2","2–0"
"Nottingham Forest","1–1","2–1","4–0","0–1","0–2","1–0","1–2","0–2","0–2","1–2","2–3","2–2","0–0","1–0","","2–3","2–3","0–0","0–1","4–1","1–0","1–3"
"Sheffield United","0–5","1–0","2–0","1–0","0–4","1–1","3–1","7–0","3–0","1–1","1–1","3–3","1–1","1–0","2–1","","3–1","2–3","2–2","0–0","3–0","2–2"
"Southampton","0–1","2–2","3–1","1–0","1–2","0–1","1–2","0–0","2–1","1–0","0–1","2–0","2–5","1–2","4–1","3–2","","3–1","0–0","1–1","3–3","1–2"
"Stoke City","0–0","0–1","1–0","3–1","1–1","1–1","1–0","3–3","0–3","3–1","0–0","1–3","1–1","3–3","0–2","2–2","3–1","","2–0","1–1","0–0","0–1"
"Tottenham Hotspur","1–1","3–0","1–0","3–0","0–1","3–0","4–1","2–1","1–0","4–3","2–0","1–1","2–0","0–0","6–1","2–0","1–0","2–0","","3–2","0–1","4–1"
"West Bromwich Albion","0–1","4–0","1–1","1–1","0–0","2–0","1–1","1–2","0–1","0–1","1–0","0–2","2–1","0–3","1–0","2–2","3–2","0–1","1–1","","0–0","2–3"
"West Ham United","0–0","2–1","4–0","1–1","3–3","1–0","3–0","0–0","2–2","1–1","0–2","0–2","3–0","0–1","4–2","1–2","1–0","2–1","2–0","0–1","","1–0"
"Wolverhampton Wanderers","5–1","0–2","1–1","1–0","2–1","1–1","2–2","2–2","2–1","0–1","0–0","2–1","1–1","2–0","4–2","1–2","4–2","2–0","2–2","0–1","1–0",""
