"Home \ Away","ALD","BRW","BRE","BRY","CAM","CHE","COL","CRE","DAR","DON","EXE","GIL","GRI","HAR","LIN","NPC","NOR","PET","REA","SCU","STD","SOU","STP","WRK"
"Aldershot","","1–1","1–2","2–2","1–1","0–0","0–2","0–0","3–0","3–0","0–0","0–2","1–1","2–0","0–0","3–0","0–2","1–1","1–2","1–1","0–0","1–1","4–0","2–2"
"Barrow","1–1","","0–3","1–1","1–1","2–0","2–2","2–1","0–4","1–2","0–0","1–0","0–0","2–0","2–2","1–0","0–1","0–2","0–0","0–1","2–1","0–2","3–2","2–0"
"Brentford","1–1","4–0","","2–0","2–1","1–1","0–2","1–0","6–2","2–1","1–0","1–3","2–0","6–0","2–0","3–1","6–1","5–1","1–2","0–3","1–2","1–0","2–0","2–0"
"Bury","3–1","4–0","0–2","","0–1","3–1","3–0","2–0","3–2","3–3","4–3","5–0","1–1","1–1","0–1","3–0","4–2","1–1","2–1","3–1","2–0","2–1","4–0","2–0"
"Cambridge United","1–1","1–0","1–1","0–2","","2–0","4–2","3–2","6–0","1–1","0–1","2–1","3–1","2–1","0–0","0–1","1–1","2–5","4–1","2–0","1–1","0–0","2–0","0–0"
"Chester","0–0","0–0","0–0","2–0","1–1","","2–1","0–0","2–1","1–1","1–2","5–1","1–2","4–0","2–1","3–0","3–2","1–1","2–0","0–0","1–1","1–1","0–0","2–1"
"Colchester United","1–0","0–1","1–1","0–0","1–1","1–0","","4–2","4–3","1–2","3–0","2–2","0–1","1–0","5–2","2–3","2–0","1–1","2–1","1–1","1–0","1–0","3–2","1–0"
"Crewe Alexandra","2–1","1–0","2–1","0–0","1–1","3–1","2–4","","1–1","0–1","0–1","0–1","0–1","1–2","3–1","1–2","0–1","2–0","2–0","0–2","1–2","2–1","3–1","0–0"
"Darlington","4–2","0–1","0–0","0–0","2–1","1–1","2–0","1–1","","4–1","2–1","0–0","3–2","1–2","3–3","0–0","5–2","1–1","1–0","0–1","2–3","0–0","1–2","4–0"
"Doncaster Rovers","2–1","0–1","0–3","4–1","1–1","0–0","2–0","0–0","4–0","","2–1","1–1","2–1","2–1","2–0","4–2","1–1","3–2","1–1","0–2","0–2","2–1","2–2","0–0"
"Exeter City","1–0","7–1","0–1","3–2","3–4","1–1","3–3","3–1","3–0","1–0","","1–1","3–4","1–0","1–2","1–0","1–3","3–2","0–0","1–0","0–0","1–3","2–0","0–2"
"Gillingham","0–1","1–1","0–1","2–0","2–0","1–0","0–2","2–1","4–2","2–0","0–2","","0–1","1–0","3–3","1–2","4–1","1–1","4–2","0–1","0–0","2–1","3–2","0–0"
"Grimsby Town","3–3","2–0","3–1","4–1","2–1","1–0","3–0","2–3","2–0","3–1","3–0","2–1","","3–2","2–2","4–2","4–2","3–2","2–0","4–1","4–1","0–1","4–1","1–1"
"Hartlepool","0–1","4–3","1–2","3–1","1–2","2–1","3–2","1–0","2–3","0–0","1–0","3–1","0–1","","2–1","0–1","2–0","1–0","3–1","1–0","2–2","1–0","5–0","1–3"
"Lincoln City","2–2","3–2","4–1","2–0","3–1","4–0","2–0","0–0","0–1","2–0","4–1","1–1","3–0","2–1","","3–1","2–0","3–2","0–0","1–0","0–0","2–1","2–1","1–0"
"Newport County","2–3","2–1","0–0","2–1","3–0","1–0","2–1","2–0","4–0","1–3","0–0","1–2","2–1","0–2","2–0","","1–1","1–1","2–1","1–0","2–0","2–2","1–0","0–1"
"Northampton Town","2–3","2–0","0–0","2–2","1–2","4–2","1–1","4–1","1–2","1–1","1–1","6–1","3–0","2–1","2–3","1–1","","1–1","5–0","0–2","1–1","0–0","2–0","1–2"
"Peterborough United","0–0","7–0","2–2","2–0","2–0","2–0","4–0","2–0","1–3","2–0","3–3","2–1","0–2","2–2","4–4","3–1","1–0","","3–2","0–1","2–0","2–0","4–2","1–1"
"Reading","2–0","1–0","2–1","0–2","1–0","1–0","2–4","1–0","2–0","3–1","3–1","1–2","1–3","3–0","0–1","4–2","2–1","2–1","","2–0","1–4","1–1","2–2","0–0"
"Scunthorpe United","1–0","2–1","0–0","3–0","2–1","2–0","2–0","2–0","3–1","0–0","3–0","3–3","1–2","2–2","2–1","1–0","0–0","0–0","1–1","","1–1","1–0","0–2","2–0"
"Southend","1–0","1–0","3–1","0–0","1–2","4–2","1–4","4–1","3–0","2–1","3–0","2–2","3–1","3–1","2–1","3–1","4–1","2–1","4–1","2–3","","2–1","4–2","2–0"
"Southport","0–0","1–0","0–0","0–1","4–1","4–3","3–0","4–2","2–1","3–0","4–0","1–0","1–0","1–0","1–1","4–2","4–0","2–4","5–2","1–1","0–1","","1–0","2–2"
"Stockport County","0–0","1–3","0–1","2–2","3–0","0–0","2–2","3–1","2–1","1–2","0–4","2–1","0–2","2–1","4–2","4–4","3–1","0–0","0–1","0–0","2–2","1–1","","1–1"
"Workington","5–0","0–1","3–0","1–0","0–1","0–0","1–0","1–0","0–0","2–0","0–0","1–1","0–0","0–0","0–0","3–0","2–0","4–1","5–0","2–1","3–1","0–0","1–1",""
