"Home \ Away","BIR","BLP","BRI","BUR","CAR","CRL","CHA","FUL","HUL","LUT","MID","MIL","NWC","ORI","OXF","POR","PNE","QPR","SHW","SUN","SWI","WAT"
"Birmingham City","","2–1","1–0","2–0","3–0","3–2","4–1","3–1","2–0","1–0","1–1","1–0","4–0","2–0","0–0","6–3","2–2","0–0","0–0","1–1","4–1","4–1"
"Blackpool","1–1","","1–0","4–2","3–0","2–0","5–0","2–1","1–1","0–1","3–1","0–0","1–2","4–1","2–0","1–2","1–1","1–1","1–0","1–1","4–1","5–0"
"Bristol City","1–0","4–0","","0–2","2–0","1–4","2–0","1–2","4–0","0–0","2–1","3–3","0–1","5–3","4–2","1–1","4–1","2–0","1–0","3–1","1–0","2–1"
"Burnley","1–1","2–1","1–1","","3–0","3–1","3–1","1–1","0–2","2–1","5–2","2–0","1–0","6–1","1–1","1–3","1–0","1–0","5–3","0–1","1–2","3–0"
"Cardiff City","0–0","3–4","2–3","2–2","","3–1","6–1","1–0","1–1","1–1","1–0","1–2","0–0","1–0","1–1","3–2","5–2","0–0","3–2","1–2","0–1","2–0"
"Carlisle United","2–2","2–0","2–0","0–3","2–1","","5–2","3–1","2–1","0–0","3–0","3–3","3–0","2–0","2–1","1–0","0–0","1–4","2–2","1–2","0–0","2–0"
"Charlton Athletic","1–1","2–3","2–0","2–0","2–2","1–1","","2–2","1–0","2–0","0–2","0–2","0–2","1–2","3–0","1–1","2–1","2–1","2–2","2–2","3–1","2–0"
"Fulham","0–0","2–1","2–0","0–2","4–3","0–1","1–0","","1–0","3–1","2–2","1–0","0–0","2–1","1–1","1–1","0–0","0–3","4–0","0–0","2–4","3–0"
"Hull City","1–0","1–0","1–1","1–2","0–0","2–0","2–3","4–0","","0–0","4–3","0–0","1–2","1–1","1–0","1–3","3–2","1–1","1–0","2–3","2–0","4–0"
"Luton Town","0–0","1–4","0–0","1–0","2–2","0–2","1–2","2–0","0–1","","3–2","2–1","1–1","2–0","1–2","3–2","1–1","1–1","3–1","1–2","0–0","0–0"
"Middlesbrough","0–0","1–0","1–0","1–0","1–0","2–2","2–2","2–0","3–0","0–0","","1–0","1–0","1–0","2–1","2–1","0–1","3–2","2–1","2–0","2–0","2–1"
"Millwall","3–0","1–0","3–1","1–1","1–1","2–1","2–1","4–1","2–1","2–2","1–0","","2–1","2–1","2–0","1–0","2–0","0–0","1–1","1–1","2–2","3–2"
"Norwich City","2–2","5–1","2–2","3–0","2–1","1–0","3–0","2–1","2–0","3–1","2–0","2–2","","0–0","3–2","3–1","1–1","0–0","1–0","1–1","1–0","1–1"
"Orient","0–1","0–1","2–0","1–0","4–1","2–1","3–2","1–0","1–0","0–0","1–1","2–2","1–2","","1–1","2–1","3–2","2–0","0–3","5–0","0–1","1–0"
"Oxford United","0–1","3–1","0–0","2–1","1–0","3–1","2–1","1–0","2–2","1–1","0–0","1–2","0–2","1–1","","2–2","2–0","3–1","1–0","2–0","1–1","0–0"
"Portsmouth","1–0","1–3","1–1","1–2","2–0","1–0","0–0","6–3","0–0","0–3","2–1","1–1","2–1","3–2","2–0","","1–1","1–0","1–2","2–2","1–2","2–2"
"Preston North End","0–0","1–4","1–0","1–3","1–2","3–0","2–1","2–0","3–1","0–1","1–0","4–0","0–2","1–1","1–0","4–0","","1–1","1–0","1–3","2–2","2–0"
"Queens Park Rangers","1–0","0–1","3–0","3–1","3–0","3–0","2–0","0–0","2–1","1–0","1–0","1–1","0–0","1–0","4–2","1–1","2–1","","3–0","2–1","3–0","3–0"
"Sheffield Wednesday","1–2","1–2","1–5","2–1","2–2","2–1","2–1","4–0","2–1","2–2","1–0","1–1","1–1","3–1","0–0","1–1","1–0","0–0","","3–0","1–0","2–1"
"Sunderland","1–1","0–0","1–1","4–3","1–1","0–3","3–0","2–1","0–1","2–2","4–1","3–3","1–1","2–0","3–0","3–2","4–3","0–1","2–0","","1–0","5–0"
"Swindon Town","1–1","1–0","0–1","0–1","3–1","0–0","2–1","4–0","2–1","2–1","0–1","0–2","0–1","2–2","4–0","3–1","1–1","0–0","1–0","1–1","","2–0"
"Watford","0–1","1–0","0–2","2–1","2–2","1–2","0–3","1–2","1–2","2–1","0–1","0–1","1–1","0–1","0–1","1–0","1–0","0–2","1–1","1–1","0–0",""
