"Home \ Away","ARS","BIR","CHE","COV","CRY","DER","EVE","IPS","LEE","LEI","LIV","MCI","MUN","NEW","NWC","SHU","SOU","STK","TOT","WBA","WHU","WOL"
"Arsenal","","2–0","1–1","0–2","1–0","0–1","1–0","1–0","2–1","1–0","0–0","0–0","3–1","2–2","2–0","3–2","1–0","2–0","1–1","2–1","1–0","5–2"
"Birmingham City","1–1","","2–2","3–0","1–1","2–0","2–1","1–2","2–1","1–1","2–1","4–1","3–1","3–2","4–1","1–2","1–1","3–1","0–0","3–2","0–0","0–1"
"Chelsea","0–1","0–0","","2–0","0–0","1–1","1–1","2–0","4–0","1–1","1–2","2–1","1–0","1–1","3–1","4–2","2–1","1–3","0–1","3–1","1–3","0–2"
"Coventry City","1–1","0–0","1–3","","2–0","0–2","1–0","2–1","0–1","3–2","1–2","3–2","1–1","0–3","3–1","3–0","1–1","2–1","0–1","0–0","3–1","0–1"
"Crystal Palace","2–3","0–0","2–0","0–1","","0–0","1–0","1–1","2–2","0–1","1–1","1–0","5–0","2–1","0–2","0–1","3–0","3–2","0–0","0–2","1–3","1–1"
"Derby County","5–0","1–0","1–2","2–0","2–2","","3–1","3–0","2–3","2–1","2–1","1–0","3–1","1–1","1–0","2–1","4–0","0–3","2–1","2–0","1–1","3–0"
"Everton","0–0","1–1","1–0","2–0","1–1","1–0","","2–2","1–2","0–1","0–2","2–3","2–0","3–1","2–2","2–1","0–1","2–0","3–1","1–0","1–2","0–1"
"Ipswich Town","1–2","2–0","3–0","2–0","2–1","3–1","0–1","","2–2","0–2","1–1","1–1","4–1","1–0","1–2","1–1","2–2","2–0","1–1","2–0","1–1","2–1"
"Leeds United","6–1","4–0","1–1","1–1","4–0","5–0","2–1","3–3","","3–1","1–2","3–0","0–1","1–0","2–0","2–1","1–0","1–0","2–1","2–0","1–0","0–0"
"Leicester City","0–1","0–1","1–1","0–0","2–1","0–0","1–2","1–1","2–0","","3–2","1–1","2–2","0–0","1–2","0–0","1–0","2–0","0–1","3–1","2–1","1–1"
"Liverpool","0–2","4–3","3–1","2–0","1–0","1–1","1–0","2–1","2–0","0–0","","2–0","2–0","3–2","3–1","5–0","3–2","2–1","1–1","1–0","3–2","4–2"
"Manchester City","1–2","1–0","0–1","1–2","2–3","4–0","0–1","1–1","1–0","1–0","1–1","","3–0","2–0","3–0","3–1","2–1","1–1","2–1","2–1","4–3","1–1"
"Manchester United","0–0","1–0","0–0","0–1","2–0","3–0","0–0","1–2","1–1","1–1","2–0","0–0","","2–1","1–0","1–2","2–1","0–2","1–4","2–1","2–2","2–1"
"Newcastle United","2–1","3–0","1–1","1–1","2–0","2–0","0–0","1–2","3–2","2–2","2–1","2–1","2–1","","3–1","4–1","0–0","1–0","0–1","1–1","1–2","2–1"
"Norwich City","3–2","1–2","1–0","1–1","2–1","1–0","1–1","0–0","1–2","1–1","1–1","1–1","0–2","0–1","","1–1","0–0","2–0","2–1","2–0","0–1","1–1"
"Sheffield United","1–0","0–1","2–1","3–1","2–0","3–1","0–1","0–0","0–2","2–0","0–3","1–1","1–0","1–2","2–0","","3–1","0–0","3–2","3–0","0–0","1–2"
"Southampton","2–2","2–0","3–1","2–1","2–0","1–1","0–0","1–2","3–1","0–0","1–1","1–1","0–2","1–1","1–0","1–1","","1–0","1–1","2–1","0–0","1–1"
"Stoke City","0–0","1–2","1–1","2–1","2–0","4–0","1–1","1–0","2–2","1–0","0–1","5–1","2–2","2–0","2–0","2–2","3–3","","1–1","2–0","2–0","2–0"
"Tottenham Hotspur","1–2","2–0","0–1","2–1","2–1","1–0","3–0","0–1","0–0","1–1","1–2","2–3","1–1","3–2","3–0","2–0","1–2","4–3","","1–1","1–0","2–2"
"West Bromwich Albion","1–0","2–2","1–1","1–0","0–4","2–1","4–1","2–0","1–1","1–0","1–1","1–2","2–2","2–3","0–1","0–2","1–1","2–1","0–1","","0–0","1–0"
"West Ham United","1–2","2–0","3–1","1–0","4–0","1–2","2–0","0–1","1–1","5–2","0–1","2–1","2–2","1–1","4–0","3–1","4–3","3–2","2–2","2–1","","2–2"
"Wolverhampton Wanderers","1–3","3–2","1–0","3–0","1–1","1–2","4–2","0–1","0–2","2–0","2–1","5–1","2–0","1–1","3–0","1–1","0–1","5–3","3–2","2–0","3–0",""
