"Home \ Away","ALD","BAR","BRA","BRY","CAM","CHE","COL","CRE","DAR","DON","EXE","GIL","HAR","HER","LIN","MAN","NPC","NOR","PET","REA","SOU","STP","TOR","WRK"
"Aldershot","","0–2","2–1","2–0","1–1","1–1","2–0","3–0","3–1","1–0","0–0","0–0","2–1","2–0","0–0","0–1","0–2","3–0","2–1","1–0","2–2","2–0","2–1","2–0"
"Barnsley","0–2","","1–2","0–1","3–1","0–0","4–0","2–2","0–2","4–2","1–1","1–1","2–1","0–0","4–1","1–1","2–1","2–0","3–2","0–0","0–1","1–3","0–0","1–0"
"Bradford City","1–0","3–1","","0–0","0–1","0–1","3–0","2–2","7–0","4–3","4–0","3–1","0–2","1–1","3–1","1–1","2–1","2–1","1–4","1–1","0–2","1–0","1–0","2–2"
"Bury","1–2","2–1","0–0","","1–1","1–1","4–0","0–1","1–0","5–0","2–1","2–1","1–1","3–0","0–4","1–0","0–0","2–2","3–1","4–0","0–1","1–2","0–0","3–0"
"Cambridge United","2–2","1–1","2–1","2–2","","1–0","3–0","1–0","0–3","3–1","1–3","3–1","1–1","1–0","2–1","3–2","3–1","3–1","3–1","1–0","2–2","1–0","0–0","1–0"
"Chester","0–0","0–0","1–1","2–0","1–1","","4–0","2–1","5–0","1–2","0–1","1–0","2–0","0–1","2–1","2–2","0–2","3–0","8–2","2–0","0–0","2–0","1–2","1–3"
"Colchester United","2–3","1–2","0–0","2–1","0–1","2–3","","5–1","1–0","1–1","1–2","4–0","1–1","1–0","0–2","1–1","1–3","2–2","1–0","2–2","3–1","3–0","1–1","1–1"
"Crewe Alexandra","0–2","1–0","1–2","2–1","1–1","1–1","1–2","","0–0","0–1","1–0","1–1","2–0","2–1","1–1","0–4","0–0","1–0","0–2","0–0","0–2","0–1","1–1","2–0"
"Darlington","1–4","0–0","1–0","1–1","3–3","1–1","2–1","3–1","","0–1","0–0","2–3","1–2","2–2","1–1","2–3","2–3","0–0","2–2","0–2","0–7","2–0","0–3","2–1"
"Doncaster Rovers","1–0","0–0","1–0","4–1","0–0","0–0","1–0","0–2","2–0","","5–1","0–1","2–1","0–0","1–1","0–1","1–5","3–0","1–1","0–2","2–0","2–2","1–0","1–1"
"Exeter City","1–0","2–1","5–1","1–1","3–1","0–0","1–0","0–0","1–1","0–1","","3–2","1–1","1–0","2–0","4–2","0–0","4–1","1–1","0–0","0–1","3–0","3–2","4–2"
"Gillingham","1–2","5–1","4–2","2–2","1–2","1–0","2–1","3–2","4–0","3–0","1–0","","2–0","2–0","1–1","2–1","0–0","1–3","2–0","1–0","2–0","3–0","1–1","0–2"
"Hartlepool","1–1","1–4","1–0","1–1","0–0","0–0","2–1","1–1","0–0","0–0","0–0","2–0","","0–1","1–0","1–1","1–0","2–0","0–1","1–2","0–2","0–0","1–0","1–0"
"Hereford United","1–0","1–2","1–0","1–0","2–1","3–1","4–1","1–0","1–0","3–2","1–0","0–0","0–0","","2–1","3–1","2–0","2–0","3–0","3–0","2–2","1–0","2–1","0–0"
"Lincoln City","0–2","1–2","2–1","2–2","2–1","1–0","3–2","1–1","1–0","2–1","2–2","1–0","1–2","4–1","","1–1","0–2","1–1","1–0","0–0","3–1","5–3","3–1","1–1"
"Mansfield Town","2–0","3–1","4–1","1–1","3–1","4–1","1–1","5–1","5–0","0–0","3–0","2–0","2–0","1–1","0–2","","0–0","1–0","4–2","1–1","3–3","1–0","2–1","4–0"
"Newport County","2–1","1–1","0–0","4–3","0–2","3–2","1–0","0–0","0–0","1–0","2–0","5–1","5–1","0–1","2–2","0–1","","1–0","1–1","1–0","3–1","1–0","2–1","2–0"
"Northampton Town","0–2","2–2","1–2","0–1","2–2","1–0","4–0","1–0","2–2","0–2","1–2","2–1","3–1","0–4","0–0","1–0","0–1","","1–3","1–1","0–1","1–1","0–2","1–0"
"Peterborough United","1–0","6–3","3–0","1–1","1–1","2–2","2–2","4–3","1–1","3–1","1–1","0–1","3–0","1–1","2–2","1–0","1–0","1–2","","4–2","0–1","2–3","0–1","2–1"
"Reading","0–0","0–0","2–0","0–0","1–0","2–1","0–1","1–1","1–0","1–0","2–0","3–1","1–0","0–1","1–1","2–0","5–0","3–0","2–0","","1–1","0–0","3–0","2–0"
"Southport","3–1","1–0","3–1","2–1","1–1","3–2","1–0","2–0","2–1","2–2","1–0","0–0","1–1","2–0","1–0","3–1","0–2","1–2","2–1","4–1","","1–0","2–1","2–1"
"Stockport County","1–1","2–0","3–1","0–0","2–2","2–1","2–0","0–0","3–1","2–1","1–0","2–3","0–1","1–1","2–1","2–1","1–0","0–0","3–2","2–2","2–0","","2–0","3–0"
"Torquay United","1–1","0–0","1–2","0–1","1–2","1–2","0–0","0–0","2–1","1–0","0–2","0–0","1–0","0–0","2–0","1–1","2–2","2–1","1–0","2–2","2–0","0–0","","3–0"
"Workington","2–1","3–2","1–1","2–0","5–1","3–1","1–0","1–1","2–1","2–0","3–1","1–1","0–0","2–1","0–3","2–0","3–2","3–0","2–2","0–0","2–0","2–0","2–2",""
