"Home \ Away","AST","BLP","B&HA","BRI","BUR","CAR","CRL","FUL","HUD","HUL","LUT","MID","MIL","NOT","ORI","OXF","POR","PNE","QPR","SHW","SUN","SWI"
"Aston Villa","","0–0","1–1","1–0","0–3","2–0","1–0","2–3","2–0","2–0","0–2","1–1","1–0","2–2","1–0","2–1","2–0","1–1","0–1","2–1","2–0","2–1"
"Blackpool","1–1","","6–2","3–0","1–2","1–0","0–0","2–0","1–1","4–3","1–1","0–1","2–1","2–0","1–1","2–1","3–1","2–0","2–0","1–2","0–0","2–0"
"Brighton & Hove Albion","1–3","1–2","","1–1","0–1","2–2","1–0","2–1","2–1","1–1","2–0","0–2","1–3","2–2","2–1","2–2","1–1","2–0","1–2","3–3","2–2","3–1"
"Bristol City","3–0","3–0","3–1","","0–1","1–0","4–1","1–1","0–0","2–1","0–1","1–1","2–2","1–1","2–2","0–0","3–1","2–1","1–2","1–2","1–0","3–0"
"Burnley","4–1","4–3","3–0","1–1","","3–0","2–2","2–2","2–1","4–1","3–0","0–0","2–1","1–0","1–2","1–1","4–0","2–0","1–1","0–1","2–0","2–1"
"Cardiff City","0–2","1–2","1–1","1–3","0–1","","1–0","3–1","4–1","0–2","2–1","2–0","1–0","2–1","3–1","2–0","0–2","3–0","0–0","4–1","1–1","1–1"
"Carlisle United","2–2","2–3","5–1","1–2","1–1","4–0","","2–1","0–0","0–1","2–0","1–1","0–1","1–2","1–0","2–1","1–0","6–1","1–3","1–1","4–3","3–0"
"Fulham","2–0","2–0","5–1","5–1","1–1","1–1","1–0","","1–1","2–0","0–1","2–1","1–0","3–1","1–1","2–0","0–0","1–3","0–2","1–0","1–2","0–0"
"Huddersfield Town","1–1","1–0","0–2","0–1","0–2","2–1","1–1","1–0","","1–3","1–2","1–1","1–0","1–1","1–1","2–0","2–0","0–0","2–2","1–0","1–1","1–1"
"Hull City","1–2","1–2","2–0","2–0","1–1","1–1","1–1","2–2","0–0","","4–0","3–1","0–2","0–0","2–0","0–1","5–1","6–2","4–1","1–1","0–2","3–2"
"Luton Town","0–0","2–2","2–1","1–3","2–2","1–1","0–1","1–0","4–1","1–2","","0–1","2–2","1–0","1–1","0–1","2–2","1–0","2–2","0–0","1–0","0–1"
"Middlesbrough","1–1","2–0","1–1","2–1","3–3","2–0","1–0","1–2","2–1","1–0","0–1","","1–0","0–0","3–2","1–0","3–0","0–0","0–0","3–0","2–1","0–2"
"Millwall","1–1","1–1","3–0","3–0","1–1","1–1","1–0","1–3","1–0","2–0","3–2","1–0","","2–1","2–0","3–1","0–2","4–1","0–1","2–1","0–1","1–1"
"Nottingham Forest","1–1","4–0","1–0","1–0","3–0","2–1","2–1","2–1","1–1","1–2","0–1","1–3","3–2","","2–1","2–1","0–0","0–1","0–0","3–0","1–0","2–2"
"Orient","4–0","2–0","1–0","0–2","1–1","0–0","2–1","3–2","3–1","0–0","0–1","2–0","3–1","3–0","","1–1","0–1","1–2","2–2","3–2","1–1","1–0"
"Oxford United","2–0","0–1","3–0","0–2","0–2","2–1","1–1","0–0","2–0","5–2","2–1","4–0","2–1","1–0","2–1","","1–3","0–2","2–0","1–0","5–1","1–0"
"Portsmouth","0–1","1–0","2–0","0–3","0–2","3–1","0–0","1–2","1–2","2–2","2–2","0–0","1–1","2–0","1–0","1–0","","0–1","0–1","1–0","2–3","1–1"
"Preston North End","0–1","0–3","4–0","3–3","1–1","0–0","1–0","0–3","0–0","1–0","2–0","0–1","1–0","2–1","0–0","0–1","0–5","","1–1","1–1","1–3","1–1"
"Queens Park Rangers","1–0","4–0","2–0","1–1","2–0","3–0","4–0","2–0","3–1","1–1","2–0","2–2","1–3","3–0","3–1","0–0","5–0","3–0","","4–2","3–2","5–0"
"Sheffield Wednesday","2–2","2–0","1–1","3–2","0–1","1–0","0–0","3–0","3–2","4–2","4–0","2–1","2–2","1–2","2–0","0–1","2–1","2–1","3–1","","1–0","2–1"
"Sunderland","2–2","1–0","4–0","2–2","0–1","2–1","2–1","0–0","3–0","1–1","0–2","4–0","2–0","4–1","1–0","1–0","2–0","0–0","0–3","1–1","","3–2"
"Swindon Town","1–3","0–0","2–2","2–1","0–1","3–0","2–0","2–2","1–1","2–1","0–2","1–0","0–0","0–0","3–1","1–3","1–1","3–2","2–2","1–0","1–1",""
