"Home \ Away","BOU","BLB","BOL","BRE","BRR","CHA","CHF","GRI","HAL","NTC","OLD","PLY","PTV","ROC","ROT","SCU","SHR","STD","SWA","TRA","WAL","WAT","WRE","YOR"
"AFC Bournemouth","","3–0","2–0","3–2","0–0","3–1","2–2","1–1","1–0","1–1","2–0","0–1","4–0","4–2","4–0","1–1","2–0","2–0","2–0","1–1","0–1","3–0","1–0","2–3"
"Blackburn Rovers","2–1","","0–3","2–1","0–0","3–1","0–1","0–0","3–0","2–0","1–1","3–1","0–1","1–1","2–1","3–0","0–0","2–1","3–0","2–2","2–0","0–0","1–1","2–0"
"Bolton Wanderers","3–0","0–1","","2–0","2–0","3–0","1–0","2–0","3–0","2–2","2–1","2–0","2–0","2–1","2–1","0–0","2–0","1–1","3–0","2–0","3–1","1–1","1–0","3–0"
"Brentford","1–1","4–0","2–1","","2–1","1–0","3–1","0–1","0–1","1–1","1–1","0–2","5–0","1–0","1–1","1–0","1–2","1–2","0–2","2–0","2–0","1–1","1–0","2–0"
"Bristol Rovers","2–0","3–0","1–1","3–1","","2–1","2–2","2–1","4–1","1–0","3–3","2–0","4–1","0–0","3–0","5–1","5–1","1–2","3–1","2–0","2–1","2–1","2–0","1–2"
"Charlton Athletic","1–1","1–2","2–3","2–1","3–3","","2–2","1–1","1–0","6–1","4–2","3–0","2–0","1–0","1–2","2–0","1–2","0–0","6–0","1–1","1–1","2–1","2–1","1–0"
"Chesterfield","1–1","3–1","0–1","3–0","0–1","1–0","","2–1","2–0","0–2","4–1","2–2","1–2","2–1","3–2","2–1","2–0","2–4","1–0","2–0","3–0","0–0","1–2","0–0"
"Grimsby Town","0–1","2–0","2–0","4–0","2–0","0–2","2–1","","0–0","3–1","6–2","1–1","0–1","1–0","2–1","1–0","3–2","3–1","2–0","2–0","6–2","2–0","0–1","1–2"
"Halifax Town","2–0","2–2","1–1","3–2","3–0","3–0","0–1","1–1","","0–1","0–3","2–1","2–2","0–0","0–1","1–0","0–1","2–1","1–1","2–1","0–1","1–1","2–2","1–0"
"Notts County","0–2","0–0","1–0","1–0","2–0","3–1","2–0","4–0","3–0","","2–4","2–0","1–1","2–2","2–0","2–0","1–0","2–0","2–0","4–1","1–1","1–0","1–0","1–0"
"Oldham Athletic","1–1","1–2","2–0","1–1","3–0","0–1","3–0","1–2","1–1","1–1","","7–1","1–0","0–0","1–0","3–0","2–1","0–1","2–0","3–1","2–1","2–1","2–2","1–1"
"Plymouth Argyle","1–0","1–2","1–0","0–1","3–2","5–0","2–2","3–1","2–1","1–4","1–3","","2–1","3–2","4–1","3–0","3–0","2–0","3–1","0–1","0–2","1–1","1–0","1–1"
"Port Vale","2–1","2–1","2–2","1–0","2–1","3–1","2–1","3–0","2–1","1–1","0–2","1–1","","0–0","4–1","2–0","1–1","3–1","3–1","0–0","1–2","1–0","3–2","2–1"
"Rochdale","1–0","0–1","2–2","0–1","0–0","0–2","1–2","3–2","0–0","4–1","0–0","0–6","0–0","","0–1","0–2","1–1","3–2","1–1","1–1","2–1","1–0","1–0","1–0"
"Rotherham United","2–7","1–1","1–0","2–1","1–1","2–1","1–0","2–0","0–1","1–4","2–3","1–0","7–0","0–0","","2–1","2–0","1–0","0–2","1–2","2–0","1–0","1–1","1–2"
"Scunthorpe United","1–1","1–1","1–1","1–0","0–2","0–2","0–1","1–2","0–3","1–0","0–0","1–1","0–1","1–2","2–1","","1–0","0–0","1–0","1–5","2–1","1–0","1–1","1–0"
"Shrewsbury Town","0–0","2–0","0–2","2–0","4–2","0–2","2–0","3–2","0–0","0–0","2–2","1–1","2–3","3–2","1–1","4–2","","1–0","2–1","0–0","1–1","0–0","0–0","1–0"
"Southend","2–2","0–1","1–1","4–0","0–0","1–1","5–1","2–0","1–1","2–1","0–1","3–1","5–0","1–2","1–0","1–0","2–0","","3–1","1–0","2–0","0–0","0–1","3–0"
"Swansea City","1–0","2–2","2–3","2–1","0–2","2–1","2–1","6–2","2–0","3–0","0–0","1–1","0–1","2–3","0–1","2–1","0–2","1–1","","1–1","2–1","2–1","3–1","1–3"
"Tranmere Rovers","0–0","1–1","1–1","6–2","1–1","4–0","1–0","1–1","1–1","0–2","0–1","2–2","2–0","0–1","2–0","2–1","1–0","3–1","1–1","","3–1","1–0","4–0","1–0"
"Walsall","1–0","0–2","3–2","3–0","4–3","3–2","3–2","1–0","0–1","1–3","3–0","1–3","2–0","0–2","1–0","1–1","1–0","3–1","1–1","2–0","","1–3","2–0","0–0"
"Watford","3–2","1–3","2–1","2–2","2–1","1–1","0–0","1–2","2–1","1–0","2–1","3–2","1–1","0–0","1–1","5–1","0–1","1–0","0–1","1–0","1–0","","0–0","2–2"
"Wrexham","1–1","0–0","1–3","4–1","2–2","2–2","1–0","3–2","0–0","2–0","1–1","1–2","5–0","3–3","1–0","1–2","0–0","4–2","1–0","0–0","2–1","1–0","","3–1"
"York City","0–0","1–0","0–1","0–1","0–0","1–1","2–0","0–0","2–1","1–1","0–0","1–2","0–0","1–2","0–1","3–1","2–1","2–0","3–0","4–1","0–0","0–0","1–1",""
