"Home \ Away","ARS","BIR","BUR","CHE","COV","DER","EVE","IPS","LEE","LEI","LIV","MCI","MUN","NEW","NWC","QPR","SHU","SOU","STK","TOT","WHU","WOL"
"Arsenal","","1–0","1–1","0–0","2–2","2–0","1–0","1–1","1–2","0–2","0–2","2–0","3–0","0–1","2–0","1–1","1–0","1–0","2–1","0–1","0–0","2–2"
"Birmingham","3–1","","2–2","2–4","1–0","0–0","0–2","0–3","1–1","3–0","1–1","1–1","1–0","1–0","2–1","4–0","1–0","1–1","0–0","1–2","3–1","2–1"
"Burnley","2–1","2–1","","1–0","2–2","1–1","3–1","0–1","0–0","0–0","2–1","3–0","0–0","1–1","1–0","2–1","1–2","3–0","1–0","2–2","1–1","1–1"
"Chelsea","1–3","3–1","3–0","","1–0","1–1","3–1","2–3","1–2","3–2","0–1","1–0","1–3","1–0","3–0","3–3","1–2","4–0","0–1","0–0","2–4","2–2"
"Coventry City","3–3","0–1","1–1","2–2","","1–0","1–2","0–1","0–0","1–2","1–0","2–1","1–0","2–2","1–0","0–1","3–1","2–0","2–0","1–0","0–1","1–0"
"Derby County","1–1","1–1","5–1","1–0","1–0","","2–1","2–0","0–0","2–1","3–1","1–0","2–2","1–0","1–1","1–2","4–1","6–2","1–1","2–0","1–1","2–0"
"Everton","1–0","4–1","1–0","1–1","1–0","2–1","","3–0","0–0","1–1","0–1","2–0","1–0","1–1","4–1","1–0","1–1","0–3","1–1","1–1","1–0","2–1"
"Ipswich Town","2–2","3–0","3–2","1–1","3–0","3–0","3–0","","0–3","1–1","1–1","2–1","2–1","1–3","1–1","1–0","0–1","7–0","1–1","0–0","1–3","2–0"
"Leeds United","3–1","3–0","1–4","1–1","3–0","2–0","3–1","3–2","","1–1","1–0","1–0","0–0","1–1","1–0","2–2","0–0","2–1","1–1","1–1","4–1","4–1"
"Leicester City","2–0","3–3","2–0","3–0","0–2","0–1","2–1","5–0","2–2","","1–1","1–1","1–0","1–0","3–0","2–0","1–1","0–1","1–1","3–0","0–1","2–2"
"Liverpool","0–1","3–2","1–0","1–0","2–1","2–0","0–0","4–2","1–0","1–1","","4–0","2–0","2–1","1–0","2–1","1–0","1–0","1–0","3–2","1–0","1–0"
"Manchester City","1–2","3–1","2–0","3–2","1–0","1–0","1–1","1–3","0–1","2–0","1–1","","0–0","2–1","2–1","1–0","0–1","1–1","0–0","0–0","2–1","1–1"
"Manchester United","1–1","1–0","3–3","2–2","2–3","0–1","3–0","2–0","0–2","1–2","0–0","0–1","","1–0","0–0","2–1","1–2","0–0","1–0","0–1","3–1","0–0"
"Newcastle United","1–1","1–1","1–2","2–0","5–1","0–2","2–1","3–1","0–1","1–1","0–0","1–0","3–2","","0–0","2–3","1–0","0–1","2–1","0–2","1–1","2–0"
"Norwich City","0–4","2–1","1–0","2–2","0–0","2–4","1–3","1–2","0–1","1–0","1–1","1–1","0–2","1–1","","0–0","2–1","2–0","4–0","1–1","2–2","1–1"
"Queens Park Rangers","2–0","2–2","2–1","1–1","3–0","0–0","1–0","0–1","0–1","0–0","2–2","3–0","3–0","3–2","1–2","","0–0","1–1","3–3","3–1","0–0","0–0"
"Sheffield United","5–0","1–1","0–2","1–2","0–1","3–0","1–1","0–3","0–2","1–1","1–0","1–2","0–1","1–1","1–0","1–1","","4–2","0–0","2–2","1–0","1–0"
"Southampton","1–1","0–2","2–2","0–0","1–1","1–1","2–0","2–0","1–2","1–0","1–0","0–2","1–1","3–1","2–2","2–2","3–0","","3–0","1–1","1–1","2–1"
"Stoke City","0–0","5–2","4–0","1–0","3–0","0–0","0–0","1–1","3–2","1–0","1–1","1–1","1–0","2–1","2–0","4–1","1–2","4–1","","1–0","2–0","2–3"
"Tottenham Hotspur","2–0","4–2","2–3","1–2","2–1","1–0","0–2","1–1","0–3","1–0","1–1","0–2","2–1","0–2","0–0","0–0","1–2","3–1","2–1","","2–0","1–3"
"West Ham United","1–3","0–0","0–1","3–0","2–3","0–0","4–3","3–3","3–1","1–1","2–2","2–1","2–1","1–2","4–2","2–3","2–2","4–1","0–2","0–1","","0–0"
"Wolverhampton Wanderers","3–1","1–0","0–2","2–0","1–1","4–0","1–1","3–1","0–2","1–0","0–1","0–0","2–1","1–0","3–1","2–4","2–0","2–1","1–1","1–1","0–0",""
