"Home \ Away","BAR","BRA","BRE","BRY","CHE","COL","CRE","DAR","DON","EXE","GIL","HAR","LIN","MAN","NPC","NOR","PET","REA","ROT","SCU","STP","SWA","TOR","WRK"
"Barnsley","","2–2","2–1","3–2","1–1","0–1","2–1","1–0","2–0","3–0","3–1","2–0","0–1","1–1","1–1","0–2","0–0","3–2","1–0","5–0","4–0","1–0","1–0","4–0"
"Bradford City","3–0","","1–1","4–2","1–1","1–1","0–1","3–0","1–1","1–0","0–0","2–0","4–0","3–1","3–0","1–1","1–1","4–3","2–1","2–1","0–1","3–1","2–1","3–2"
"Brentford","5–1","2–0","","1–2","3–0","0–0","3–0","0–0","2–0","0–1","0–3","1–2","2–1","4–1","1–1","3–1","0–1","0–1","1–1","2–1","0–0","0–2","0–0","1–1"
"Bury","2–0","3–0","3–0","","3–1","2–0","2–0","5–1","3–1","0–0","3–2","1–0","2–1","2–0","5–0","3–1","0–2","1–0","3–1","0–0","1–1","0–2","4–0","3–1"
"Chester","3–1","1–0","0–0","1–1","","0–4","1–0","1–0","3–0","0–1","2–4","3–1","2–3","1–1","3–0","0–0","2–1","0–0","1–0","2–0","2–1","1–0","1–1","1–0"
"Colchester United","2–0","4–0","2–1","1–1","1–1","","3–2","3–0","3–0","1–0","0–2","3–0","4–1","1–0","4–1","1–0","1–1","0–0","0–1","2–0","3–1","2–0","2–2","3–0"
"Crewe Alexandra","0–1","1–0","0–0","1–0","1–0","1–2","","1–1","4–0","2–5","1–0","1–3","2–1","1–1","4–1","0–2","2–1","2–1","1–8","1–0","1–3","0–0","0–0","1–0"
"Darlington","4–2","2–1","1–2","0–0","1–2","1–0","3–0","","1–0","1–0","1–3","1–1","0–3","1–0","0–1","2–3","2–2","2–1","1–1","3–0","1–1","1–1","0–0","0–0"
"Doncaster Rovers","1–0","2–2","1–2","1–1","1–2","2–0","0–2","0–0","","1–0","1–2","2–2","2–0","0–0","2–0","2–1","3–1","0–0","1–2","1–0","1–1","3–1","0–1","5–2"
"Exeter City","6–1","0–0","2–1","0–3","2–1","1–0","2–0","3–0","1–2","","2–1","2–0","0–1","1–1","0–1","1–1","1–2","0–1","0–0","4–0","2–1","2–0","4–2","1–1"
"Gillingham","1–1","2–0","1–0","3–0","1–0","4–1","3–0","0–1","5–1","2–1","","3–0","2–0","2–2","1–1","3–1","1–0","0–1","1–1","7–2","2–1","1–1","2–1","4–0"
"Hartlepool","1–2","1–0","1–0","1–1","0–0","0–0","1–0","1–2","3–0","1–3","2–1","","0–2","4–0","0–1","1–0","0–1","1–2","2–0","3–0","3–0","0–1","0–0","3–0"
"Lincoln City","1–1","0–1","3–2","4–3","2–2","0–1","4–2","2–1","3–3","2–1","2–3","0–1","","1–1","3–0","1–1","1–1","0–2","2–1","1–0","1–1","2–2","3–0","2–0"
"Mansfield Town","2–2","0–0","1–1","1–2","3–0","2–2","1–2","1–0","2–0","3–3","2–2","2–0","4–3","","2–1","2–0","2–1","1–1","3–0","2–2","5–0","2–1","2–1","2–0"
"Newport County","1–0","2–2","1–1","1–0","0–2","1–3","4–2","2–0","3–1","2–1","3–3","0–0","0–1","2–0","","3–1","0–1","0–0","1–0","2–1","3–1","2–1","2–2","4–0"
"Northampton Town","2–1","3–0","0–0","3–1","3–3","0–0","1–1","5–0","3–1","1–2","0–0","1–0","1–0","2–0","1–0","","0–1","3–3","3–1","2–0","2–0","2–0","0–0","1–0"
"Peterborough United","3–0","1–1","1–0","2–2","0–0","2–0","4–0","1–0","5–1","2–0","4–2","2–0","1–0","2–1","2–0","3–0","","2–0","2–0","1–0","3–2","3–0","1–1","2–0"
"Reading","1–0","0–0","1–0","2–2","3–0","1–1","2–0","2–0","5–0","4–1","0–1","1–1","0–0","3–0","1–1","1–2","1–1","","1–0","0–0","1–1","1–2","4–0","2–0"
"Rotherham United","2–1","2–1","1–1","1–0","3–2","0–0","1–1","0–1","1–2","4–0","1–1","2–2","2–0","2–1","1–1","1–2","3–1","1–1","","1–1","1–2","1–0","1–0","1–1"
"Scunthorpe United","3–0","2–1","4–1","1–2","2–1","1–0","0–0","1–0","2–1","","1–1","1–1","1–1","5–3","0–0","1–2","2–1","1–0","3–0","","2–1","0–0","0–0","0–1"
"Stockport County","1–1","0–1","1–1","3–2","0–1","0–3","0–0","1–2","0–0","0–1","2–0","1–1","2–2","1–1","1–1","2–2","1–1","0–0","0–1","3–1","","0–1","2–1","1–1"
"Swansea City","2–0","0–1","0–0","0–1","2–0","2–0","2–0","0–0","0–0","2–0","0–3","0–0","3–0","2–0","1–1","1–1","0–2","2–1","4–2","1–2","3–0","","0–1","1–0"
"Torquay United","1–1","1–0","3–0","1–2","2–2","0–4","2–1","0–0","3–0","0–0","0–1","0–2","2–1","4–0","3–2","1–0","1–2","1–1","3–0","1–1","2–2","3–1","","3–0"
"Workington","1–0","1–0","0–2","0–0","1–1","1–4","0–0","5–2","3–1","3–1","3–3","0–2","1–1","0–0","3–2","1–0","4–1","0–0","0–2","1–2","1–1","1–0","3–1",""
