"Home \ Away","AST","BLP","BOL","BRI","CAR","CRL","CRY","FUL","HUL","LUT","MID","MIL","NOT","NTC","ORI","OXF","POR","PNE","SHW","SUN","SWI","WBA"
"Aston Villa","","0–1","1–1","2–2","5–0","2–1","2–1","1–1","1–1","0–1","1–1","0–0","3–1","1–1","2–2","2–0","4–1","2–0","1–0","1–2","1–1","1–3"
"Blackpool","2–1","","0–2","2–2","2–1","4–0","1–0","2–0","1–2","3–0","0–0","1–0","2–2","0–1","1–1","2–0","5–0","3–0","0–0","0–2","2–0","2–3"
"Bolton Wanderers","1–2","1–1","","2–1","1–1","2–0","2–0","0–0","1–0","1–0","2–1","0–1","1–0","1–3","1–1","2–1","4–0","0–2","4–2","1–0","2–0","1–1"
"Bristol City","0–1","0–1","1–0","","3–2","2–0","0–1","0–1","3–1","1–3","1–1","5–2","1–0","2–2","0–2","0–0","0–2","0–0","2–0","2–0","1–0","1–1"
"Cardiff City","0–1","1–0","1–0","0–1","","2–2","1–1","0–0","1–3","0–0","3–2","1–3","1–1","1–0","1–1","5–0","1–1","2–0","0–1","4–1","2–1","0–1"
"Carlisle United","2–0","2–3","1–0","2–1","1–1","","1–0","3–0","4–0","2–0","1–1","1–1","2–1","3–0","3–0","2–1","0–2","2–2","2–2","1–0","5–1","0–1"
"Crystal Palace","0–0","1–2","0–0","3–1","3–3","0–1","","0–2","0–2","1–2","2–3","1–1","0–1","1–4","0–0","2–0","0–0","2–0","0–0","3–0","4–2","1–0"
"Fulham","1–0","0–0","1–0","2–1","0–1","0–2","1–3","","0–0","2–1","0–4","2–0","2–0","2–0","0–3","3–1","2–0","0–0","4–1","0–2","4–1","0–0"
"Hull City","1–1","1–0","0–0","2–1","1–1","1–1","3–0","2–0","","1–3","1–3","1–1","0–0","1–0","1–1","0–0","4–1","1–0","2–1","2–0","0–1","0–0"
"Luton Town","1–0","3–0","2–1","1–0","1–0","6–1","2–1","1–1","2–2","","0–1","3–0","2–2","1–1","3–1","0–1","3–3","4–2","2–1","3–4","2–1","0–2"
"Middlesbrough","0–0","0–0","0–0","2–0","3–0","1–0","2–0","0–2","1–0","2–1","","2–1","1–0","4–0","3–2","1–0","3–0","3–0","8–0","2–1","2–1","0–0"
"Millwall","1–1","2–2","2–1","0–2","2–0","1–2","3–2","1–0","3–0","0–1","0–1","","0–0","0–0","0–1","0–0","1–1","5–1","1–0","2–1","3–0","1–0"
"Nottingham Forest","1–2","2–0","3–2","1–1","2–1","2–0","1–2","3–0","0–0","4–0","5–1","3–0","","0–0","2–1","1–1","2–0","1–1","2–1","2–2","2–0","1–4"
"Notts County","2–0","0–3","0–0","2–1","1–1","0–3","1–3","2–1","3–2","1–1","2–2","3–3","0–1","","2–4","0–0","4–0","2–1","1–5","1–4","2–0","1–0"
"Orient","1–1","3–2","3–0","0–1","1–2","0–1","3–0","1–0","1–1","2–0","0–0","1–1","2–1","1–1","","1–1","2–1","2–2","0–1","2–1","0–0","2–0"
"Oxford United","2–1","2–2","0–2","5–0","4–2","0–1","1–1","0–0","1–1","1–1","0–2","0–3","1–0","2–1","1–1","","3–0","1–1","1–0","0–1","1–1","1–0"
"Portsmouth","2–0","0–0","0–2","1–0","1–0","2–1","2–2","3–0","3–1","0–0","0–1","0–0","0–2","1–2","0–0","2–1","","3–0","1–1","1–1","3–1","1–1"
"Preston North End","0–0","1–3","2–1","1–1","2–2","0–1","1–1","0–1","2–0","2–2","2–4","2–0","2–1","0–2","0–1","0–0","2–1","","0–0","1–0","1–1","3–1"
"Sheffield Wednesday","2–4","0–0","1–0","3–1","5–0","1–0","4–0","0–3","1–1","2–2","2–2","3–2","1–1","0–0","1–2","0–1","1–2","1–0","","0–1","2–1","3–1"
"Sunderland","2–0","2–1","3–0","1–2","1–1","2–1","0–0","1–0","1–0","0–1","0–2","4–0","0–0","1–2","1–1","0–0","3–0","2–1","3–1","","4–1","1–1"
"Swindon Town","1–0","1–0","2–2","0–1","1–1","2–2","0–1","1–1","1–1","0–2","0–1","1–3","0–0","1–4","2–2","1–0","1–2","3–1","3–1","0–2","","1–0"
"West Bromwich Albion","2–0","1–1","0–0","2–2","2–2","1–1","1–0","2–0","2–3","1–1","0–4","1–1","3–3","2–1","1–0","1–0","1–2","0–2","2–0","1–1","2–0",""
