"Home \ Away","BOU","ALD","BLB","B&HA","BRR","CAM","CHA","CHF","GRI","HAL","HER","HUD","OLD","PLY","PTV","ROC","SHR","STD","SOU","TRA","WAL","WAT","WRE","YOR"
"AFC Bournemouth","","3–0","1–2","0–0","0–3","1–0","1–0","0–1","1–1","1–1","3–2","1–0","0–3","0–0","2–2","2–0","1–0","1–3","2–0","2–1","1–0","1–0","0–1","1–3"
"Aldershot","1–3","","4–0","0–1","2–3","6–0","2–1","2–2","1–0","2–1","1–0","1–0","0–1","3–2","0–0","4–0","2–2","3–3","4–0","0–0","1–0","1–0","5–1","2–2"
"Blackburn Rovers","4–3","1–2","","3–1","0–2","2–0","1–1","2–1","1–0","1–1","1–2","1–0","0–1","2–0","1–1","3–1","2–0","1–0","2–1","0–0","0–2","5–0","1–2","4–0"
"Brighton & Hove Albion","0–2","0–1","3–0","","2–8","4–1","1–2","0–0","1–1","0–1","2–1","1–2","1–2","1–0","2–1","2–1","2–0","0–2","4–0","1–3","2–1","0–1","2–1","0–0"
"Bristol Rovers","3–0","2–1","3–0","1–1","","1–0","2–1","1–0","1–1","2–0","1–1","2–1","1–2","4–2","1–1","1–1","1–0","4–0","3–1","1–0","0–2","1–0","1–0","0–0"
"Cambridge United","2–1","1–2","0–2","1–1","2–2","","1–0","1–2","0–1","0–1","2–0","2–2","1–1","3–1","4–2","3–3","2–1","3–2","2–0","1–0","0–0","3–2","2–1","0–0"
"Charlton Athletic","0–0","2–0","4–3","0–4","1–1","2–0","","3–3","2–1","5–2","2–0","2–1","4–1","2–0","2–0","3–0","3–3","2–1","0–1","1–0","0–1","1–3","0–0","2–4"
"Chesterfield","2–1","0–0","3–0","1–0","0–0","3–0","3–1","","1–0","1–1","1–1","0–2","1–0","1–0","2–1","1–0","0–2","0–0","4–2","1–0","1–0","3–1","2–2","0–2"
"Grimsby Town","1–1","1–0","4–2","0–0","1–1","1–0","5–0","1–1","","4–1","1–3","2–1","2–1","3–0","2–0","5–1","1–2","2–1","2–1","5–0","1–0","2–2","1–1","1–2"
"Halifax Town","1–1","0–0","1–1","2–2","0–0","0–1","2–1","2–0","1–2","","1–1","0–0","0–0","1–0","1–0","1–0","1–0","0–0","1–1","2–1","3–1","0–0","1–2","2–1"
"Hereford United","0–2","0–2","1–0","3–0","0–0","0–0","2–3","2–1","2–1","3–1","","0–1","3–4","0–1","2–1","2–1","1–1","1–2","3–0","0–2","3–1","1–1","2–0","0–0"
"Huddersfield Town","1–1","1–0","1–0","2–2","1–2","2–1","2–0","1–0","1–0","4–0","0–0","","2–1","2–1","3–0","5–0","1–0","0–1","3–1","0–0","2–2","1–2","2–1","0–1"
"Oldham Athletic","4–2","2–0","2–3","0–1","1–1","6–1","0–2","0–0","3–1","3–2","1–1","6–0","","1–0","1–1","3–1","3–0","2–0","6–0","2–2","2–1","0–3","0–0","2–1"
"Plymouth Argyle","2–0","2–1","2–1","0–1","1–0","4–1","1–0","1–1","1–0","1–1","0–1","1–1","0–0","","2–0","5–0","2–2","1–1","4–1","2–0","2–1","2–0","1–2","0–2"
"Port Vale","0–0","0–1","1–2","2–1","3–1","2–1","3–1","0–1","1–1","1–1","1–3","4–2","3–0","2–1","","3–1","3–0","0–0","2–1","1–0","1–1","1–2","1–0","2–2"
"Rochdale","3–3","2–2","1–2","1–1","0–1","0–2","1–1","1–2","1–1","1–1","1–1","1–1","1–3","1–3","1–1","","3–2","1–1","2–2","0–1","0–1","1–3","0–0","1–3"
"Shrewsbury Town","1–1","0–0","3–0","1–0","0–2","2–0","3–3","0–1","1–1","0–2","1–1","3–0","0–2","0–0","0–1","2–0","","1–2","2–0","1–3","0–0","3–2","0–1","0–2"
"Southend","2–2","2–1","1–1","0–2","0–0","3–1","2–0","1–3","4–1","1–2","2–1","5–2","2–2","2–0","1–0","1–2","2–0","","0–1","1–1","2–1","2–3","1–1","3–3"
"Southport","1–0","3–0","2–2","1–1","1–0","0–0","1–2","1–1","0–1","1–1","1–1","0–0","0–2","1–1","0–1","0–0","1–0","0–0","","2–2","1–1","1–1","0–2","1–1"
"Tranmere","1–1","0–1","1–1","4–1","0–0","5–2","2–0","1–2","0–0","0–1","0–0","1–1","0–2","2–0","3–0","1–1","1–0","2–0","3–1","","3–0","1–0","0–1","0–0"
"Walsall","1–2","3–2","2–0","0–1","0–0","3–0","4–0","2–0","3–1","2–2","3–1","3–0","1–1","0–4","0–0","0–0","2–0","1–2","2–0","0–1","","2–2","3–0","0–0"
"Watford","1–1","2–1","0–0","1–0","0–0","3–0","1–3","2–1","1–2","0–0","2–1","1–1","0–1","0–3","2–1","4–0","1–0","1–0","4–0","4–2","1–3","","2–0","1–1"
"Wrexham","0–1","0–0","2–2","1–0","1–0","2–1","4–0","2–1","1–1","2–1","5–0","0–0","1–2","5–2","0–0","3–0","3–1","5–1","3–2","0–0","2–0","1–0","","1–0"
"York City","4–1","3–1","1–0","3–0","2–1","2–0","0–1","0–0","1–1","1–1","0–0","2–1","1–1","1–1","3–1","2–1","0–1","1–0","4–0","2–0","1–1","2–2","1–0",""
