"Home \ Away","ARS","BIR","BUR","CRL","CHE","COV","DER","EVE","IPS","LEE","LEI","LIV","LUT","MCI","MID","NEW","QPR","SHU","STK","TOT","WHU","WOL"
"Arsenal","","1–1","0–1","2–1","1–2","2–0","3–1","0–2","0–1","1–2","0–0","2–0","2–2","4–0","2–0","3–0","2–2","1–0","1–1","1–0","3–0","0–0"
"Birmingham","3–1","","1–1","2–0","2–0","1–2","3–2","0–3","0–1","1–0","3–4","3–1","1–4","4–0","0–3","3–0","4–1","0–0","0–3","1–0","1–1","1–1"
"Burnley","3–3","2–2","","2–1","1–2","3–0","2–5","1–1","1–0","2–1","2–0","1–1","1–0","2–1","1–1","4–1","3–0","2–1","0–0","3–2","3–5","1–2"
"Carlisle United","2–1","1–0","4–2","","1–2","0–0","3–0","3–0","2–1","1–2","0–1","0–1","1–2","0–0","0–1","1–2","1–2","0–1","0–2","1–0","0–1","1–0"
"Chelsea","0–0","2–1","3–3","0–2","","3–3","1–2","1–1","0–0","0–2","0–0","0–3","2–0","0–1","1–2","3–2","0–3","1–1","3–3","1–0","1–1","0–1"
"Coventry City","3–0","1–0","0–3","2–1","1–3","","1–1","1–1","3–1","1–3","2–2","1–1","2–1","2–2","0–2","2–0","1–1","2–2","2–0","1–1","1–1","2–1"
"Derby County","2–1","2–1","3–2","0–0","4–1","1–1","","0–1","2–0","0–0","1–0","2–0","5–0","2–1","2–3","2–2","5–2","2–0","1–2","3–1","1–0","1–0"
"Everton","2–1","4–1","1–1","2–3","1–1","1–0","0–0","","1–1","3–2","3–0","0–0","3–1","2–0","1–1","1–1","2–1","2–3","2–1","1–0","1–1","0–0"
"Ipswich Town","3–0","3–2","2–0","3–1","2–0","4–0","3–0","1–0","","0–0","2–1","1–0","0–1","1–1","2–0","5–4","2–1","0–1","3–1","4–0","4–1","2–0"
"Leeds United","2–0","1–0","2–2","3–1","2–0","0–0","0–1","0–0","2–1","","2–2","0–2","1–1","2–2","2–2","1–1","0–1","5–1","3–1","2–1","2–1","2–0"
"Leicester City","0–1","1–1","1–0","1–1","1–1","0–1","0–0","0–2","0–1","0–2","","1–1","0–0","1–0","1–0","4–0","3–1","3–0","1–1","1–2","3–0","3–2"
"Liverpool","1–3","1–0","0–1","2–0","2–2","2–1","2–2","0–0","5–2","1–0","2–1","","2–0","4–1","2–0","4–0","3–1","0–0","3–0","5–2","1–1","2–0"
"Luton Town","2–0","1–3","2–3","3–1","1–1","1–3","1–0","2–1","1–4","2–1","3–0","1–2","","1–1","0–1","1–0","1–1","0–1","0–0","1–1","0–0","3–2"
"Manchester City","2–1","3–1","2–0","1–2","1–1","1–0","1–2","2–1","1–1","2–1","4–1","2–0","1–0","","2–1","5–1","1–0","3–2","1–0","1–0","4–0","0–0"
"Middlesbrough","0–0","3–0","2–0","0–2","1–1","4–4","1–1","2–0","3–0","0–1","3–0","1–0","1–1","3–0","","0–0","1–3","1–0","2–0","3–0","0–0","2–1"
"Newcastle United","3–1","1–2","3–0","1–0","5–0","3–2","0–2","0–1","1–0","3–0","0–1","4–1","1–0","2–1","2–1","","2–2","2–2","2–2","2–5","2–0","0–0"
"Queens Park Rangers","0–0","0–1","0–1","2–1","1–0","2–0","4–1","2–2","1–0","1–1","4–2","0–1","2–1","2–0","0–0","1–2","","1–0","0–1","0–1","0–2","2–0"
"Sheffield United","1–1","3–2","2–2","2–1","2–1","1–0","1–2","2–2","3–1","1–1","4–0","1–0","1–1","1–1","1–0","2–1","1–1","","2–0","0–1","3–2","1–0"
"Stoke City","0–2","0–0","2–0","5–2","3–0","2–0","1–1","1–1","1–2","3–0","1–0","2–0","4–2","4–0","1–1","0–0","1–0","3–2","","2–2","2–1","2–2"
"Tottenham Hotspur","2–0","0–0","2–3","1–1","2–0","1–1","2–0","1–1","0–1","4–2","0–3","0–2","2–1","1–2","1–2","3–0","1–2","1–3","0–2","","2–1","3–0"
"West Ham United","1–0","3–0","2–1","2–0","0–1","1–2","2–2","2–3","1–0","2–1","6–2","0–0","2–0","0–0","3–0","0–1","2–2","1–2","2–2","1–1","","5–2"
"Wolverhampton Wanderers","1–0","0–1","4–2","2–0","7–1","2–0","0–1","2–0","2–1","1–1","1–1","0–0","5–2","1–0","2–0","4–2","1–2","1–1","2–2","2–3","3–1",""
