"Home \ Away","BAR","BRA","BRE","CAM","CHE","CRE","DAR","DON","EXE","HAR","LIN","MAN","NPC","NOR","REA","ROC","ROT","SCU","SHR","SOU","STP","SWA","TOR","WRK"
"Barnsley","","2–2","1–1","1–1","0–1","1–1","1–1","0–1","1–0","2–1","0–2","1–3","2–1","5–1","2–0","5–3","1–1","2–2","1–0","3–0","2–0","1–0","0–1","0–1"
"Bradford City","2–0","","1–0","1–1","2–0","1–2","1–1","2–0","0–1","3–0","1–2","1–1","0–1","2–1","1–3","1–0","1–1","3–0","1–2","1–2","2–0","1–2","3–0","1–1"
"Brentford","3–0","0–0","","1–0","1–1","1–0","3–0","1–1","2–0","1–0","1–1","2–3","0–0","1–0","1–0","3–0","3–4","2–0","2–1","1–0","3–0","1–0","3–1","2–2"
"Cambridge United","2–0","0–1","2–0","","3–0","2–0","1–0","4–1","1–1","3–2","5–0","2–2","1–1","3–4","1–0","1–1","0–0","2–0","0–2","1–0","1–0","2–0","3–1","3–0"
"Chester","2–1","1–0","2–0","1–1","","2–0","1–0","3–0","1–1","3–0","4–1","0–0","4–1","4–1","2–0","4–0","0–1","1–0","1–1","3–0","3–1","3–0","3–0","0–0"
"Crewe Alexandra","1–1","0–0","1–1","0–0","0–1","","2–1","2–1","2–1","2–0","1–0","0–2","1–2","3–1","1–0","0–1","1–0","1–1","0–0","0–0","2–0","2–2","0–1","0–0"
"Darlington","0–0","0–3","2–1","6–0","1–1","1–0","","4–1","2–0","1–2","1–4","2–1","3–0","2–0","0–1","1–2","0–1","3–1","1–2","1–1","0–2","3–2","2–2","2–0"
"Doncaster Rovers","1–1","4–1","2–1","0–1","1–1","2–1","1–3","","3–3","3–0","2–2","4–3","0–2","2–0","1–1","4–1","0–0","1–1","1–3","1–1","2–1","3–2","3–0","0–0"
"Exeter City","4–2","1–0","1–0","1–4","1–0","2–0","4–1","2–1","","1–0","1–2","0–1","3–1","2–2","0–2","2–1","0–4","0–0","1–0","1–0","4–1","1–2","0–0","1–0"
"Hartlepool","4–3","1–2","3–2","1–1","1–0","1–1","2–0","2–1","0–3","","2–0","2–1","2–0","2–0","2–3","5–0","3–2","1–0","1–1","1–1","1–1","0–2","0–0","3–0"
"Lincoln City","3–0","2–1","1–1","0–0","2–1","0–0","1–1","4–0","5–0","2–0","","0–0","5–2","2–2","1–1","3–0","2–0","1–0","3–0","1–1","2–0","1–3","3–1","3–0"
"Mansfield Town","2–1","3–0","1–1","2–1","0–0","0–0","4–2","5–2","3–2","2–0","3–1","","3–0","3–0","1–1","2–0","1–1","7–0","3–1","2–1","1–1","3–0","3–0","1–0"
"Newport County","3–4","2–1","1–0","1–2","3–0","1–1","2–1","0–2","1–2","2–0","1–1","2–1","","2–1","2–2","3–2","1–1","2–0","2–4","1–0","3–3","3–0","2–1","3–1"
"Northampton Town","2–1","1–2","0–0","1–2","2–0","3–0","3–0","2–0","1–1","3–0","1–0","0–2","3–2","","0–3","0–1","1–1","3–0","3–3","1–1","4–1","5–1","1–1","3–0"
"Reading","0–3","1–1","1–0","2–0","2–1","1–1","3–0","2–0","3–0","0–0","1–0","1–1","3–0","3–2","","2–1","1–1","1–1","1–2","4–1","1–3","1–2","1–0","3–0"
"Rochdale","3–1","1–1","0–0","0–0","0–1","3–0","2–0","2–0","1–1","3–0","1–1","0–1","2–4","2–2","0–2","","1–2","4–2","0–0","3–3","3–0","1–0","1–1","2–0"
"Rotherham United","2–0","4–0","3–0","0–0","1–2","1–1","1–1","1–0","1–1","1–2","2–2","2–1","1–1","1–3","2–1","3–1","","3–2","0–0","3–0","3–0","1–0","3–1","1–0"
"Scunthorpe United","1–0","1–2","1–2","2–0","1–3","1–1","1–1","0–0","2–1","1–1","1–1","0–1","4–1","2–1","0–1","2–2","0–3","","1–0","3–3","0–0","1–2","0–2","2–1"
"Shrewsbury Town","3–1","3–2","1–0","1–0","2–0","0–1","2–0","7–4","2–2","0–1","0–4","0–1","1–0","6–0","2–0","1–1","3–1","5–0","","1–0","0–0","2–0","2–0","2–0"
"Southport","1–0","1–2","3–0","2–2","2–1","1–1","1–0","2–1","3–0","0–0","3–2","1–1","1–3","0–0","2–0","1–0","2–0","1–0","1–2","","2–1","3–0","1–1","2–2"
"Stockport County","0–3","1–1","1–1","1–0","1–1","1–0","2–1","0–2","3–2","1–1","0–0","3–2","1–1","1–0","1–0","2–3","1–0","3–2","0–3","0–0","","2–1","0–0","1–3"
"Swansea City","0–3","1–1","0–1","2–1","0–1","2–1","1–0","3–3","0–2","1–0","2–1","1–2","2–0","1–0","1–2","3–3","0–2","1–0","1–4","2–2","1–0","","0–1","0–1"
"Torquay United","1–1","0–1","3–2","1–0","3–0","1–0","0–0","2–0","2–2","2–1","1–3","0–2","0–1","0–1","2–1","3–0","0–3","1–1","1–1","3–2","2–2","0–0","","2–1"
"Workington","1–2","0–0","0–1","1–2","0–0","3–0","1–2","0–3","0–1","1–1","0–2","1–3","3–1","2–2","2–1","2–1","0–2","1–1","0–2","0–1","1–0","2–0","2–1",""
