"Home \ Away","AST","BLP","BOL","BRI","BRR","CAR","FUL","HUL","MUN","MIL","NWC","NOT","NTC","OLD","ORI","OXF","POR","SHW","SOU","SUN","WBA","YOR"
"Aston Villa","","1–0","0–0","2–0","1–0","2–0","1–1","6–0","2–0","3–0","1–1","3–0","0–1","5–0","3–1","0–0","2–0","3–1","3–0","2–0","3–1","4–0"
"Blackpool","0–3","","2–1","2–0","0–0","4–0","1–0","1–2","0–3","1–0","2–1","0–0","3–1","1–0","0–0","0–0","2–2","3–1","3–0","3–2","2–0","1–1"
"Bolton Wanderers","1–0","0–0","","0–2","5–1","2–1","0–0","1–1","0–1","2–0","0–0","2–0","1–1","1–1","2–0","3–1","3–0","0–1","3–2","0–2","0–1","1–1"
"Bristol City","1–0","0–1","2–1","","1–1","0–0","3–1","2–0","1–0","2–1","0–1","1–0","3–0","3–1","0–0","3–0","3–1","1–0","2–0","1–1","2–1","0–0"
"Bristol Rovers","2–0","1–3","1–0","1–4","","1–0","1–2","2–0","1–1","2–0","0–2","4–2","0–0","2–1","0–0","1–0","0–1","1–1","0–1","2–1","2–1","1–3"
"Cardiff City","3–1","1–1","1–2","0–1","2–2","","0–0","1–2","0–1","0–1","2–1","2–1","0–0","3–1","0–0","1–1","1–0","0–0","2–2","2–0","0–2","3–2"
"Fulham","3–1","1–0","2–1","1–1","0–0","4–0","","1–1","1–2","0–0","4–0","0–1","3–0","0–0","0–0","0–0","2–2","2–1","3–2","1–3","1–0","0–2"
"Hull City","1–1","1–0","2–0","1–0","2–0","1–1","2–1","","2–0","1–1","0–0","1–3","1–0","1–1","0–0","1–0","0–0","1–0","1–1","3–1","1–0","2–0"
"Manchester United","2–1","4–0","3–0","0–1","2–0","4–0","1–0","2–0","","4–0","1–1","2–2","1–0","3–2","0–0","4–0","2–1","2–0","1–0","3–2","2–1","2–1"
"Millwall","1–3","0–0","1–1","1–0","1–1","5–1","2–0","2–0","0–1","","1–1","3–0","3–0","0–0","1–1","0–0","0–0","2–1","4–0","1–4","2–2","1–3"
"Norwich City","1–4","2–1","2–0","3–2","0–1","1–1","1–2","1–0","2–0","2–0","","3–0","3–0","1–0","2–0","1–0","2–0","1–1","1–0","0–0","3–2","2–3"
"Nottingham Forest","2–3","0–0","2–3","0–0","1–0","0–0","1–1","4–0","0–1","2–1","1–3","","0–2","1–0","2–2","1–2","1–2","1–0","0–0","1–1","2–1","2–1"
"Notts County","1–3","0–0","1–1","1–2","3–2","0–2","1–1","5–0","2–2","2–1","1–1","2–2","","1–0","1–1","4–1","1–1","3–3","3–2","0–0","0–0","2–1"
"Oldham Athletic","1–2","1–0","1–0","2–0","3–4","4–0","1–0","0–1","1–0","1–1","2–2","2–0","1–0","","0–0","1–1","2–0","2–1","1–1","0–0","0–0","2–3"
"Orient","1–0","0–0","0–0","1–0","1–0","1–1","0–0","0–0","0–2","2–1","0–3","1–1","0–1","3–1","","1–1","1–1","1–0","2–1","1–1","0–2","1–0"
"Oxford United","1–2","0–0","2–1","2–0","2–1","1–0","2–1","3–1","1–0","3–1","2–1","1–1","1–2","1–0","1–2","","1–0","1–0","0–4","1–0","1–1","3–1"
"Portsmouth","2–3","0–0","2–0","0–1","3–0","2–2","0–0","1–1","0–0","1–0","0–3","2–0","1–1","1–1","3–0","2–1","","1–0","1–2","4–2","1–3","1–0"
"Sheffield Wednesday","0–4","0–0","0–2","1–1","1–1","1–2","1–0","2–1","4–4","0–1","0–1","2–3","0–1","1–1","0–1","1–1","0–2","","0–1","0–2","0–0","3–0"
"Southampton","0–0","1–1","0–1","0–1","3–0","2–0","0–0","3–3","0–1","3–2","1–1","0–1","3–2","1–0","4–2","2–1","2–1","0–1","","1–1","1–0","2–1"
"Sunderland","0–0","1–0","0–0","3–0","5–1","3–1","1–2","1–0","0–0","2–0","0–0","0–0","3–0","2–2","3–0","2–0","4–1","3–0","3–1","","3–0","2–0"
"West Bromwich Albion","2–0","2–0","0–1","1–0","2–2","2–0","0–1","2–2","1–1","2–1","1–1","0–1","4–1","1–0","1–0","3–0","2–1","4–0","0–3","1–0","","2–0"
"York City","1–1","0–0","1–3","1–0","3–0","1–0","3–2","3–0","0–1","2–1","1–0","1–1","2–2","0–0","0–1","1–1","3–0","3–0","1–1","0–1","1–3",""
