"Home \ Away","BOU","ALD","BLB","B&HA","BRY","CHA","CHF","COL","CRY","GIL","GRI","HAL","HER","HUD","PET","PLY","PTV","PNE","STD","SWI","TRA","WAL","WAT","WRE"
"AFC Bournemouth","","1–0","0–0","2–0","2–1","1–2","0–0","0–2","4–0","2–0","0–1","0–1","2–1","1–1","2–1","3–7","1–2","1–0","0–0","1–1","0–0","0–1","4–2","0–2"
"Aldershot","1–2","","1–1","2–1","1–1","3–0","1–0","0–1","2–1","2–1","0–0","3–1","2–2","1–0","5–0","4–3","2–1","1–2","3–0","0–1","2–0","0–0","3–1","1–2"
"Blackburn Rovers","1–0","2–0","","1–0","1–0","3–1","2–0","3–2","1–1","4–1","1–1","1–0","1–0","1–1","0–1","5–2","2–2","3–0","1–0","2–0","2–1","3–3","0–0","0–0"
"Brighton & Hove Albion","2–1","2–0","0–1","","0–0","1–1","2–1","2–0","1–0","4–3","3–1","0–0","2–1","2–0","2–0","2–2","1–1","0–4","2–0","1–1","3–1","1–0","2–0","3–3"
"Bury","1–0","2–1","1–2","2–1","","2–1","1–1","0–0","2–2","0–1","1–1","4–1","3–0","3–0","3–0","0–1","3–1","2–0","0–1","0–0","3–1","2–0","1–0","2–2"
"Charlton Athletic","2–3","3–1","2–1","2–1","0–1","","3–2","4–1","1–0","2–1","1–1","3–1","2–0","1–0","3–0","0–2","2–2","3–1","2–1","3–3","3–3","4–2","4–1","1–1"
"Chesterfield","0–0","0–2","1–2","2–4","2–0","2–0","","1–1","2–1","2–1","2–0","1–1","4–1","3–0","2–0","1–2","1–0","0–0","1–1","0–2","1–0","2–2","4–4","3–1"
"Colchester United","1–0","0–0","2–0","2–2","3–2","3–0","1–2","","1–1","4–2","5–0","2–0","1–2","3–2","4–1","1–0","2–0","2–2","1–1","2–0","2–1","1–2","1–1","1–1"
"Crystal Palace","4–1","3–0","1–0","3–0","2–2","2–1","1–4","2–1","","4–0","3–0","1–1","2–2","1–1","1–1","3–3","1–1","1–0","1–1","6–2","2–1","1–0","1–0","2–0"
"Gillingham","1–0","0–0","1–1","2–1","1–0","0–1","4–0","2–1","3–1","","2–0","4–0","2–3","3–2","1–1","2–2","0–0","2–1","2–1","3–1","2–3","2–2","2–1","2–1"
"Grimsby Town","0–0","2–0","1–2","3–2","2–0","1–1","2–0","1–1","2–1","2–1","","2–1","0–0","1–2","1–2","1–1","3–0","2–1","0–0","2–0","3–2","0–0","2–2","2–0"
"Halifax Town","3–2","1–0","1–1","1–0","0–1","2–2","1–3","1–1","3–1","1–1","1–1","","2–2","2–1","2–1","1–1","1–1","3–0","3–1","0–0","0–0","1–0","2–0","1–0"
"Hereford United","0–1","2–0","6–3","2–0","1–1","2–2","5–0","3–1","2–0","1–1","3–2","0–0","","1–1","2–0","1–5","1–0","2–2","1–0","2–1","2–0","2–0","0–1","1–0"
"Huddersfield Town","2–2","2–2","1–2","1–0","0–0","1–3","2–0","3–2","0–1","0–2","1–0","1–2","2–1","","1–2","0–2","3–1","0–1","4–1","2–2","0–0","3–2","3–1","0–0"
"Peterborough United","3–0","1–1","1–0","2–0","3–1","1–1","0–2","1–0","1–1","0–0","1–3","1–1","1–1","2–1","","1–0","0–2","0–0","1–0","0–0","1–2","0–0","1–0","2–1"
"Plymouth Argyle","1–0","1–0","2–1","2–2","2–1","1–1","3–0","1–0","0–1","1–1","2–1","2–0","1–0","2–0","2–0","","1–1","2–1","1–0","4–3","4–1","2–1","1–1","0–3"
"Port Vale","0–0","3–1","1–4","1–0","1–0","1–0","3–2","2–2","2–1","2–1","1–0","2–1","3–0","4–0","1–3","2–0","","2–1","0–0","2–2","1–0","1–1","0–0","2–0"
"Preston North End","5–2","3–1","0–0","1–0","3–0","2–0","2–1","0–2","1–1","1–0","2–0","1–0","2–2","4–0","1–1","1–0","1–0","","1–4","2–0","1–0","3–2","2–2","3–1"
"Southend United","0–0","1–1","2–2","1–0","1–0","2–1","2–1","1–1","0–1","2–2","3–0","4–0","0–0","1–0","1–2","2–1","1–3","1–1","","2–0","1–0","3–0","0–0","1–1"
"Swindon Town","2–1","3–2","2–0","1–0","0–2","2–0","1–0","4–1","1–1","1–0","3–2","3–1","1–0","4–1","0–1","2–0","3–2","1–0","2–0","","0–0","3–0","2–2","2–1"
"Tranmere Rovers","0–1","2–0","1–1","1–2","0–0","0–1","1–2","2–0","2–0","1–1","3–1","3–1","6–1","1–2","1–0","1–3","1–0","3–1","2–1","3–0","","3–0","2–2","0–1"
"Walsall","2–0","3–0","1–3","6–0","3–0","0–1","2–2","5–2","3–0","1–1","2–0","1–1","3–1","2–0","0–1","0–0","0–0","2–0","3–0","2–0","1–0","","2–0","2–1"
"Watford","1–0","1–1","0–0","1–1","2–1","0–2","2–2","1–2","1–2","0–0","3–2","2–2","1–1","1–0","0–3","1–3","3–2","3–2","2–0","1–0","1–0","2–3","","1–2"
"Wrexham","1–1","4–0","1–1","2–1","3–1","0–3","0–0","2–1","0–0","0–1","2–3","4–0","2–1","3–0","1–2","5–1","2–2","1–1","1–1","1–2","1–0","0–0","5–1",""
