"Home \ Away","ARS","AST","BIR","BUR","COV","DER","EVE","IPS","LEE","LEI","LIV","MCI","MUN","MID","NEW","NWC","QPR","SHU","STK","TOT","WHU","WOL"
"Arsenal","","0–0","1–0","1–0","5–0","0–1","2–2","1–2","1–2","1–1","1–0","2–3","3–1","2–1","0–0","2–1","2–0","1–0","0–1","0–2","6–1","2–1"
"Aston Villa","2–0","","2–1","1–1","1–0","1–0","3–1","0–0","1–2","1–1","0–0","1–0","2–1","2–1","1–1","3–2","0–2","5–1","0–0","1–1","4–1","1–1"
"Birmingham City","3–1","3–2","","4–0","1–1","2–1","0–1","3–0","2–2","2–1","0–1","2–1","0–2","2–1","3–2","1–1","1–1","2–0","1–1","3–1","1–5","0–1"
"Burnley","0–0","2–2","1–0","","1–3","1–2","1–1","0–1","0–1","1–0","0–0","0–0","0–1","4–1","0–1","4–4","1–0","3–1","0–1","1–2","2–0","1–5"
"Coventry City","1–1","1–1","3–2","1–2","","1–1","1–2","0–0","0–1","0–2","0–0","2–0","1–1","0–1","1–1","1–0","1–1","1–0","0–3","2–2","2–0","3–1"
"Derby County","2–0","2–0","4–2","3–0","2–0","","1–3","1–0","3–2","2–2","1–1","1–0","2–1","3–2","3–2","3–1","1–5","3–2","1–1","2–3","2–1","3–2"
"Everton","0–0","2–1","5–2","2–3","1–4","2–0","","3–3","1–3","1–1","0–0","1–1","1–1","3–1","3–0","1–1","0–2","3–0","2–1","1–0","2–0","3–0"
"Ipswich Town","2–0","3–0","4–2","0–0","1–1","2–6","1–0","","2–1","1–1","2–0","2–1","3–0","0–3","0–3","2–0","1–1","1–1","1–1","1–2","4–0","3–0"
"Leeds United","3–0","1–0","3–0","2–1","2–0","1–1","5–2","1–0","","4–0","0–3","2–1","1–2","0–2","3–0","0–3","2–1","0–1","2–0","1–1","1–1","3–0"
"Leicester City","2–1","2–2","3–3","3–2","0–3","2–1","1–0","0–0","2–1","","1–1","1–0","2–1","0–0","1–0","0–0","0–1","1–1","1–1","2–3","3–3","2–0"
"Liverpool","2–2","3–0","3–1","2–0","1–1","1–1","1–0","3–3","2–0","1–0","","1–0","3–1","0–2","2–0","1–3","2–0","1–0","5–3","3–2","2–2","2–0"
"Manchester City","3–1","2–1","2–0","0–0","4–2","4–3","3–0","1–1","0–1","1–1","0–3","","2–2","4–0","4–0","3–0","0–0","4–0","1–0","2–1","3–0","3–2"
"Manchester United","3–1","2–0","3–1","2–1","1–1","1–1","2–1","1–0","3–2","0–0","0–0","2–0","","3–0","1–0","1–0","2–1","5–1","0–1","3–2","4–0","1–0"
"Middlesbrough","0–1","0–0","2–0","1–1","2–0","0–2","1–1","2–0","0–0","0–1","0–1","1–0","0–0","","3–3","0–1","0–0","3–0","3–0","1–0","3–0","1–0"
"Newcastle United","2–0","3–0","4–0","0–1","4–0","4–3","5–0","1–1","2–3","3–0","1–2","2–1","3–4","1–1","","5–2","1–2","1–1","0–1","2–2","2–1","5–1"
"Norwich City","3–1","5–3","1–0","3–1","0–3","0–0","4–2","1–0","1–1","2–0","0–1","2–2","1–1","0–1","1–2","","3–2","1–3","0–1","3–1","1–0","1–1"
"Queens Park Rangers","2–1","1–1","2–1","1–0","4–1","1–1","5–0","3–1","2–0","1–0","2–0","1–0","1–0","4–2","1–0","2–0","","1–0","3–2","0–0","1–1","4–2"
"Sheffield United","1–3","2–1","1–1","2–1","0–1","1–1","0–0","1–2","0–2","1–2","0–0","2–2","1–4","1–1","1–0","0–1","0–0","","0–2","1–2","3–2","1–4"
"Stoke City","2–1","1–1","1–0","4–1","0–1","1–0","3–2","0–1","3–2","1–2","1–1","0–0","0–1","1–0","1–1","0–2","0–1","2–1","","1–2","1–2","2–2"
"Tottenham Hotspur","0–0","5–2","1–3","2–1","4–1","2–3","2–2","1–1","0–0","1–1","0–4","2–2","1–1","1–0","0–3","2–2","0–3","5–0","1–1","","1–1","2–1"
"West Ham United","1–0","2–2","1–2","3–2","1–1","1–2","0–1","1–2","1–1","1–1","0–4","1–0","2–1","2–1","2–1","0–1","1–0","2–0","3–1","1–0","","0–0"
"Wolverhampton Wanderers","0–0","0–0","2–0","3–2","0–1","0–0","1–2","1–0","1–1","2–2","1–3","0–4","0–2","1–2","5–0","1–0","2–2","5–1","2–1","0–1","0–1",""
