"Home \ Away","BLB","BLP","BOL","BRI","BRR","CRL","CHA","CHE","FUL","HUL","LUT","NOT","NTC","OLD","ORI","OXF","PLY","POR","SOU","SUN","WBA","YOR"
"Blackburn Rovers","","0–2","1–1","1–2","1–2","1–0","2–0","1–1","0–1","1–0","3–0","1–4","2–1","4–1","1–1","0–0","3–1","0–3","1–1","0–1","0–0","4–0"
"Blackpool","1–1","","1–1","2–1","1–4","2–1","2–1","0–2","1–1","2–2","3–2","1–1","1–0","1–1","1–0","2–0","0–0","0–0","4–3","1–0","0–1","0–0"
"Bolton Wanderers","0–1","1–0","","1–0","3–1","0–0","5–0","2–1","2–2","1–0","3–0","0–0","2–1","4–0","1–1","0–1","0–0","4–1","3–0","2–1","1–2","1–2"
"Bristol City","1–0","2–0","1–0","","1–1","0–0","4–0","2–2","0–0","3–0","3–0","0–2","1–2","1–0","0–0","4–1","2–2","1–0","1–1","3–0","0–2","4–1"
"Bristol Rovers","1–1","1–1","2–2","0–0","","0–1","0–0","1–2","1–0","0–1","0–1","4–2","0–0","1–0","1–1","0–1","0–0","2–0","2–0","1–0","1–1","2–1"
"Carlisle United","0–1","1–0","3–2","0–1","4–2","","1–1","2–1","2–2","0–0","1–1","1–1","1–2","2–1","1–2","1–1","2–0","2–1","1–0","2–2","1–1","1–0"
"Charlton Athletic","2–1","1–1","0–4","2–2","3–0","4–2","","1–1","3–2","1–0","1–5","2–2","1–2","3–1","1–1","2–1","2–0","1–3","4–1","1–2","2–1","3–2"
"Chelsea","3–1","2–0","0–1","1–1","0–0","3–1","2–3","","0–0","0–0","2–2","0–0","2–0","0–3","0–2","3–1","2–2","2–0","1–1","1–0","1–2","0–0"
"Fulham","1–1","0–0","1–2","1–2","0–2","3–0","1–1","2–0","","1–1","2–0","0–0","3–2","1–0","1–1","1–1","0–0","0–1","1–0","2–0","4–0","2–0"
"Hull City","0–1","1–0","2–2","3–1","0–0","2–3","2–2","1–2","1–2","","1–2","1–0","0–2","3–0","1–0","2–0","4–0","1–0","0–0","1–4","2–1","1–1"
"Luton Town","1–1","3–0","0–2","0–0","3–1","3–0","1–1","3–0","1–0","2–0","","1–1","1–1","2–3","1–0","3–2","1–1","3–1","1–0","2–0","2–1","4–0"
"Nottingham Forest","1–0","3–0","1–2","1–0","3–0","4–0","1–2","1–3","1–0","1–2","0–0","","0–1","4–3","1–0","4–0","2–0","0–1","3–1","2–1","0–2","1–0"
"Notts County","3–0","1–2","1–1","1–1","1–1","1–0","2–0","3–2","4–0","1–2","1–0","0–0","","5–1","2–0","0–1","1–0","2–0","0–0","0–0","0–2","4–0"
"Oldham Athletic","2–1","1–0","2–1","2–4","2–0","2–2","2–0","2–1","2–2","1–0","1–1","0–0","2–2","","1–1","1–1","3–2","5–2","3–2","1–1","0–1","2–0"
"Orient","1–1","0–1","0–0","0–1","0–0","1–0","0–1","3–1","2–0","1–0","3–0","1–1","1–1","2–0","","2–1","1–0","0–1","2–1","0–2","0–0","1–0"
"Oxford United","0–0","1–3","2–0","1–1","2–1","0–0","1–0","1–1","1–3","2–3","1–3","0–1","2–1","1–1","2–1","","2–2","1–0","1–2","1–1","0–1","1–0"
"Plymouth Argyle","2–2","1–2","2–3","0–0","3–0","2–1","1–0","0–3","4–0","1–1","3–0","1–0","1–3","2–1","3–0","2–1","","3–1","1–0","1–0","2–1","1–1"
"Portsmouth","0–1","2–0","0–1","0–1","1–2","1–0","2–2","1–1","0–1","1–1","0–2","1–1","1–3","1–1","2–1","0–2","2–0","","0–1","0–0","0–1","0–1"
"Southampton","2–1","3–1","0–0","3–1","3–0","1–1","3–2","4–1","2–1","1–0","3–1","0–3","2–1","3–2","3–0","2–1","1–0","4–0","","4–0","3–0","2–0"
"Sunderland","3–0","2–0","2–1","1–1","1–1","3–2","4–1","2–1","2–0","3–1","2–0","3–0","4–0","2–0","3–1","1–0","2–1","2–0","3–0","","2–0","1–0"
"West Bromwich Albion","2–2","0–0","2–0","0–1","3–0","3–0","1–1","0–0","3–1","2–0","1–0","2–0","0–0","1–1","1–1","2–0","1–0","3–1","0–2","0–0","","2–2"
"York City","2–1","1–1","1–2","1–4","0–0","1–2","1–3","2–2","1–0","1–2","2–3","3–2","1–2","1–0","0–2","2–0","3–1","2–1","2–1","1–4","0–1",""
