"Home \ Away","ALD","B&HA","BRY","CAR","CHE","CHF","COL","CRY","GIL","GRI","HAL","HER","MAN","MIL","PET","PTV","PNE","ROT","SHW","SHR","STD","SWI","WAL","WRE"
"Aldershot","","1–1","1–1","2–1","1–1","3–1","2–2","1–0","3–0","0–3","1–2","0–2","2–1","1–1","1–0","2–0","1–1","3–0","1–1","1–1","2–1","0–1","3–2","2–3"
"Brighton & Hove Albion","4–1","","2–1","0–1","6–0","3–0","6–0","2–0","1–1","4–2","1–0","4–2","1–0","1–0","5–0","3–0","1–0","3–0","1–1","2–2","2–0","2–0","1–2","3–2"
"Bury","1–1","1–1","","0–1","1–0","3–1","0–0","0–1","2–0","1–1","0–0","2–3","2–1","2–0","2–1","1–2","2–0","4–0","0–0","2–1","1–0","5–0","1–1","0–1"
"Cardiff City","1–0","0–1","1–1","","2–0","4–3","2–0","0–1","4–1","2–1","0–0","2–0","1–0","0–0","5–2","1–1","1–0","1–1","2–0","3–0","3–1","0–0","0–0","3–0"
"Chester","1–0","3–0","0–0","1–1","","2–1","1–0","2–1","2–2","1–2","2–1","0–1","1–1","3–1","1–1","1–0","3–0","3–1","1–0","1–0","1–1","2–1","1–1","1–3"
"Chesterfield","5–2","2–1","3–2","1–1","1–1","","6–1","1–2","0–1","4–3","1–2","2–3","1–2","2–2","1–1","0–1","3–0","1–0","1–0","2–1","1–2","4–0","2–1","1–1"
"Colchester United","2–0","2–0","0–0","3–2","1–0","2–3","","0–3","2–2","1–0","0–1","1–4","0–2","0–1","1–1","1–0","1–1","0–0","2–1","1–1","2–1","1–2","2–0","0–2"
"Crystal Palace","0–0","0–1","1–0","0–1","2–0","0–0","3–2","","0–1","3–0","1–1","2–2","4–1","0–0","1–1","2–2","2–0","2–0","1–1","1–1","1–1","3–3","0–1","1–1"
"Gillingham","1–1","1–0","2–0","2–2","2–0","2–2","0–1","1–2","","3–0","1–1","3–4","3–1","3–1","2–2","2–1","1–0","0–0","0–0","2–1","1–2","3–2","2–3","1–1"
"Grimsby Town","1–0","2–1","0–0","2–0","2–0","3–0","0–1","1–2","2–1","","2–2","1–0","4–1","2–1","1–1","1–1","0–0","4–1","1–1","3–2","2–2","1–0","1–2","3–2"
"Halifax Town","1–3","1–3","0–2","1–1","5–2","1–0","1–1","1–3","1–1","2–1","","0–1","1–2","1–2","0–1","1–3","2–1","0–1","0–0","0–0","1–0","0–2","2–1","0–1"
"Hereford United","2–1","1–1","2–0","4–1","5–0","4–2","0–0","1–1","1–1","3–2","1–2","","1–0","0–0","2–4","0–0","3–1","3–2","3–1","3–1","2–1","1–0","1–3","2–0"
"Mansfield Town","1–0","1–0","1–1","1–4","1–1","0–1","0–0","1–1","1–1","1–0","1–1","2–2","","1–1","1–1","3–1","0–1","1–1","3–0","1–2","3–1","3–1","4–1","0–0"
"Millwall","4–1","3–1","0–0","1–3","1–0","2–0","1–1","2–1","2–2","1–1","1–0","1–0","1–0","","2–0","1–0","2–0","3–1","1–0","0–0","2–1","0–0","2–1","2–1"
"Peterborough United","1–1","1–0","4–0","0–0","3–0","0–1","3–1","2–0","1–1","4–2","1–0","0–3","0–3","1–1","","0–0","2–0","1–3","2–2","3–2","3–2","3–1","0–0","2–0"
"Port Vale","0–1","1–1","2–1","2–1","0–1","1–1","3–2","0–0","1–1","4–3","1–1","1–1","2–2","2–0","2–0","","1–1","1–0","1–0","0–0","1–1","3–0","1–2","3–1"
"Preston North End","1–0","1–0","0–0","3–1","0–0","3–1","2–1","0–0","4–0","0–0","2–1","3–4","0–2","2–1","2–1","3–0","","3–2","4–2","0–2","5–1","4–2","3–1","0–1"
"Rotherham United","2–2","1–1","3–3","1–0","0–1","2–0","2–0","4–1","2–0","3–0","0–1","1–1","2–1","1–2","1–1","1–2","1–1","","1–0","0–1","2–0","0–2","3–1","2–1"
"Sheffield Wednesday","3–1","3–3","1–0","1–3","2–0","1–3","1–0","1–0","1–0","4–0","1–0","1–2","0–0","4–1","2–2","0–3","2–2","0–0","","1–1","2–1","0–2","2–1","1–0"
"Shrewsbury Town","5–3","1–2","1–3","3–1","2–0","0–2","1–0","2–4","1–0","1–0","2–0","2–1","1–2","1–0","3–1","1–0","1–0","0–2","0–0","","3–1","3–0","1–1","1–2"
"Southend United","0–2","4–0","2–0","0–2","2–0","1–1","2–0","1–2","2–2","5–2","4–1","1–3","2–2","0–0","0–0","3–3","0–2","1–2","2–1","1–3","","3–0","2–2","2–1"
"Swindon Town","6–3","3–2","2–1","4–0","2–1","0–1","0–1","1–2","2–2","3–0","3–1","0–1","0–2","0–2","0–3","2–1","1–3","1–1","2–1","3–0","0–0","","5–1","2–2"
"Walsall","4–1","2–0","0–1","2–3","1–0","1–0","1–1","1–1","4–0","2–0","2–0","0–0","0–1","1–1","2–2","3–1","3–1","5–1","2–2","2–0","2–3","1–1","","2–2"
"Wrexham","3–1","3–0","2–1","1–1","1–1","1–0","1–1","1–3","2–0","1–0","1–1","2–1","1–0","1–1","3–0","1–0","1–2","3–0","3–0","2–3","2–2","2–0","0–3",""
