"Home \ Away","ARS","AST","BIR","BRI","COV","DER","EVE","IPS","LEE","LEI","LIV","MCI","MUN","MID","NEW","NWC","QPR","STK","SUN","TOT","WBA","WHU"
"Arsenal","","3–0","4–0","0–1","2–0","0–0","3–1","1–4","1–1","3–0","1–1","0–0","3–1","1–1","5–3","1–0","3–2","2–0","0–0","1–0","1–2","2–3"
"Aston Villa","5–1","","1–2","3–1","2–2","4–0","2–0","5–2","2–1","2–0","5–1","1–1","3–2","1–0","2–1","1–0","1–1","1–0","4–1","2–1","4–0","4–0"
"Birmingham City","3–3","2–1","","3–0","3–1","5–1","1–1","2–4","0–0","1–1","2–1","0–0","2–3","3–1","1–2","3–2","2–1","2–0","2–0","1–2","0–1","0–0"
"Bristol City","2–0","0–0","0–1","","0–0","2–2","1–2","1–2","1–0","0–1","2–1","1–0","1–1","1–2","1–1","3–1","1–0","1–1","4–1","1–0","1–2","1–1"
"Coventry City","1–2","2–3","2–1","2–2","","2–0","4–2","1–1","4–2","1–1","0–0","0–1","0–2","1–1","1–1","2–0","2–0","5–2","1–2","1–1","1–1","1–1"
"Derby County","0–0","2–1","0–0","2–0","1–1","","2–3","0–0","0–1","1–0","2–3","4–0","0–0","0–0","4–2","2–2","2–0","2–0","1–0","8–2","2–2","1–1"
"Everton","2–1","0–2","2–2","2–0","1–1","2–0","","1–1","0–2","1–2","0–0","2–2","1–2","2–2","2–0","3–1","1–3","3–0","2–0","4–0","1–1","3–2"
"Ipswich Town","3–1","1–0","1–0","1–0","2–1","0–0","2–0","","1–1","0–0","1–0","1–0","2–1","0–1","2–0","5–0","2–2","0–1","3–1","3–1","7–0","4–1"
"Leeds United","2–1","1–3","1–0","2–0","1–2","2–0","0–0","2–1","","2–2","1–1","0–2","0–2","2–1","2–2","3–2","0–1","1–1","1–1","2–1","2–2","1–1"
"Leicester City","4–1","1–1","2–6","0–0","3–1","1–1","1–1","1–0","0–1","","0–1","2–2","1–1","3–3","1–0","1–1","2–2","1–0","2–0","2–1","0–5","2–0"
"Liverpool","2–0","3–0","4–1","2–1","3–1","3–1","3–1","2–1","3–1","5–1","","2–1","1–0","0–0","1–0","1–0","3–1","4–0","2–0","2–0","1–1","0–0"
"Manchester City","1–0","2–0","2–1","2–1","2–0","3–2","1–1","2–1","2–1","5–0","1–1","","1–3","1–0","0–0","2–0","0–0","0–0","1–0","5–0","1–0","4–2"
"Manchester United","3–2","2–0","2–2","2–1","2–0","3–1","4–0","0–1","1–0","1–1","0–0","3–1","","2–0","3–1","2–2","1–0","3–0","3–3","2–3","2–2","0–2"
"Middlesbrough","3–0","3–2","2–2","0–0","1–0","2–0","2–2","0–2","1–0","0–1","0–1","0–0","3–0","","1–0","1–0","0–2","0–0","2–1","2–0","1–0","1–1"
"Newcastle United","0–2","3–2","3–2","0–0","1–0","2–2","4–1","1–1","3–0","0–0","1–0","2–2","2–2","1–0","","5–1","2–0","1–0","2–0","2–0","2–0","3–0"
"Norwich City","1–3","1–1","1–0","2–1","3–0","0–0","2–1","0–1","1–2","3–2","2–1","0–2","2–1","1–0","3–2","","2–0","1–1","2–2","1–3","1–0","1–0"
"Queens Park Rangers","2–1","2–1","2–2","0–1","1–1","1–1","0–4","1–0","0–0","3–2","1–1","0–0","4–0","3–0","1–2","2–3","","2–0","2–0","2–1","1–0","1–1"
"Stoke City","1–1","1–0","1–0","2–2","2–0","1–0","0–1","2–1","2–1","0–1","0–0","0–2","3–3","3–1","0–0","0–0","1–0","","0–0","0–0","0–2","2–1"
"Sunderland","2–2","0–1","1–0","1–0","0–1","1–1","0–1","1–0","0–1","0–0","0–1","0–2","2–1","4–0","2–2","0–1","1–0","0–0","","2–1","6–1","6–0"
"Tottenham Hotspur","2–2","3–1","1–0","0–1","0–1","0–0","3–3","1–0","1–0","2–0","1–0","2–2","1–3","0–0","0–2","1–1","3–0","2–0","1–1","","0–2","2–1"
"West Bromwich Albion","0–2","1–1","2–1","1–1","1–1","1–0","3–0","4–0","1–2","2–2","0–1","0–2","4–0","2–1","1–1","2–0","1–1","3–1","2–3","4–2","","3–0"
"West Ham United","0–2","0–1","2–2","2–0","2–0","2–2","2–2","0–2","1–3","0–0","2–0","1–0","4–2","0–1","1–2","1–0","1–0","1–0","1–1","5–3","0–0",""
