"Home \ Away","BOU","ALD","BAR","BRA","BRE","CAM","COL","CRE","DAR","DON","EXE","HAL","HAR","HUD","NPC","ROC","SCU","STD","SOU","STP","SWA","TOR","WAT","WRK"
"AFC Bournemouth","","4–1","1–0","1–1","3–1","0–1","0–0","0–0","0–1","3–1","2–0","3–0","2–0","1–0","1–0","1–1","2–2","2–0","5–0","3–0","1–1","1–1","2–1","1–1"
"Aldershot","1–0","","0–1","2–1","1–1","1–3","1–1","1–1","1–2","1–0","2–2","0–0","3–0","1–0","4–0","0–2","1–1","0–0","1–0","2–0","2–2","0–1","2–1","2–0"
"Barnsley","3–1","1–0","","2–2","2–0","2–1","0–1","2–2","1–1","1–1","3–4","1–0","3–0","2–1","2–0","2–0","5–1","3–1","1–0","1–0","1–0","2–1","1–1","4–0"
"Bradford City","1–1","3–1","0–0","","3–2","0–0","1–0","1–0","3–1","3–1","1–1","3–0","2–2","3–1","3–1","3–0","4–0","2–0","1–0","3–3","4–1","3–2","0–0","4–1"
"Brentford","3–2","0–1","0–1","4–0","","0–2","1–4","0–0","0–3","2–2","1–0","2–1","3–1","1–3","1–1","3–2","4–2","1–0","3–0","4–0","4–0","3–2","3–0","5–0"
"Cambridge United","2–0","4–1","0–0","2–1","3–2","","2–0","2–0","4–0","3–0","1–1","4–0","2–0","1–1","3–1","0–0","1–0","2–3","5–1","2–2","2–3","4–1","4–0","4–1"
"Colchester United","1–0","1–0","1–0","2–1","2–1","0–1","","3–2","4–0","1–0","3–1","3–0","6–2","3–1","5–0","1–0","1–1","0–1","4–1","1–0","1–1","4–0","1–0","3–1"
"Crewe Alexandra","2–1","1–0","1–0","1–0","3–2","1–0","1–0","","1–1","1–2","2–0","3–1","3–1","0–0","2–0","1–1","2–1","1–1","0–0","2–1","3–1","2–1","2–0","1–1"
"Darlington","4–0","2–1","2–1","0–0","2–2","0–2","2–0","4–0","","1–3","2–1","0–0","3–1","2–0","1–0","0–2","5–2","0–0","2–1","0–2","0–4","2–1","0–0","3–2"
"Doncaster Rovers","0–0","1–2","2–1","2–3","5–0","1–1","3–2","3–0","4–0","","0–3","3–0","2–1","2–0","1–0","2–0","3–0","0–3","3–1","1–0","2–1","0–4","1–0","6–3"
"Exeter City","1–1","3–0","1–0","0–0","3–2","1–1","1–0","3–0","1–0","0–2","","1–0","3–1","2–0","1–0","2–1","2–0","3–1","3–1","2–1","2–0","3–0","2–2","0–0"
"Halifax Town","2–3","2–0","0–1","2–1","0–0","0–2","1–2","3–0","2–1","6–0","1–2","","1–0","0–0","0–0","0–0","0–1","3–1","1–1","2–1","1–0","2–0","1–1","6–1"
"Hartlepool","0–1","0–2","0–2","0–1","2–0","2–2","2–2","3–0","1–1","0–0","2–2","1–0","","0–1","0–1","2–0","3–0","1–1","1–1","1–1","2–2","4–0","1–0","2–0"
"Huddersfield Town","0–0","2–0","1–0","3–0","1–0","1–2","0–0","0–1","3–1","2–1","0–1","1–0","4–1","","3–0","2–1","1–0","1–1","1–0","2–0","2–2","2–1","2–2","2–1"
"Newport County","1–0","2–1","1–1","2–0","3–1","4–2","1–2","2–1","0–1","1–2","0–3","1–1","1–1","1–1","","3–0","0–0","3–0","3–1","0–1","0–2","0–0","3–0","1–0"
"Rochdale","0–0","2–1","2–3","0–1","2–3","2–2","1–0","0–1","2–2","1–0","1–2","4–1","0–1","2–2","0–0","","5–0","0–0","3–0","1–1","1–0","0–1","3–1","0–3"
"Scunthorpe United","0–0","1–3","1–2","2–1","2–1","0–2","2–0","4–0","3–0","1–1","4–1","2–1","2–0","0–4","1–0","0–1","","1–0","1–1","2–2","0–3","0–0","0–0","3–1"
"Southend United","2–2","5–0","1–1","4–1","2–1","0–1","0–0","1–0","0–0","2–1","2–0","1–1","1–0","1–1","1–1","3–0","1–1","","3–2","0–0","1–2","0–3","2–1","2–0"
"Southport","0–0","0–1","1–0","0–4","1–2","0–0","1–3","0–0","0–0","2–2","1–1","0–0","1–2","2–2","0–1","1–1","2–1","0–0","","1–0","1–3","1–1","1–3","1–1"
"Stockport County","1–0","0–0","2–1","1–1","2–0","0–0","1–1","1–2","2–2","2–1","0–0","1–1","1–0","2–3","2–1","0–1","1–0","0–0","2–2","","3–0","2–1","2–2","1–0"
"Swansea City","3–0","4–2","2–1","2–3","5–3","3–1","2–1","3–0","2–1","1–1","0–0","2–1","4–2","2–1","3–1","3–2","2–0","2–0","2–1","4–4","","4–1","1–4","4–0"
"Torquay United","2–1","0–1","1–0","0–3","1–1","2–2","2–2","5–0","2–0","0–1","0–1","3–2","1–0","1–0","1–0","2–0","1–3","0–0","0–0","1–2","2–1","","3–1","3–1"
"Watford","1–1","1–1","1–0","1–1","0–1","2–0","2–1","3–1","1–1","5–1","4–1","0–0","4–0","2–0","2–0","3–1","2–1","1–1","2–0","1–1","2–0","4–0","","2–0"
"Workington","1–1","1–1","0–1","0–1","1–3","0–2","2–4","1–0","2–3","1–1","1–3","1–1","1–1","3–2","0–1","0–2","1–0","0–3","2–2","2–2","1–3","2–4","0–1",""
