"Home \ Away","BLB","BLP","BOL","BRR","BUR","CAR","CRL","CHA","CHE","FUL","HER","HUL","LUT","MIL","NOT","NTC","OLD","ORI","PLY","SHU","SOU","WOL"
"Blackburn Rovers","","0–1","3–1","0–0","2–2","2–1","1–3","0–0","0–2","1–0","1–0","1–0","1–0","2–0","1–3","6–1","2–0","2–2","2–0","1–0","3–0","0–2"
"Blackpool","1–1","","1–0","4–0","1–1","1–0","0–0","2–2","0–1","3–2","2–1","0–0","1–0","4–2","1–0","1–1","0–2","3–0","0–2","1–0","1–0","2–2"
"Bolton Wanderers","3–1","0–3","","1–0","2–1","2–1","3–4","1–0","2–2","2–1","3–1","5–1","2–1","3–1","1–1","4–0","3–0","2–0","3–0","1–2","3–0","0–1"
"Bristol Rovers","0–0","1–4","2–2","","1–1","1–1","2–1","1–1","2–1","2–1","2–3","3–0","1–0","0–0","1–1","5–1","0–0","1–0","1–1","3–1","2–3","1–5"
"Burnley","3–1","0–0","0–0","1–1","","0–0","2–0","4–4","1–0","3–1","1–1","0–0","1–2","1–3","0–1","3–1","1–0","3–3","0–2","1–0","2–0","0–0"
"Cardiff City","2–1","2–2","3–2","1–2","0–1","","1–1","1–1","1–3","3–0","3–1","1–1","4–2","0–0","0–3","2–3","3–1","0–1","0–1","0–2","1–0","2–2"
"Carlisle United","1–1","1–1","0–1","2–3","2–1","4–3","","4–2","0–1","1–2","2–2","1–1","1–1","0–1","1–1","0–2","1–1","1–0","3–1","4–1","0–6","2–1"
"Charlton Athletic","4–0","1–2","1–1","4–3","5–2","0–2","1–0","","4–0","1–1","1–1","3–1","4–3","3–2","2–1","1–1","2–1","2–0","3–1","3–2","6–2","1–1"
"Chelsea","3–1","2–2","2–1","2–0","2–1","2–1","2–1","2–1","","2–0","5–1","4–0","2–0","1–1","2–1","1–1","4–3","1–1","2–2","4–0","3–1","3–3"
"Fulham","2–0","0–0","0–2","1–0","2–2","1–2","2–0","1–1","3–1","","4–1","0–0","1–2","2–3","2–2","1–5","5–0","6–1","2–0","3–2","1–1","0–0"
"Hereford United","1–0","1–1","3–3","1–1","3–0","2–2","0–0","1–2","2–2","1–0","","1–0","0–1","3–1","0–1","1–4","0–0","2–3","1–1","2–2","2–0","1–6"
"Hull City","1–0","2–2","2–2","0–1","4–1","1–2","3–1","0–0","1–1","1–0","1–1","","3–1","0–0","1–0","0–1","0–1","1–1","3–1","1–1","4–0","2–0"
"Luton Town","2–0","0–0","1–1","4–2","2–0","2–1","5–0","2–0","4–0","0–2","2–0","2–1","","1–2","1–1","4–2","1–0","0–0","1–1","2–0","1–4","2–0"
"Millwall","0–1","1–1","3–0","2–0","2–0","0–2","1–1","1–1","3–0","0–0","4–2","2–1","4–2","","0–2","2–5","2–1","0–1","3–0","0–1","0–0","1–1"
"Nottingham Forest","3–0","3–0","3–1","4–2","5–2","0–1","5–1","1–1","1–1","3–0","4–3","2–0","1–2","1–0","","1–2","3–0","3–0","1–1","6–1","2–1","1–3"
"Notts County","0–0","2–0","0–1","2–1","5–1","1–0","2–1","0–1","2–1","0–0","3–2","1–1","0–4","1–2","1–1","","1–0","0–1","2–0","2–1","3–1","1–1"
"Oldham Athletic","2–0","1–0","2–2","4–0","3–1","3–2","4–1","1–1","0–0","1–0","3–5","3–0","1–2","2–1","1–0","1–1","","0–0","2–2","1–2","2–1","0–2"
"Orient","0–1","0–1","2–2","2–0","0–1","3–0","0–0","0–0","0–1","0–0","1–1","1–1","1–0","1–1","0–1","1–0","0–2","","2–2","0–2","2–3","2–4"
"Plymouth Argyle","4–0","2–0","1–1","1–1","0–1","2–2","0–1","1–0","2–3","2–2","2–1","1–2","1–0","2–2","1–2","1–2","2–2","1–2","","0–0","1–1","0–0"
"Sheffield United","1–1","1–5","2–3","2–3","1–0","3–0","3–0","3–0","1–0","1–1","1–1","1–1","0–3","1–1","2–0","1–0","2–1","1–1","1–0","","2–2","2–2"
"Southampton","2–0","3–3","1–3","2–1","2–0","3–2","1–2","2–1","1–1","4–1","1–0","2–2","1–0","0–2","1–1","2–1","4–0","2–2","4–1","1–1","","1–0"
"Wolverhampton Wanderers","1–2","2–1","1–0","1–0","0–0","4–1","4–0","3–0","1–1","5–1","2–1","2–1","1–2","3–1","2–1","2–2","5–0","1–0","4–0","2–1","2–6",""
