"Home \ Away","B&HA","BRY","CHE","CHF","CRY","GIL","GRI","LIN","MAN","NOR","OXF","PET","POR","PTV","PNE","REA","ROT","SHW","SHR","SWI","TRA","WAL","WRE","YOR"
"Brighton & Hove Albion","","1–1","3–0","2–1","1–1","2–0","3–0","4–0","3–1","2–0","3–2","1–0","4–0","1–0","2–0","2–0","3–1","3–2","4–0","4–0","1–1","7–0","0–2","7–2"
"Bury","3–0","","2–0","3–1","0–1","3–1","2–0","3–0","2–0","1–1","2–1","4–1","1–0","3–0","3–2","1–0","1–1","1–3","0–1","0–1","2–1","0–2","0–2","4–2"
"Chester","0–1","1–0","","1–2","2–1","1–0","2–0","1–0","1–0","2–1","1–3","2–1","1–1","1–1","0–0","3–1","1–3","1–0","1–2","2–1","1–0","1–0","1–2","1–0"
"Chesterfield","1–1","7–0","1–0","","0–2","1–0","0–1","1–4","0–1","0–0","2–0","0–0","1–2","4–0","1–1","4–0","1–0","2–0","1–1","0–1","0–0","1–0","0–6","2–0"
"Crystal Palace","3–1","2–1","1–2","0–0","","3–1","2–1","4–1","2–0","1–1","2–2","0–0","2–1","2–0","1–0","1–1","2–1","4–0","2–1","5–0","1–0","3–0","2–1","1–0"
"Gillingham","0–1","1–0","1–0","2–1","0–3","","1–1","0–1","3–1","1–1","1–1","1–1","2–1","1–1","1–1","2–2","1–2","1–0","2–1","2–2","3–0","1–0","2–0","2–0"
"Grimsby Town","2–0","2–0","0–0","1–2","0–1","1–1","","1–2","0–1","0–1","1–2","2–2","1–0","2–4","1–0","2–1","1–1","1–1","2–1","2–0","1–0","2–2","3–0","1–0"
"Lincoln City","2–2","2–3","3–3","3–2","3–2","4–0","2–0","","3–2","5–4","0–1","1–1","2–1","2–0","2–0","3–1","2–2","1–1","1–1","0–0","2–2","4–1","1–1","2–0"
"Mansfield Town","1–1","5–0","1–1","2–1","1–0","2–2","3–0","3–1","","3–0","3–0","1–1","2–0","2–1","3–1","4–0","3–1","1–0","1–0","1–1","1–1","3–0","2–0","4–1"
"Northampton Town","0–2","3–0","0–0","2–1","3–0","1–2","0–0","1–0","0–1","","1–0","2–2","3–1","3–0","0–1","1–2","1–4","0–2","5–3","1–1","3–4","0–1","0–2","3–0"
"Oxford United","1–0","2–2","2–0","3–2","0–1","3–1","5–2","1–2","0–3","1–0","","2–3","2–1","0–0","2–2","1–0","1–2","1–1","4–2","0–0","1–1","0–0","2–2","0–2"
"Peterborough United","2–0","0–1","3–2","0–3","0–0","0–1","3–1","1–2","2–1","3–1","2–0","","4–2","1–1","0–0","2–1","0–2","1–2","2–1","1–0","0–0","3–5","0–2","3–0"
"Portsmouth","1–0","1–1","2–1","0–1","0–0","3–2","1–2","1–1","2–2","2–1","1–1","0–0","","1–1","0–0","0–2","5–1","0–3","2–0","2–1","0–3","1–1","0–1","3–1"
"Port Vale","2–2","0–1","1–0","1–1","4–1","1–2","2–0","1–0","1–4","2–1","2–1","1–1","1–0","","0–0","1–0","1–4","2–0","1–2","2–2","1–1","0–0","2–3","0–2"
"Preston North End","1–1","0–1","3–4","2–2","2–1","1–0","2–1","3–0","1–2","3–0","2–1","6–2","0–0","4–0","","3–0","0–0","4–1","2–1","2–0","1–0","0–1","2–1","4–2"
"Reading","2–3","1–3","2–0","2–0","0–0","1–2","2–0","1–2","1–0","2–4","2–0","1–0","2–0","1–1","0–2","","0–3","0–1","0–0","4–1","0–0","2–1","2–0","1–1"
"Rotherham United","0–0","3–0","1–1","1–0","1–1","1–0","3–2","1–0","3–0","2–0","1–1","0–0","2–2","1–1","2–0","1–2","","0–1","1–0","1–1","1–2","1–0","2–0","1–1"
"Sheffield Wednesday","0–0","1–0","3–0","4–1","1–0","2–0","1–0","1–1","0–2","2–1","2–0","4–0","1–1","1–2","1–0","2–1","1–3","","0–1","3–1","3–1","0–0","3–1","3–2"
"Shrewsbury Town","1–0","0–1","2–0","3–0","1–1","4–2","2–1","2–1","0–0","3–0","1–0","2–1","4–1","1–1","1–2","2–0","0–0","1–1","","2–2","2–2","1–2","3–2","2–1"
"Swindon Town","2–1","0–1","2–1","3–0","1–1","2–2","4–1","2–2","0–1","5–1","1–0","0–4","4–3","1–0","0–1","2–2","2–4","5–2","1–0","","1–1","2–2","3–2","5–1"
"Tranmere Rovers","1–3","1–2","0–1","2–1","1–0","2–0","2–0","2–2","4–0","2–1","1–1","2–0","1–3","1–1","0–0","2–1","0–1","1–0","2–1","0–1","","0–0","0–0","4–4"
"Walsall","1–0","3–3","1–0","2–2","0–0","1–2","1–0","1–3","1–2","0–3","2–2","1–1","1–1","3–1","0–1","6–1","0–1","5–1","3–3","2–0","2–0","","2–3","1–2"
"Wrexham","0–0","0–0","4–2","3–1","2–4","2–1","3–2","3–0","0–1","3–1","1–1","2–0","2–0","6–2","2–0","3–1","2–1","2–2","1–0","2–2","2–0","1–0","","1–1"
"York City","0–1","2–2","0–2","2–1","2–1","2–2","1–1","2–2","0–1","1–4","2–1","2–1","1–4","1–0","0–2","1–1","1–1","0–2","0–3","4–2","1–0","0–0","0–0",""
