"Home \ Away","ARS","AST","BIR","BRI","CHE","COV","DER","EVE","IPS","LEE","LEI","LIV","MCI","MUN","MID","NEW","NWC","NOT","QPR","WBA","WHU","WOL"
"Arsenal","","0–1","1–1","4–1","3–0","1–1","1–3","1–0","1–0","1–1","2–1","0–0","3–0","3–1","1–0","2–1","0–0","3–0","1–0","4–0","3–0","3–1"
"Aston Villa","1–0","","0–1","1–0","2–0","1–1","0–0","1–2","6–1","3–1","0–0","0–3","1–4","2–1","0–1","2–0","3–0","0–1","1–1","3–0","4–1","2–0"
"Birmingham City","1–1","1–0","","3–0","4–5","1–1","3–1","0–0","0–0","2–3","1–1","0–1","1–4","1–4","1–2","3–0","2–1","0–2","2–1","1–2","3–0","2–1"
"Bristol City","0–2","1–1","0–1","","3–0","1–1","3–1","0–1","2–0","3–2","0–0","1–1","2–2","0–1","4–1","3–1","3–0","1–3","2–2","3–1","3–2","2–3"
"Chelsea","0–0","0–0","2–0","1–0","","1–2","1–1","0–1","5–3","1–2","0–0","3–1","0–0","2–2","0–0","2–2","1–1","1–0","3–1","2–2","2–1","1–1"
"Coventry City","1–2","2–3","4–0","1–1","5–1","","3–1","3–2","1–1","2–2","1–0","1–0","4–2","3–0","2–1","0–0","5–4","0–0","4–1","1–2","1–0","4–0"
"Derby County","3–0","0–3","1–3","1–0","1–1","4–2","","0–1","0–0","2–2","4–1","4–2","2–1","0–1","4–1","1–1","2–2","0–0","2–0","1–1","2–1","3–1"
"Everton","2–0","1–0","2–1","1–0","6–0","6–0","2–1","","1–0","2–0","2–0","0–1","1–1","2–6","3–0","4–4","3–0","1–3","3–3","3–1","2–1","0–0"
"Ipswich Town","1–0","2–0","5–2","1–0","1–0","1–1","1–2","3–3","","0–1","1–0","1–1","1–0","1–2","1–1","2–1","4–0","0–2","3–2","2–2","0–2","1–2"
"Leeds United","1–3","1–1","1–0","0–2","2–0","2–0","2–0","3–1","2–1","","5–1","1–2","2–0","1–1","5–0","0–2","2–2","1–0","3–0","2–2","1–2","2–1"
"Leicester City","1–1","0–2","1–4","0–0","0–2","1–2","1–1","1–5","2–1","0–0","","0–4","0–1","2–3","0–0","3–0","2–2","0–3","0–0","0–1","1–0","1–0"
"Liverpool","1–0","1–2","2–3","1–1","2–0","2–0","1–0","0–0","2–2","1–0","3–2","","4–0","3–1","2–0","2–0","3–0","0–0","1–0","3–0","2–0","1–0"
"Manchester City","2–1","2–0","3–0","2–0","6–2","3–1","1–1","1–0","2–1","2–3","0–0","3–1","","3–1","2–2","4–0","4–0","0–0","2–1","1–3","3–2","0–2"
"Manchester United","1–2","1–1","1–2","1–1","0–1","2–1","4–0","1–2","0–0","0–1","3–1","2–0","2–2","","0–0","3–2","1–0","0–4","3–1","1–1","3–0","3–1"
"Middlesbrough","0–1","1–0","1–2","2–0","2–0","1–1","3–1","0–0","1–1","2–1","0–1","1–1","0–2","2–1","","2–0","2–2","2–2","1–1","1–0","1–2","0–0"
"Newcastle United","1–2","1–1","1–1","1–1","1–0","1–2","1–2","0–2","0–1","3–2","2–0","0–2","2–2","2–2","2–4","","2–2","0–2","0–3","0–3","2–3","4–0"
"Norwich City","1–0","2–1","1–0","1–0","0–0","1–2","0–0","0–0","1–0","3–0","2–0","2–1","1–3","1–3","1–1","2–1","","3–3","1–1","1–1","2–2","2–1"
"Nottingham Forest","2–0","2–0","0–0","1–0","3–1","2–1","3–0","1–1","4–0","1–1","1–0","1–1","2–1","2–1","4–0","2–0","1–1","","1–0","0–0","2–0","2–0"
"Queens Park Rangers","2–1","1–2","0–0","2–2","1–1","2–1","0–0","1–5","3–3","0–0","3–0","2–0","1–1","2–2","1–0","0–1","2–1","0–2","","2–1","1–0","1–3"
"West Bromwich Albion","1–3","0–3","3–1","2–1","3–0","3–3","1–0","3–1","1–0","1–0","2–0","0–1","0–0","4–0","2–1","2–0","0–0","2–2","2–0","","1–0","2–2"
"West Ham United","2–2","2–2","1–0","1–2","3–1","2–1","3–0","1–1","3–0","0–1","3–2","0–2","0–1","2–1","0–2","1–0","1–3","0–0","2–2","3–3","","1–2"
"Wolverhampton Wanderers","1–1","3–1","0–1","0–0","1–3","1–3","1–2","3–1","0–0","3–1","3–0","1–3","1–1","2–1","0–0","1–0","3–3","2–3","1–0","1–1","2–2",""
