"Home \ Away","BOU","ALD","BAR","BRE","CRE","DAR","DON","GRI","HAL","HAR","HUD","NPC","NOR","REA","ROC","SCU","STD","SOU","STP","SWA","TOR","WAT","WDN","YOR"
"AFC Bournemouth","","0–0","2–2","3–2","1–0","2–0","0–1","1–0","0–0","1–0","1–0","4–2","1–1","1–0","1–0","1–1","0–3","3–1","1–0","0–1","1–1","1–2","1–2","2–1"
"Aldershot","2–0","","0–0","1–0","2–0","3–2","1–0","4–2","0–0","3–0","3–3","2–2","2–1","1–1","2–0","4–0","3–0","0–0","2–1","2–2","3–0","1–0","3–1","1–1"
"Barnsley","3–0","2–0","","0–0","4–0","2–1","0–0","1–2","3–2","3–2","1–1","1–0","2–3","4–1","4–0","3–0","1–1","2–1","0–1","0–2","2–0","1–0","3–2","2–1"
"Brentford","1–1","2–0","2–0","","5–1","2–0","2–2","3–1","4–1","2–0","1–1","3–3","3–0","1–1","4–0","2–0","1–0","0–0","4–0","0–2","3–0","0–3","4–1","1–0"
"Crewe Alexandra","3–1","0–2","2–1","4–6","","2–2","2–0","0–2","0–0","1–0","1–1","2–0","3–2","1–1","2–1","1–1","0–1","2–0","1–1","2–1","2–0","2–2","0–0","1–0"
"Darlington","1–0","1–1","0–2","1–3","2–0","","1–1","1–2","2–1","1–2","2–2","2–1","2–0","2–0","1–0","1–1","2–0","3–0","2–2","1–1","0–0","0–0","3–1","0–2"
"Doncaster Rovers","0–0","4–3","2–1","3–1","2–0","1–2","","0–1","1–1","2–0","4–3","2–2","4–2","2–2","1–1","1–1","2–0","2–1","1–0","1–1","1–0","0–1","0–2","1–1"
"Grimsby Town","0–2","1–0","1–0","2–1","2–2","2–0","0–0","","0–0","2–1","1–0","1–0","0–1","0–1","2–1","0–0","2–0","2–0","0–0","2–1","3–1","1–1","3–1","3–2"
"Halifax Town","0–0","2–1","1–1","1–1","1–1","0–2","0–1","0–0","","3–0","0–0","3–1","0–1","2–4","3–1","2–2","0–1","2–1","1–1","3–1","0–0","1–1","1–2","2–0"
"Hartlepool","0–1","2–2","1–2","3–1","1–1","2–1","0–2","3–1","1–1","","3–2","1–1","0–2","2–1","1–0","1–0","1–0","2–1","2–0","0–4","1–2","1–2","2–0","4–2"
"Huddersfield Town","2–0","1–1","2–0","1–3","3–0","2–1","4–1","1–3","2–2","3–1","","2–0","0–1","0–2","3–1","4–1","2–0","3–1","0–0","0–0","1–1","1–0","3–0","1–2"
"Newport County","3–2","2–1","3–1","1–2","1–0","1–1","1–0","3–0","2–0","4–2","2–0","","5–3","0–0","3–0","3–1","1–2","1–1","2–2","1–0","0–0","2–2","0–1","2–1"
"Northampton Town","1–0","1–1","1–1","2–2","0–0","2–2","0–0","2–1","1–2","5–3","3–1","2–4","","0–2","3–1","1–2","0–0","1–0","2–1","3–1","1–0","0–2","0–3","1–1"
"Reading","0–0","1–0","0–0","0–0","2–0","2–1","3–0","0–0","2–1","2–3","1–0","2–0","0–0","","4–3","1–0","0–1","3–1","2–1","1–4","3–3","1–3","2–2","1–0"
"Rochdale","1–1","0–0","1–1","1–2","0–2","2–0","3–1","1–3","3–1","0–1","0–0","0–1","1–1","1–0","","1–1","1–2","2–1","2–1","2–1","1–3","2–3","3–0","1–2"
"Scunthorpe United","0–0","1–1","1–0","1–1","3–0","3–0","0–0","2–1","2–0","2–0","1–1","2–0","2–2","0–1","1–0","","1–2","0–2","3–0","1–0","0–1","0–1","3–0","2–1"
"Southend United","5–1","3–1","0–0","2–1","1–0","2–0","4–0","1–1","5–0","1–1","1–3","4–2","0–0","0–2","3–1","2–0","","4–2","0–2","2–1","4–0","1–0","1–0","0–0"
"Southport","0–0","1–1","1–1","1–3","1–2","1–0","1–1","2–2","1–2","1–1","1–1","3–3","3–1","1–1","3–1","1–1","0–0","","2–0","0–3","0–0","2–2","0–5","4–1"
"Stockport County","2–1","2–1","3–0","1–1","1–2","1–0","1–1","2–0","1–3","6–0","0–1","2–0","1–2","2–0","2–0","1–1","1–0","2–1","","2–0","3–0","1–3","2–2","2–0"
"Swansea City","1–0","1–0","2–1","2–1","5–0","1–2","3–0","2–0","2–0","8–0","1–0","4–0","2–4","2–1","3–0","3–1","0–0","1–1","3–1","","1–1","3–3","3–0","1–1"
"Torquay United","1–1","1–2","3–1","2–1","1–2","0–0","2–0","3–1","2–2","0–0","2–1","2–0","2–1","3–0","3–0","4–2","0–1","2–2","2–0","2–4","","2–3","1–1","3–0"
"Watford","2–1","1–0","0–0","1–1","5–2","2–1","6–0","1–0","1–1","1–0","2–0","2–0","3–0","1–0","1–0","4–1","1–1","3–2","1–0","2–1","1–0","","2–0","1–3"
"Wimbledon","3–1","1–2","0–0","1–1","0–0","1–1","3–3","2–2","3–3","3–0","2–0","3–0","2–0","1–1","5–1","0–0","1–3","2–2","2–0","1–1","0–1","1–3","","2–1"
"York City","0–0","1–2","1–2","3–2","1–1","1–2","2–1","1–2","1–1","1–0","1–1","2–0","0–3","2–0","2–2","0–2","1–2","2–1","2–1","2–1","0–0","0–4","1–1",""
