"Home \ Away","BLB","BLP","BOL","B&HA","BRR","BUR","CAR","CHA","CRY","FUL","HUL","LUT","MAN","MIL","NTC","OLD","ORI","SHU","SOU","STK","SUN","TOT"
"Blackburn Rovers","","1–2","0–1","0–1","0–1","0–1","3–0","2–1","3–0","4–0","1–1","2–0","3–1","2–1","1–0","4–2","1–0","1–1","2–1","2–1","1–1","0–0"
"Blackpool","5–2","","0–2","0–1","3–1","1–1","3–0","5–1","3–1","1–2","3–0","2–1","1–2","2–2","2–2","1–1","0–0","1–1","0–1","1–1","1–1","0–2"
"Bolton Wanderers","4–2","2–1","","1–1","3–0","1–2","6–3","2–1","2–0","0–0","1–0","2–1","2–0","2–1","2–0","1–0","2–0","2–1","0–0","1–1","2–0","1–0"
"Brighton & Hove Albion","2–2","2–1","1–2","","1–1","2–1","4–0","1–0","1–1","2–0","2–1","3–2","5–1","3–2","2–1","1–1","1–0","2–1","1–1","2–1","2–1","3–1"
"Bristol Rovers","4–1","2–0","0–1","0–4","","2–2","3–2","2–2","3–0","0–0","1–1","1–2","3–1","2–0","2–2","0–0","2–1","4–1","0–0","4–1","3–2","2–3"
"Burnley","2–3","0–1","0–1","0–0","3–1","","4–2","1–0","1–1","2–0","1–1","2–1","2–0","0–2","3–1","4–1","0–0","4–1","3–3","1–0","0–0","2–1"
"Cardiff City","1–1","2–1","1–0","1–0","1–1","2–1","","1–0","2–2","3–1","0–0","1–4","1–1","4–1","2–1","1–0","0–1","1–6","1–0","2–0","5–2","0–0"
"Charlton Athletic","2–2","3–1","2–1","4–3","3–1","3–2","0–0","","1–0","0–1","0–1","0–0","2–2","0–2","0–0","2–2","2–1","3–0","1–3","3–2","3–2","4–1"
"Crystal Palace","5–0","2–2","2–1","0–0","1–0","1–1","2–0","1–1","","2–3","0–1","3–3","3–1","1–0","2–0","0–0","1–0","1–0","1–2","0–1","2–2","1–2"
"Fulham","0–0","1–1","2–0","2–1","1–1","4–1","1–0","1–1","1–1","","2–0","1–0","0–2","0–1","5–1","0–2","1–2","2–0","1–1","3–0","3–3","1–1"
"Hull City","0–1","2–0","0–0","1–1","0–1","1–3","4–1","0–2","1–0","0–1","","1–1","0–2","3–2","1–1","0–1","2–2","2–3","0–3","0–0","3–0","2–0"
"Luton Town","0–0","4–0","2–1","1–0","1–1","1–2","3–1","7–1","1–0","1–0","1–1","","1–1","1–0","2–0","0–1","1–0","4–0","1–2","1–2","1–3","1–4"
"Mansfield Town","2–2","1–3","0–1","1–2","3–0","4–1","2–2","0–3","1–3","2–1","1–0","3–1","","0–0","1–3","0–2","1–1","1–1","1–2","2–1","1–2","3–3"
"Millwall","1–1","2–0","1–0","0–1","1–3","1–1","1–1","1–1","0–3","0–3","1–1","1–0","1–0","","0–0","2–0","2–0","1–1","3–0","0–0","3–1","1–3"
"Notts County","1–1","1–1","1–1","1–0","3–2","3–0","1–1","2–0","2–0","1–1","2–1","2–0","1–0","1–1","","3–2","1–1","1–2","2–3","2–0","2–2","3–3"
"Oldham Athletic","0–2","2–1","2–2","1–1","4–1","2–0","1–1","1–1","1–1","2–0","2–1","1–0","0–1","2–2","2–1","","2–1","3–0","1–1","1–1","1–1","1–1"
"Orient","0–0","1–4","1–1","0–1","2–1","3–0","2–1","0–0","0–0","1–1","2–1","0–0","4–2","0–0","0–0","5–3","","3–1","1–1","2–0","2–2","1–1"
"Sheffield United","2–0","0–0","1–5","2–0","1–1","2–1","0–1","1–0","0–2","2–1","2–0","4–1","2–0","5–2","4–1","1–0","2–0","","3–2","1–2","1–1","2–2"
"Southampton","5–0","2–0","2–2","1–1","3–1","3–0","3–1","4–1","2–0","2–0","1–0","0–1","1–0","2–3","3–1","2–2","1–0","2–1","","1–0","4–2","0–0"
"Stoke City","4–2","1–2","0–0","1–0","3–2","2–1","2–0","4–0","0–2","2–0","1–0","0–0","1–1","2–1","1–1","3–0","5–1","4–0","1–0","","0–0","1–3"
"Sunderland","0–1","2–1","0–2","0–2","5–1","3–0","1–1","3–0","0–0","2–2","2–0","1–1","1–0","2–0","3–1","3–1","1–1","5–1","0–0","1–0","","1–2"
"Tottenham Hotspur","4–0","2–2","1–0","0–0","9–0","3–0","2–1","2–1","2–2","1–0","1–0","2–0","1–1","3–3","2–1","5–1","1–1","4–2","0–0","3–1","2–3",""
