"Home \ Away","BRA","BRY","CAM","CRL","CHE","CHF","COL","EXE","GIL","HER","LIN","OXF","PET","PLY","POR","PTV","PNE","ROT","SHW","SHR","SWI","TRA","WAL","WRE"
"Bradford City","","2–1","4–0","2–2","2–2","1–3","1–2","1–2","2–1","0–0","2–2","2–3","2–1","0–1","1–0","1–1","1–1","3–0","3–2","2–0","2–1","2–0","2–3","2–1"
"Bury","2–2","","5–2","1–1","1–1","0–0","1–1","5–0","2–2","1–1","1–0","3–2","0–0","1–1","0–0","3–0","1–1","1–1","3–0","0–3","0–0","1–0","0–1","2–3"
"Cambridge United","4–1","3–0","","2–0","0–0","2–0","2–0","2–1","2–3","2–0","5–0","2–1","1–0","3–0","1–0","2–0","1–1","1–1","3–0","2–0","5–2","1–0","2–1","1–0"
"Carlisle United","1–1","0–3","1–1","","0–0","2–1","1–3","2–0","1–0","2–0","2–3","2–2","0–0","0–0","3–1","1–1","3–1","2–1","1–0","1–0","2–2","2–2","2–0","1–4"
"Chester","3–2","1–0","0–0","2–2","","2–1","2–1","2–1","2–2","4–1","2–2","3–1","4–3","1–1","2–0","2–1","1–2","2–1","2–1","1–0","1–0","0–0","1–1","1–1"
"Chesterfield","2–0","2–1","2–1","2–1","1–2","","0–0","0–0","5–2","2–1","0–0","3–0","2–0","4–1","3–0","2–0","0–1","0–0","2–2","3–1","3–1","1–1","0–1","1–0"
"Colchester United","3–0","1–0","2–1","2–2","2–0","2–0","","3–1","1–1","0–0","1–1","1–1","3–0","3–1","4–0","2–3","0–0","0–0","1–1","1–2","2–0","0–0","1–1","1–1"
"Exeter City","1–0","2–2","2–4","0–1","1–1","0–0","0–0","","2–1","1–0","3–0","2–1","1–0","0–0","0–1","4–1","2–0","1–0","2–1","1–1","0–0","4–2","1–1","0–1"
"Gillingham","4–1","1–4","3–1","1–1","1–0","3–0","1–3","1–0","","4–0","0–0","2–1","0–0","1–1","0–0","1–1","2–1","2–1","2–1","1–1","2–2","1–1","3–1","0–0"
"Hereford United","2–1","1–0","0–0","1–0","2–2","2–1","1–0","4–0","2–0","","1–1","2–1","0–0","1–3","0–2","1–1","0–0","2–3","0–1","1–1","1–1","0–1","3–2","1–1"
"Lincoln City","3–2","0–0","4–1","2–1","2–1","1–0","0–0","1–2","0–2","0–0","","1–0","0–1","2–2","1–0","3–0","2–2","3–3","3–1","1–3","3–1","1–1","2–2","0–1"
"Oxford United","3–1","0–0","2–3","0–0","4–1","1–1","3–0","0–0","1–1","3–0","1–0","","3–3","2–1","0–0","1–1","1–0","2–3","1–0","1–1","3–3","1–0","3–1","2–1"
"Peterborough United","5–0","2–1","2–0","2–1","0–0","2–0","1–0","1–1","1–1","2–1","0–1","1–0","","1–0","0–0","1–1","1–0","1–0","2–1","2–1","2–0","1–0","0–0","2–2"
"Plymouth Argyle","6–0","0–1","0–1","0–1","2–2","2–0","1–1","2–2","1–3","2–0","1–2","2–1","1–0","","3–1","3–2","0–0","1–1","1–1","2–2","0–2","0–1","3–3","0–1"
"Portsmouth","3–1","1–1","2–2","3–3","0–0","3–0","0–0","1–1","1–1","2–0","0–2","0–2","2–2","1–5","","1–1","0–2","3–3","2–2","2–0","1–2","2–5","1–2","0–1"
"Port Vale","1–0","1–2","1–1","0–1","0–0","1–3","0–3","4–0","2–2","1–0","2–1","1–1","0–0","3–3","2–0","","0–0","3–0","0–0","1–2","1–0","1–1","2–2","1–1"
"Preston North End","3–1","4–0","2–0","2–1","2–1","0–0","4–0","0–0","2–0","0–0","4–0","3–2","0–1","5–2","3–1","2–0","","3–2","2–1","2–2","1–1","2–1","1–0","1–3"
"Rotherham United","2–1","0–3","1–0","0–0","1–1","1–2","1–0","1–0","2–0","1–0","0–0","2–0","0–1","1–2","0–1","2–0","2–1","","1–2","0–0","1–3","2–0","3–0","2–2"
"Sheffield Wednesday","2–0","3–2","0–0","3–1","1–1","1–0","1–2","2–1","0–0","1–0","2–0","2–1","0–1","1–1","0–0","3–1","1–0","1–0","","0–1","1–1","1–0","0–0","2–1"
"Shrewsbury Town","4–0","5–3","3–3","0–3","0–0","1–1","1–0","0–2","1–2","3–0","0–1","1–0","0–0","3–1","6–1","3–0","0–0","4–1","0–0","","2–3","3–1","0–0","2–1"
"Swindon Town","0–1","1–1","0–0","2–2","1–1","2–1","0–0","4–0","3–2","1–0","1–0","3–2","2–0","3–1","3–1","1–1","0–2","2–0","2–2","5–0","","1–0","2–3","1–2"
"Tranmere Rovers","0–0","0–0","0–1","3–2","5–0","1–1","1–0","2–1","1–1","2–1","3–1","4–1","0–2","1–1","2–0","2–1","1–0","2–2","3–1","2–0","1–1","","0–1","3–1"
"Walsall","1–1","1–2","0–0","0–0","3–0","2–2","4–2","1–3","2–1","2–0","3–1","2–1","1–0","1–0","1–1","2–0","0–0","3–1","1–1","3–0","2–0","0–0","","0–1"
"Wrexham","2–0","3–1","4–1","3–1","1–2","1–1","2–1","2–1","3–3","2–1","1–0","2–2","0–0","2–0","2–0","1–1","0–0","7–1","1–1","0–0","2–1","6–1","1–0",""
