"Home \ Away","BOU","ALD","BAR","BRA","CRE","DAR","DON","GRI","HAL","HAR","HER","HUD","NPC","NOR","POR","PTV","REA","ROC","SCU","STP","TOR","WIG","WDN","YOR"
"AFC Bournemouth","","0–1","0–2","1–0","0–1","2–2","7–1","0–0","1–0","0–1","1–1","2–0","3–1","0–0","3–1","3–1","0–0","3–1","0–0","3–1","1–0","2–1","1–2","1–2"
"Aldershot","1–0","","1–0","6–0","3–0","1–1","2–1","2–0","1–0","1–1","2–0","1–0","2–3","2–0","0–2","1–1","2–2","1–0","2–0","3–2","1–0","1–0","1–1","1–0"
"Barnsley","1–0","2–0","","0–1","3–1","1–1","3–0","2–1","4–2","1–0","2–1","1–0","1–0","1–1","1–1","6–2","3–1","0–3","4–1","4–4","1–2","0–0","3–1","3–0"
"Bradford City","2–1","0–2","1–2","","6–0","0–0","1–0","1–3","3–0","1–2","2–1","1–1","1–3","3–0","2–0","2–3","2–3","1–0","1–1","1–1","3–1","1–1","1–0","2–1"
"Crewe Alexandra","1–0","1–1","0–2","1–2","","1–1","2–4","0–3","1–0","0–1","0–0","3–3","0–1","2–4","0–0","1–5","0–2","1–2","0–2","2–2","6–2","1–1","1–2","0–1"
"Darlington","0–0","2–1","0–0","1–1","1–1","","3–2","0–1","2–1","0–1","2–1","1–0","1–0","0–0","2–0","4–0","1–2","0–2","2–2","0–1","1–2","1–1","1–1","0–1"
"Doncaster Rovers","1–1","1–1","2–2","2–0","2–0","2–3","","0–1","1–1","0–0","1–0","0–2","0–0","2–0","2–3","1–3","2–2","1–0","0–0","2–0","1–0","0–1","1–0","1–2"
"Grimsby Town","1–0","0–0","2–0","5–1","2–2","7–2","3–4","","2–1","0–1","1–1","2–1","1–0","4–3","1–0","1–0","1–2","4–0","1–1","2–1","3–0","3–1","2–2","3–0"
"Halifax Town","0–2","1–1","0–2","2–0","0–0","0–2","0–0","1–2","","2–4","1–0","2–3","1–2","2–2","2–0","0–3","0–0","2–1","2–3","2–1","1–0","1–2","2–1","0–1"
"Hartlepool United","0–0","2–2","1–1","2–2","2–2","0–2","3–4","1–0","3–1","","2–1","2–0","0–0","2–0","1–1","1–2","0–0","5–1","1–1","1–3","3–2","1–1","1–1","1–1"
"Hereford United","0–0","1–1","1–1","3–1","6–1","1–0","2–0","0–1","2–2","1–0","","3–0","0–3","4–3","0–1","1–0","0–0","2–2","3–1","1–0","3–1","0–0","0–0","1–0"
"Huddersfield Town","2–1","0–0","1–0","0–0","0–0","2–2","2–1","2–0","2–0","2–0","2–3","","0–1","1–0","2–0","3–2","1–1","1–0","3–2","0–0","1–1","1–1","3–0","1–0"
"Newport County","2–0","1–2","1–1","2–4","1–2","2–1","3–0","1–1","2–0","3–2","4–1","2–1","","2–1","1–2","1–0","3–2","0–0","2–0","1–2","1–1","2–1","1–3","1–1"
"Northampton Town","4–2","2–3","0–1","1–0","3–1","4–1","3–0","1–2","2–1","1–1","2–1","2–3","3–1","","0–2","1–0","2–2","1–0","1–0","2–2","1–2","2–4","1–1","1–0"
"Portsmouth","1–1","1–1","0–1","0–1","3–0","3–0","4–0","1–3","3–1","3–0","1–0","1–0","2–1","1–0","","2–0","4–0","1–1","0–0","1–1","1–0","1–0","0–0","1–1"
"Port Vale","1–2","1–1","3–2","2–1","2–2","2–1","1–3","1–1","0–1","2–0","1–1","1–0","1–1","2–2","0–0","","0–3","1–1","2–2","2–1","1–2","2–1","1–0","0–0"
"Reading","1–0","4–0","1–0","3–0","3–0","1–0","3–0","4–0","1–0","3–1","3–0","1–1","2–1","5–1","2–0","0–0","","2–0","0–1","3–3","1–0","2–0","1–0","3–0"
"Rochdale","2–1","1–1","0–3","1–0","2–1","2–1","2–0","2–5","1–1","1–1","0–2","0–2","1–0","4–1","0–2","0–1","1–0","","1–0","2–0","1–0","0–2","0–0","1–2"
"Scunthorpe United","1–0","2–0","0–1","3–2","0–1","1–0","0–0","2–1","1–0","3–1","4–2","3–1","2–3","0–3","2–2","2–0","0–3","0–4","","1–0","2–2","0–1","2–0","2–3"
"Stockport County","1–0","2–2","0–0","1–0","4–3","3–0","0–1","2–1","1–2","4–0","0–2","3–1","1–1","2–1","4–2","0–0","0–0","3–0","0–2","","0–1","0–1","0–1","2–0"
"Torquay United","0–1","2–1","3–2","1–2","3–0","1–0","2–1","3–1","2–0","4–1","1–0","2–1","2–0","0–1","2–1","2–2","1–1","1–1","0–1","1–0","","1–1","1–6","3–0"
"Wigan Athletic","1–0","3–2","1–1","1–3","1–0","2–2","1–0","0–3","1–0","2–2","0–0","2–1","2–3","2–0","2–0","5–3","3–0","3–0","1–0","2–0","3–1","","1–2","1–1"
"Wimbledon","4–0","3–1","1–1","2–1","1–1","2–0","3–2","0–1","2–1","3–1","2–0","2–1","0–0","4–1","2–4","1–0","1–0","3–2","3–1","2–0","5–0","2–1","","2–1"
"York City","2–1","1–1","0–1","2–2","1–0","5–2","1–1","0–0","2–0","1–1","1–0","1–3","1–2","1–0","5–3","4–0","0–1","2–1","1–0","1–0","0–0","0–1","1–4",""
