"Home \ Away","BLB","B&HA","BRR","BUR","CAM","CAR","CHA","CRY","FUL","LEI","LUT","MIL","NEW","NTC","OLD","ORI","PNE","SHU","STK","SUN","WHU","WRE"
"Blackburn Rovers","","1–1","0–2","1–2","1–0","1–4","1–2","1–1","2–1","1–1","0–0","1–1","1–3","3–4","0–2","3–0","0–1","2–0","2–2","1–1","1–0","1–1"
"Brighton & Hove Albion","2–1","","3–0","2–1","0–2","5–0","2–0","0–0","3–0","3–1","3–1","3–0","2–0","0–0","1–0","2–0","5–1","2–0","1–1","2–0","1–2","2–1"
"Bristol Rovers","4–1","1–2","","2–0","2–0","4–2","5–5","0–1","3–1","1–1","2–0","0–3","2–0","2–2","0–0","2–1","0–1","2–1","0–0","0–0","0–1","2–1"
"Burnley","2–1","3–0","2–0","","1–1","0–0","2–1","2–1","5–3","2–2","2–1","0–1","1–0","2–1","1–0","0–1","1–1","1–1","0–3","1–2","3–2","0–0"
"Cambridge United","0–1","0–0","1–1","2–2","","5–0","1–1","0–0","1–0","1–1","0–0","2–1","0–0","0–1","3–3","3–1","1–0","1–0","0–1","0–2","0–0","1–0"
"Cardiff City","2–0","3–1","2–0","1–1","1–0","","1–4","2–2","2–0","1–0","2–1","2–1","2–1","2–3","1–3","1–0","2–2","4–0","1–3","1–1","0–0","1–0"
"Charlton Athletic","2–0","0–3","3–0","1–1","2–3","1–1","","1–1","0–0","1–0","1–2","2–4","4–1","1–1","2–0","0–2","1–1","3–1","1–4","1–2","0–0","1–1"
"Crystal Palace","3–0","3–1","0–1","2–0","1–1","2–0","1–0","","0–1","3–1","3–1","0–0","1–0","2–0","1–0","1–1","0–0","3–1","1–1","1–1","1–1","1–0"
"Fulham","1–2","0–1","3–0","0–0","5–1","2–2","3–1","0–0","","3–0","1–0","1–0","1–3","1–1","1–0","2–2","5–3","2–0","2–0","2–2","0–0","0–1"
"Leicester City","1–1","4–1","0–0","2–1","1–1","1–2","0–3","1–1","1–0","","3–0","0–0","2–1","0–1","2–0","5–3","1–1","0–1","1–1","1–2","1–2","1–1"
"Luton Town","2–1","1–1","3–2","4–1","1–1","7–1","3–0","0–1","2–0","0–1","","2–2","2–0","6–0","6–1","2–1","1–2","1–1","0–0","0–3","1–4","2–1"
"Millwall","1–1","1–4","0–3","0–2","2–0","2–0","0–2","0–3","0–0","2–0","0–2","","2–1","0–1","2–3","2–0","0–2","1–1","3–0","0–1","2–1","2–2"
"Newcastle United","3–1","1–3","3–0","3–1","1–0","3–0","5–3","1–0","0–0","1–0","1–0","1–0","","1–2","1–1","0–0","4–3","1–3","2–0","1–4","0–3","2–0"
"Notts County","2–1","1–0","2–1","1–1","1–1","1–0","1–1","0–0","1–1","0–1","3–1","1–1","1–2","","0–0","1–0","0–0","4–1","0–1","1–1","1–0","1–1"
"Oldham Athletic","5–0","1–3","3–1","2–0","4–1","2–1","0–3","0–0","0–2","2–1","2–0","4–1","1–3","3–3","","0–0","2–0","1–1","1–1","0–0","2–2","1–0"
"Orient","2–0","3–3","1–1","2–1","3–0","2–2","2–1","0–1","1–0","0–1","3–2","2–1","2–0","3–0","0–0","","2–0","1–1","0–1","3–0","0–2","0–1"
"Preston North End","4–1","1–0","1–1","2–2","0–2","2–1","6–1","2–3","2–2","4–0","2–2","0–0","0–0","1–1","1–1","1–1","","2–2","0–1","3–1","0–0","2–1"
"Sheffield United","0–1","0–1","1–0","4–0","3–3","2–1","2–1","0–2","1–1","2–2","1–1","0–2","1–0","5–1","4–2","1–2","0–1","","0–0","3–2","3–0","1–1"
"Stoke City","1–2","2–2","2–0","3–1","1–3","2–0","2–2","1–1","2–0","0–0","0–0","2–0","0–0","2–0","4–0","3–1","1–1","2–1","","0–1","2–0","3–0"
"Sunderland","0–1","2–1","5–0","3–1","0–2","1–2","1–0","1–2","1–1","1–1","1–0","3–2","1–1","3–0","3–0","1–0","3–1","6–2","0–1","","2–1","1–0"
"West Ham United","4–0","0–0","2–0","3–1","5–0","1–1","2–0","1–1","0–1","1–1","1–0","3–0","5–0","5–2","3–0","0–2","3–1","2–0","1–1","3–3","","1–1"
"Wrexham","2–1","0–0","0–1","0–1","2–0","1–2","1–1","0–0","1–1","0–0","2–0","3–0","0–0","3–1","2–0","3–1","2–1","4–0","0–1","1–2","4–3",""
