"Home \ Away","BLP","BRE","BRY","CRL","CHE","CHF","COL","EXE","GIL","HUL","LIN","MAN","OXF","PET","PLY","ROT","SHW","SHR","STD","SWA","SWI","TRA","WAL","WAT"
"Blackpool","","0–1","1–2","3–1","3–0","0–0","2–1","1–1","2–0","3–1","2–0","2–0","1–0","0–0","0–0","1–2","0–1","5–0","1–2","1–3","5–2","2–0","2–1","1–1"
"Brentford","3–2","","0–1","0–0","6–0","0–3","1–0","0–0","0–2","1–0","2–1","1–0","3–0","0–0","2–1","1–0","2–1","2–3","3–0","1–0","1–2","2–0","1–0","3–3"
"Bury","1–3","2–3","","2–2","1–1","3–1","2–2","4–2","2–2","1–1","2–2","0–0","1–1","1–0","1–2","3–2","0–0","3–0","3–3","0–1","0–1","1–0","1–1","1–2"
"Carlisle United","1–1","1–0","1–2","","1–1","1–1","4–0","1–1","1–0","2–2","2–0","1–0","0–1","4–1","1–1","1–1","0–0","1–1","0–0","2–0","2–0","2–0","1–0","1–0"
"Chester","4–2","3–1","1–1","1–2","","3–0","2–2","3–0","1–1","2–1","5–1","1–1","4–1","1–1","0–0","0–1","2–2","0–0","0–1","2–0","2–0","1–1","2–1","2–1"
"Chesterfield","1–3","0–0","2–1","2–3","3–1","","2–1","0–1","0–2","1–2","1–3","1–0","1–1","3–1","1–3","1–0","3–3","2–1","3–2","2–1","1–1","5–2","0–0","0–2"
"Colchester United","3–1","1–1","0–0","2–1","2–1","0–0","","2–2","2–2","2–1","2–0","1–0","1–1","4–2","2–1","0–0","1–0","1–0","1–1","2–2","3–2","1–0","2–0","0–1"
"Exeter City","3–0","2–2","2–1","3–2","0–1","3–1","2–1","","0–0","3–1","3–2","0–0","2–0","1–0","1–0","2–0","2–2","0–1","0–0","2–1","1–2","3–0","3–1","0–0"
"Gillingham","2–0","0–0","3–3","0–0","1–0","2–1","3–0","2–0","","2–0","4–2","0–0","2–1","1–0","2–0","0–0","0–0","2–0","1–0","2–0","2–2","3–2","3–1","2–3"
"Hull City","0–0","1–0","4–1","1–1","3–0","1–1","1–0","1–0","0–1","","0–0","3–0","0–1","1–1","2–1","1–0","1–1","1–1","2–0","2–2","1–1","2–1","4–1","4–0"
"Lincoln City","1–2","1–0","1–4","1–1","0–0","0–1","0–0","0–1","2–4","4–2","","0–1","2–2","0–1","3–3","3–0","1–2","1–2","1–1","2–1","0–3","2–1","1–1","0–5"
"Mansfield Town","1–1","2–1","3–0","1–0","2–0","2–1","1–1","1–1","1–1","0–2","2–0","","1–1","1–1","5–0","0–1","1–1","2–2","1–1","2–2","0–1","0–0","1–3","0–3"
"Oxford United","1–0","0–1","0–0","5–1","0–0","1–1","2–0","3–2","1–1","1–0","2–1","3–2","","0–2","3–2","1–0","1–1","0–1","0–0","0–2","0–1","0–0","2–1","1–1"
"Peterborough United","1–2","3–1","2–2","0–0","2–1","0–0","1–2","1–1","1–1","3–0","0–1","1–2","1–1","","2–1","1–1","2–0","0–2","0–1","2–0","2–1","1–0","0–3","0–1"
"Plymouth Argyle","0–0","2–1","3–0","2–0","2–2","1–1","1–1","4–2","2–1","3–4","2–1","1–4","0–1","3–2","","2–0","2–0","1–1","1–1","2–2","2–0","2–2","1–0","1–1"
"Rotherham United","2–1","1–0","2–1","1–3","0–1","1–0","1–0","2–1","1–1","0–2","2–0","2–0","0–0","1–1","1–0","","0–1","1–2","2–1","0–1","1–3","3–2","4–1","2–1"
"Sheffield Wednesday","2–0","1–0","0–0","0–0","0–0","4–0","0–0","2–1","2–1","2–3","0–0","1–2","1–1","3–0","2–3","2–1","","0–0","3–2","0–0","2–1","1–2","0–2","2–3"
"Shrewsbury Town","2–0","1–0","1–0","0–0","1–0","1–1","2–0","4–1","1–1","1–0","2–0","2–2","0–0","2–0","2–0","3–1","2–2","","2–0","3–0","0–0","2–1","1–1","1–1"
"Southend United","4–0","1–1","0–0","1–1","0–1","2–0","1–1","0–1","0–1","3–0","2–0","1–1","2–0","0–0","2–1","2–1","2–1","0–1","","0–2","5–3","0–1","1–0","1–0"
"Swansea City","1–0","2–1","2–0","0–0","2–2","2–1","4–1","1–0","3–1","5–3","3–0","3–2","1–1","4–1","2–1","4–4","4–2","1–1","3–2","","1–2","4–3","2–2","3–2"
"Swindon Town","0–1","2–0","2–1","0–0","2–0","1–0","1–2","1–1","3–1","2–0","6–0","1–0","2–0","3–1","1–3","1–0","3–0","2–1","1–0","0–1","","4–1","4–1","2–0"
"Tranmere Rovers","0–2","0–1","0–0","1–1","6–2","1–1","1–5","2–2","1–1","1–3","0–0","1–2","1–0","1–0","2–1","1–1","1–1","2–2","1–2","1–2","1–1","","0–0","1–1"
"Walsall","2–1","2–3","0–1","1–2","2–1","0–1","2–2","2–2","0–1","1–2","4–1","1–1","0–1","4–1","2–1","0–1","0–2","1–1","1–1","1–1","4–1","2–0","","2–4"
"Watford","5–1","2–0","3–3","2–1","1–0","2–0","0–3","1–0","1–0","4–0","2–0","1–1","4–2","1–2","2–2","2–2","1–0","2–2","2–0","0–2","2–0","4–0","3–1",""
