"Home \ Away","ALD","BOU","BRA","CRE","DAR","DON","HAL","HAR","HER","HUD","LIN","NPC","NOR","PET","POR","PTV","ROC","SCU","STP","TOR","TRA","WAL","WIG","YOR"
"Aldershot","","0–1","3–1","3–0","1–1","1–1","3–1","0–2","3–3","0–2","2–0","0–1","2–0","2–0","1–2","3–1","3–0","2–0","2–0","1–1","0–0","1–1","0–3","2–2"
"Bournemouth","3–1","","1–1","0–1","1–0","0–0","0–1","2–1","2–2","1–3","0–0","3–2","2–2","0–0","0–1","3–1","4–0","3–3","2–0","1–2","2–1","1–1","1–2","0–0"
"Bradford City","2–0","2–2","","4–0","3–0","3–1","2–0","2–0","1–0","0–0","1–1","3–0","3–1","1–1","0–0","2–0","1–2","2–0","6–1","1–1","2–0","0–1","2–1","1–2"
"Crewe Alexandra","1–0","0–0","2–0","","0–0","1–2","2–1","2–1","1–0","1–3","0–2","0–3","2–1","1–4","1–1","0–2","2–1","1–1","1–0","2–2","0–0","1–2","2–1","2–0"
"Darlington","0–0","0–1","3–4","0–0","","2–1","1–1","0–1","1–1","2–3","1–1","1–1","0–0","1–1","1–1","1–1","3–1","3–1","3–0","2–0","3–1","1–3","2–2","2–1"
"Doncaster Rovers","1–1","1–0","0–3","1–1","0–1","","2–1","0–2","1–0","1–2","1–1","1–3","2–1","2–1","2–0","2–3","2–0","5–0","1–1","5–3","1–1","1–1","3–1","2–0"
"Halifax Town","1–0","2–0","0–1","3–1","1–1","1–1","","2–1","1–0","2–1","1–0","2–1","2–1","0–0","1–2","0–0","1–0","2–2","1–3","3–3","0–0","2–0","0–0","1–1"
"Hartlepool","1–0","3–1","0–1","3–1","3–1","1–2","1–2","","3–0","1–1","0–0","0–0","2–1","1–2","0–3","2–1","1–1","3–2","1–2","2–2","2–1","2–2","1–1","3–1"
"Hereford United","0–1","2–1","0–2","2–0","1–0","2–2","2–0","2–1","","1–3","0–0","0–2","0–1","0–1","0–0","0–0","1–1","1–1","2–0","0–0","1–2","0–1","2–1","3–1"
"Huddersfield Town","2–0","2–0","0–0","3–0","2–1","3–0","5–0","2–1","0–1","","3–2","2–1","5–0","0–0","1–3","7–1","5–1","2–1","5–0","4–2","1–1","1–1","4–0","2–2"
"Lincoln City","1–1","1–1","1–0","3–0","2–1","1–1","4–0","3–3","2–0","2–0","","2–1","0–0","0–1","1–0","3–0","0–0","4–0","1–0","2–0","3–0","2–2","4–0","1–1"
"Newport County","4–2","0–0","1–2","1–1","4–0","2–1","5–2","1–0","1–0","2–2","1–1","","2–1","1–1","4–3","2–1","1–0","2–1","3–1","3–0","2–0","0–1","3–2","2–0"
"Northampton Town","2–1","0–1","1–2","1–0","2–0","1–0","0–0","2–1","2–0","4–2","0–0","3–2","","1–0","0–2","3–1","0–0","0–0","2–0","3–0","2–1","1–2","1–1","2–0"
"Peterborough United","1–3","2–0","1–0","3–0","3–0","3–2","2–1","2–0","2–0","1–3","3–1","0–1","0–0","","0–0","3–0","2–0","3–1","1–1","2–1","1–2","1–3","1–2","2–1"
"Portsmouth","1–3","4–0","4–1","1–1","4–3","2–0","3–1","2–1","0–0","4–1","4–0","0–2","6–1","4–0","","2–2","3–0","6–1","1–0","3–0","1–1","1–2","1–1","5–2"
"Port Vale","0–2","1–1","1–2","2–0","2–0","3–0","1–0","1–1","0–1","1–1","1–2","2–0","5–0","0–1","2–3","","5–1","1–0","1–2","1–1","0–1","2–2","1–1","1–2"
"Rochdale","2–1","0–2","0–1","0–0","2–2","3–2","2–2","1–0","0–2","0–2","1–1","2–0","3–2","0–0","1–2","0–2","","0–1","0–1","0–0","2–0","1–1","0–2","0–2"
"Scunthorpe United","1–1","2–1","3–3","1–1","3–0","0–0","1–0","1–3","1–0","1–1","1–0","1–3","3–0","1–0","1–0","1–0","2–0","","1–1","1–1","2–2","2–2","1–3","6–1"
"Stockport County","0–4","1–1","2–2","2–1","1–1","0–3","4–1","0–0","2–1","1–2","2–1","0–5","2–0","1–0","1–1","0–1","1–1","1–2","","4–0","2–2","1–0","1–2","1–0"
"Torquay United","2–1","0–0","2–3","1–0","4–0","2–2","3–0","3–1","1–1","3–1","2–5","2–0","2–2","2–0","2–1","1–1","3–0","3–0","0–0","","3–1","0–1","2–2","4–3"
"Tranmere","1–2","0–5","4–0","2–0","1–2","1–0","2–0","1–0","0–0","0–0","1–0","0–2","1–1","3–0","4–1","1–1","5–1","1–2","0–1","2–0","","0–1","1–3","1–2"
"Walsall","1–1","0–0","1–1","1–0","1–1","3–1","2–0","3–1","3–2","1–1","3–0","2–4","5–1","2–3","1–1","2–1","2–0","1–1","2–1","1–1","2–0","","1–1","3–1"
"Wigan Athletic","2–1","2–1","4–1","2–0","4–1","0–0","3–1","2–1","1–1","1–2","2–1","0–1","0–0","2–1","1–2","3–1","1–1","4–1","3–1","0–3","0–0","3–0","","2–5"
"York City","1–1","1–1","2–2","2–2","3–1","1–3","2–2","2–1","0–4","3–1","0–2","2–1","1–2","0–2","1–0","5–1","3–2","2–0","2–2","1–0","0–1","0–1","1–2",""
