"Home \ Away","BIR","BRR","BUR","CAM","CAR","CHA","CHE","FUL","LEI","LUT","NEW","NTC","OLD","ORI","PNE","QPR","SHR","SUN","SWA","WAT","WHU","WRE"
"Birmingham","","1–1","2–0","1–0","2–1","1–0","5–1","3–4","1–2","1–0","0–0","3–3","2–0","3–1","0–0","2–1","1–0","2–0","1–0","2–0","0–0","2–0"
"Bristol Rovers","1–0","","0–0","0–0","1–1","3–0","3–0","1–0","1–1","3–2","1–1","2–3","2–0","1–2","3–3","1–3","2–1","4–1","2–2","1–1","0–2","1–0"
"Burnley","0–0","1–1","","5–3","0–2","1–1","0–1","2–1","1–2","0–0","3–2","0–1","1–1","1–2","1–1","0–3","0–0","0–0","1–1","1–0","0–1","1–0"
"Cambridge United","2–1","4–1","3–1","","2–0","1–0","0–1","4–0","1–1","1–2","0–0","2–3","3–3","1–1","3–2","2–1","2–0","0–1","3–3","2–2","2–0","2–0"
"Cardiff City","1–2","0–1","2–1","0–0","","3–1","1–2","1–0","0–1","2–1","1–1","3–2","1–0","0–0","0–2","1–0","1–0","1–1","1–1","1–0","0–1","1–0"
"Charlton Athletic","0–1","4–0","3–3","1–1","3–2","","1–2","0–1","2–0","1–4","1–1","0–0","2–1","0–1","0–3","2–2","2–1","0–4","1–2","0–0","1–0","1–2"
"Chelsea","1–2","1–0","2–1","1–1","1–0","3–1","","0–2","1–0","1–1","4–0","1–0","3–0","1–0","2–0","0–2","2–4","3–0","0–0","2–0","2–1","3–1"
"Fulham","3–4","1–1","3–1","1–2","2–1","1–0","1–2","","0–0","1–3","1–0","1–3","0–1","0–0","1–0","0–2","2–1","1–2","0–1","0–0","1–2","0–2"
"Leicester City","2–1","3–0","1–1","2–1","0–0","2–1","1–0","3–3","","1–3","1–0","1–0","0–1","2–2","1–2","2–0","2–0","1–1","2–1","2–0","1–2","2–0"
"Luton Town","2–3","3–1","1–1","1–1","1–2","3–0","3–3","4–0","0–0","","1–1","2–1","0–0","2–1","1–1","1–1","0–0","5–0","2–0","1–0","1–1","2–0"
"Newcastle United","0–0","3–1","1–1","2–0","1–0","2–0","2–1","2–0","3–2","2–2","","2–2","3–2","2–0","0–0","4–2","1–0","3–1","1–3","0–2","1–1","2–0"
"Notts County","1–1","0–0","2–3","0–0","4–1","0–0","2–3","1–1","0–1","0–0","2–2","","1–1","1–1","2–1","1–0","5–2","0–0","0–1","1–2","0–1","2–0"
"Oldham Athletic","1–0","2–1","2–1","1–1","0–3","4–3","1–0","0–1","1–1","2–1","1–0","1–0","","1–0","3–2","0–0","0–2","4–1","3–0","1–1","0–0","2–3"
"Orient","2–2","2–1","2–2","2–0","1–1","1–1","3–7","1–0","0–1","2–2","1–4","1–0","1–1","","2–2","1–1","0–1","0–0","2–1","1–0","0–4","4–0"
"Preston North End","0–0","3–2","3–2","2–2","2–0","1–1","1–1","3–2","1–1","1–1","1–0","2–0","0–1","2–2","","0–3","3–0","1–1","2–1","1–2","1–1","0–0"
"Queens Park Rangers","1–1","2–0","7–0","2–2","3–0","4–0","2–2","3–0","1–4","2–2","2–1","1–3","4–3","0–0","1–1","","2–1","3–2","0–0","1–1","3–0","2–2"
"Shrewsbury Town","1–0","3–1","2–0","1–2","1–2","3–1","3–0","5–2","2–2","1–2","3–1","1–1","0–1","1–0","1–3","3–0","","2–2","1–2","1–0","3–0","3–1"
"Sunderland","2–0","3–2","5–0","2–0","2–1","4–0","2–1","2–1","0–0","1–0","1–0","3–1","4–2","1–1","1–1","3–0","2–1","","1–1","5–0","2–0","1–1"
"Swansea City","0–1","2–0","2–1","2–4","2–1","1–0","1–1","4–1","0–2","2–0","2–3","0–1","2–0","0–1","1–0","1–2","2–0","3–1","","1–0","2–1","1–0"
"Watford","1–0","0–0","4–0","0–0","1–1","2–1","2–3","4–0","1–3","0–1","2–0","2–1","1–0","0–3","0–0","1–2","0–1","1–1","0–0","","2–0","3–1"
"West Ham United","1–2","2–1","2–1","3–1","3–0","4–1","0–1","2–3","3–1","1–2","1–1","1–2","1–0","2–0","2–0","2–1","1–3","2–1","2–0","1–1","","1–0"
"Wrexham","1–0","1–2","1–0","1–0","0–1","3–2","2–0","1–1","0–1","3–1","1–0","1–0","1–1","2–1","2–0","1–3","0–1","0–1","1–0","3–0","1–0",""
