"Home \ Away","BAR","BLB","BLP","BRE","BRY","CRL","CHE","CHF","COL","EXE","GIL","GRI","HUL","MAN","MIL","OXF","PLY","REA","ROT","SHU","SHW","STD","SWI","WDN"
"Barnsley","","1–1","2–1","1–0","2–1","1–1","1–1","0–1","1–2","2–2","2–0","0–1","3–1","1–0","2–1","2–0","0–0","2–0","0–0","0–0","0–3","1–2","1–2","4–0"
"Blackburn Rovers","0–1","","2–0","3–0","1–2","1–2","2–0","1–0","3–0","1–1","3–1","0–0","1–0","0–0","1–1","2–1","1–0","4–2","0–3","1–0","1–2","1–1","2–0","3–0"
"Blackpool","1–1","2–1","","5–4","1–2","2–1","0–0","2–2","1–0","1–0","2–1","0–3","2–2","1–1","2–2","1–2","1–3","5–2","3–2","2–3","1–1","1–0","0–1","3–0"
"Brentford","3–1","2–0","2–1","","0–0","0–3","2–2","3–1","1–0","0–2","0–2","1–0","7–2","2–0","1–0","1–1","0–0","2–2","0–1","1–2","2–2","1–4","1–3","0–1"
"Bury","2–2","1–2","3–0","4–2","","0–2","2–0","2–0","0–1","3–0","0–2","1–1","0–1","0–2","3–0","1–2","2–1","1–0","1–0","1–2","1–0","1–1","0–0","1–2"
"Carlisle United","3–1","1–1","2–0","3–1","1–0","","2–2","0–2","2–0","4–1","1–2","0–2","3–2","1–1","4–0","2–2","2–1","3–3","3–1","1–0","0–2","4–0","2–1","1–1"
"Chester","1–1","0–0","1–0","1–1","1–0","1–0","","1–0","2–1","1–3","0–2","3–1","2–1","1–0","2–0","1–0","1–0","0–2","3–1","1–1","2–2","2–1","1–0","3–1"
"Chesterfield","2–0","0–1","0–0","1–0","2–0","3–2","2–0","","3–0","3–0","0–0","2–3","1–1","2–0","3–2","2–2","3–1","7–1","3–0","2–1","2–1","1–0","2–1","0–0"
"Colchester United","0–0","0–1","3–1","6–1","2–1","1–1","1–1","0–1","","0–0","2–2","2–1","1–1","2–1","0–0","3–0","5–2","1–1","1–1","1–0","0–0","2–1","2–3","4–0"
"Exeter City","2–1","2–0","1–0","0–0","1–0","1–2","1–0","1–2","3–1","","3–1","1–2","2–2","2–1","2–1","0–0","2–1","1–0","1–1","3–1","1–0","4–2","4–1","0–2"
"Gillingham","1–1","1–2","1–1","0–1","2–1","1–1","2–2","0–1","2–2","1–0","","0–1","1–0","2–0","1–1","4–0","0–1","1–1","0–1","3–0","1–1","1–0","0–0","1–0"
"Grimsby Town","3–0","1–2","4–3","5–1","1–0","2–0","0–2","1–1","1–2","4–1","1–0","","1–1","2–1","2–0","2–0","1–0","2–1","2–0","4–0","3–1","1–0","2–0","1–0"
"Hull City","0–2","0–1","3–1","2–1","0–1","2–0","1–0","2–1","0–2","2–2","0–0","2–2","","3–1","1–0","2–2","1–0","0–1","1–1","3–1","1–1","1–0","1–0","1–1"
"Mansfield Town","1–4","0–1","1–1","0–0","1–0","2–1","2–1","3–2","0–1","0–1","2–0","0–0","1–1","","1–0","1–0","0–0","2–2","5–1","3–4","1–1","3–1","1–1","1–1"
"Millwall","2–2","1–0","2–0","3–1","0–1","1–0","3–1","2–0","1–2","5–1","2–0","2–0","3–2","2–2","","3–0","2–1","2–0","0–0","1–1","3–3","1–2","6–2","2–2"
"Oxford United","1–0","0–1","0–2","0–2","3–1","1–0","0–1","1–2","0–2","2–0","1–1","0–1","3–0","3–1","1–2","","1–1","4–0","5–1","1–1","0–2","1–0","2–2","4–1"
"Plymouth Argyle","2–1","0–1","2–2","0–1","2–0","4–2","1–0","1–0","2–0","2–0","2–2","1–1","5–1","0–0","1–1","1–1","","2–0","1–0","4–1","1–3","0–0","2–0","0–0"
"Reading","7–0","1–0","0–1","2–2","3–1","2–0","2–1","2–2","2–0","2–1","1–3","1–1","3–0","1–0","2–0","2–0","1–0","","1–1","2–1","0–2","1–1","2–1","3–0"
"Rotherham United","1–1","1–3","0–2","4–2","0–2","4–1","2–0","2–0","3–0","2–0","2–1","0–0","2–1","2–1","2–1","0–2","3–1","1–1","","1–2","1–2","2–1","3–0","0–0"
"Sheffield United","2–0","2–1","3–1","0–2","0–0","0–2","1–1","0–2","1–2","3–1","4–0","1–1","1–1","1–0","0–1","3–1","3–2","2–0","1–0","","1–1","2–0","2–1","2–1"
"Sheffield Wednesday","0–2","0–3","4–1","0–2","5–1","0–0","3–0","3–3","3–0","0–1","1–0","2–0","0–0","0–0","2–0","2–2","0–1","1–1","5–0","4–0","","2–0","4–2","3–1"
"Southend","2–1","0–1","0–1","3–2","0–0","1–0","4–1","0–0","0–1","4–0","0–3","1–0","3–0","1–1","1–0","1–1","4–1","2–2","0–2","2–1","1–1","","1–0","1–3"
"Swindon Town","0–1","2–0","2–1","4–0","8–0","0–0","3–1","2–1","2–3","2–3","3–0","3–0","0–0","2–1","1–0","1–1","2–1","0–0","6–2","3–2","1–2","1–0","","2–1"
"Wimbledon","1–2","1–0","1–2","0–0","0–1","0–0","2–3","1–1","3–3","2–2","1–0","3–6","3–2","3–2","2–2","1–3","3–1","1–1","0–1","1–1","3–4","0–1","2–0",""
