"Home \ Away","ALD","BOU","BRA","BRY","CRE","DAR","DON","HAL","HAR","HER","LIN","MAN","NOR","PET","PTV","ROC","SCU","STD","STP","TOR","TRA","WIG","WDN","YOR"
"Aldershot","","0–0","1–1","1–0","2–0","2–1","1–0","2–1","2–1","4–0","0–0","1–0","0–0","0–0","0–0","0–0","0–0","1–2","3–0","2–1","3–2","0–1","2–0","1–1"
"Bournemouth","0–2","","4–0","2–2","0–0","3–3","1–2","2–1","1–0","1–0","0–1","0–1","0–0","4–1","0–0","2–1","2–2","2–1","0–1","1–1","1–0","3–0","0–1","1–1"
"Bradford City","1–0","1–1","","0–2","2–2","3–0","1–1","0–0","2–0","0–1","1–2","0–2","3–1","1–1","2–1","2–1","0–0","2–1","1–1","2–0","0–3","3–3","2–0","1–1"
"Bury","0–0","3–0","2–2","","1–3","1–2","2–0","0–0","0–0","2–1","1–1","4–1","1–2","1–1","2–1","3–1","6–1","1–2","0–1","3–0","2–2","0–0","1–0","2–0"
"Crewe Alexandra","0–0","0–2","1–0","2–2","","1–1","0–0","2–1","2–0","5–0","0–3","1–2","3–1","1–0","0–0","1–0","1–0","1–1","2–0","0–1","3–0","1–2","0–3","1–1"
"Darlington","1–2","1–2","2–1","2–1","2–1","","5–0","3–1","3–0","2–1","0–0","2–2","1–0","2–0","1–1","4–4","0–1","0–2","2–2","1–0","2–0","3–1","4–1","0–0"
"Doncaster Rovers","1–0","2–1","2–0","1–0","1–1","2–0","","0–0","1–2","5–1","0–1","2–1","1–1","0–4","2–0","1–2","1–0","1–0","2–1","2–0","1–0","1–1","2–1","3–2"
"Halifax Town","1–0","1–2","2–0","4–2","1–0","1–2","0–3","","1–2","0–0","1–3","0–2","0–1","2–3","2–2","2–0","1–0","1–5","2–0","2–1","1–1","0–1","0–1","3–1"
"Hartlepool","1–0","1–0","2–2","1–2","6–2","2–0","1–0","3–0","","2–0","2–0","0–1","2–3","1–1","3–0","2–2","2–0","1–3","1–0","0–2","3–0","3–1","2–3","1–0"
"Hereford United","0–0","1–0","4–0","0–1","0–0","0–1","1–3","0–1","3–0","","0–2","2–1","4–1","1–1","2–3","3–0","2–1","0–0","2–0","0–1","1–1","1–1","1–1","1–1"
"Lincoln City","0–1","2–0","1–1","2–1","2–1","1–0","1–1","3–0","2–0","1–0","","1–1","8–0","1–1","1–0","3–0","2–2","2–1","1–0","5–0","2–0","2–0","0–0","1–1"
"Mansfield Town","1–2","1–1","1–0","2–0","4–1","1–0","1–1","0–1","0–1","4–0","2–0","","2–0","2–1","5–0","2–2","1–0","0–1","1–0","1–1","1–1","3–1","1–0","0–1"
"Northampton Town","2–0","0–1","0–1","5–3","4–1","2–2","0–2","2–1","3–1","0–0","1–1","0–1","","2–2","5–1","3–2","3–3","2–0","0–1","1–0","3–1","1–1","1–1","2–0"
"Peterborough United","0–0","1–0","2–2","2–0","2–1","1–0","0–1","2–2","1–1","3–0","1–0","1–0","3–0","","1–1","2–2","0–2","5–2","1–2","1–3","4–1","0–0","1–1","3–0"
"Port Vale","0–1","0–2","2–1","1–3","2–2","4–2","3–0","0–0","1–1","4–0","0–1","0–0","1–1","1–1","","1–1","2–2","1–0","2–0","3–1","5–1","3–0","2–3","2–0"
"Rochdale","2–0","0–0","0–2","2–1","2–0","0–0","2–2","1–1","1–1","0–0","1–0","1–4","0–1","2–3","2–1","","4–0","0–2","2–1","2–1","3–1","3–0","2–0","3–2"
"Scunthorpe United","2–2","1–1","1–0","2–2","1–1","3–0","1–1","2–2","3–3","3–1","2–2","2–0","0–2","1–1","1–1","1–1","","2–1","2–0","0–2","2–0","4–4","1–2","3–2"
"Southend United","3–0","2–1","3–1","1–0","3–0","1–0","0–0","5–1","4–0","2–0","0–0","2–0","0–0","1–0","5–1","1–1","2–0","","2–0","3–1","2–0","1–0","1–0","3–0"
"Stockport County","1–0","2–1","1–2","1–2","1–3","0–1","2–1","1–1","0–2","0–0","0–0","2–1","1–2","3–4","2–1","2–2","2–0","1–0","","4–1","1–0","0–1","0–0","2–0"
"Torquay United","2–0","2–0","2–0","3–1","1–0","0–2","2–3","1–0","2–1","0–1","1–2","1–1","3–3","2–0","4–0","2–0","2–1","0–3","1–2","","2–1","2–0","2–3","1–2"
"Tranmere","3–1","0–1","1–1","3–1","0–1","3–1","1–1","2–0","2–2","2–1","0–0","1–0","3–2","1–2","1–2","3–1","1–2","2–2","1–0","1–0","","2–3","3–0","5–0"
"Wigan Athletic","1–0","0–1","0–1","2–1","0–0","3–1","3–0","4–1","0–3","1–0","0–2","2–0","3–0","1–1","1–0","0–1","1–1","0–1","2–1","2–0","1–1","","1–0","1–0"
"Wimbledon","4–0","2–0","2–2","2–4","2–0","1–1","1–0","3–0","5–0","0–0","0–1","2–1","1–0","2–1","1–0","4–1","2–2","0–1","1–2","1–0","2–1","1–0","","3–0"
"York City","4–1","4–0","0–3","0–1","2–0","1–2","0–1","1–1","0–1","1–2","1–0","2–0","1–2","1–2","4–1","1–2","1–0","0–1","1–0","0–0","4–1","2–1","0–1",""
