"Home \ Away","BLB","BOL","BRI","BRR","CAM","CAR","CHE","DER","GRI","LUT","NEW","NTC","OLD","ORI","PNE","QPR","SHW","SHR","SWA","WAT","WHU","WRE"
"Blackburn Rovers","","0–0","1–0","2–0","2–0","2–3","1–1","1–0","2–0","3–0","3–0","0–0","1–0","2–0","0–0","2–1","3–1","2–0","0–0","0–0","0–0","1–1"
"Bolton Wanderers","1–2","","1–1","2–0","6–1","4–2","2–3","3–1","1–1","0–3","4–0","3–0","2–0","3–1","2–1","1–2","0–0","0–2","1–4","2–1","1–1","1–1"
"Bristol City","2–0","3–1","","0–0","0–1","0–0","0–0","2–2","1–1","2–1","2–0","0–1","1–1","3–1","0–0","0–1","1–0","1–1","0–1","0–0","1–1","0–2"
"Bristol Rovers","0–1","2–1","0–0","","0–1","0–1","1–0","1–1","2–2","2–4","0–0","1–1","0–0","1–1","2–0","1–2","3–3","1–1","1–2","3–1","0–1","0–1"
"Cambridge United","0–0","2–3","2–1","1–3","","2–0","0–1","3–0","5–1","1–3","2–1","1–2","3–1","1–0","1–0","1–0","0–2","3–1","3–1","3–1","1–2","1–0"
"Cardiff City","1–2","1–1","2–3","2–1","1–2","","0–1","0–0","1–1","1–0","1–0","0–1","0–2","4–2","1–3","1–0","0–0","2–2","3–3","1–0","0–0","1–0"
"Chelsea","0–0","2–0","0–0","2–0","3–0","0–1","","1–3","3–0","0–2","6–0","0–2","1–0","0–1","1–1","1–1","2–0","3–0","0–0","0–1","0–1","2–2"
"Derby County","2–2","1–0","1–0","2–1","0–3","1–1","3–2","","2–1","2–2","2–0","2–2","4–1","1–1","1–2","3–3","3–1","1–1","0–1","1–1","2–0","0–1"
"Grimsby Town","0–0","4–0","1–0","2–0","3–1","0–1","2–0","0–1","","0–0","0–0","2–1","0–0","2–0","0–0","0–0","0–0","1–0","1–0","1–1","1–5","1–0"
"Luton Town","3–1","2–2","3–1","1–0","0–0","2–2","2–0","1–2","0–2","","0–1","0–1","1–2","2–1","4–2","3–0","3–0","1–1","2–2","1–0","3–2","1–1"
"Newcastle United","0–0","2–1","0–0","0–0","2–1","2–1","1–0","0–2","1–1","2–1","","1–1","0–0","3–1","2–0","1–0","1–0","1–0","1–2","2–1","0–0","0–1"
"Notts County","2–0","2–1","2–1","3–1","2–0","4–2","1–1","0–0","0–0","0–1","0–0","","0–2","1–0","0–0","2–1","2–0","0–0","2–1","1–2","1–1","1–1"
"Oldham Athletic","1–0","1–1","2–0","1–0","2–2","2–0","0–0","0–2","1–2","0–0","0–0","0–1","","0–1","1–1","1–0","2–0","0–0","2–2","2–1","0–0","1–3"
"Orient","1–1","2–2","3–1","2–2","3–0","2–2","0–1","1–0","2–0","0–0","1–1","0–2","2–3","","4–0","4–0","2–0","1–0","1–1","1–1","0–2","2–1"
"Preston North End","0–0","1–2","1–1","0–0","2–0","3–1","1–0","0–3","2–4","1–0","2–3","2–2","1–2","3–0","","3–2","2–1","0–0","1–3","2–1","0–0","1–1"
"Queens Park Rangers","1–1","3–1","4–0","4–0","5–0","2–0","1–0","3–1","1–0","3–2","1–2","1–1","2–0","0–0","1–1","","1–2","0–0","0–0","0–0","3–0","0–1"
"Sheffield Wednesday","2–1","2–0","2–1","4–1","4–1","2–0","0–0","0–0","1–2","3–1","2–0","1–2","3–0","2–2","3–0","1–0","","1–1","2–0","1–0","0–1","2–1"
"Shrewsbury Town","1–1","1–2","4–0","3–1","2–1","2–0","2–2","1–0","1–0","0–1","1–0","1–1","2–2","1–2","3–0","3–3","2–0","","0–0","2–1","0–2","1–2"
"Swansea City","2–0","3–0","0–0","2–1","1–1","1–1","3–0","3–1","1–0","2–2","4–0","1–1","3–0","0–2","3–0","1–2","2–3","2–1","","1–0","1–3","3–1"
"Watford","1–1","3–1","1–0","3–1","0–0","4–2","2–3","1–1","3–1","0–1","0–0","2–0","2–1","2–0","2–1","1–1","2–1","1–0","2–1","","1–2","1–0"
"West Ham United","2–0","2–1","5–0","2–0","4–2","1–0","4–0","3–1","2–1","1–2","1–0","4–0","1–1","2–1","5–0","3–0","2–1","3–0","2–0","3–2","","1–0"
"Wrexham","0–1","0–1","1–0","3–1","0–0","0–1","0–4","2–2","0–2","0–0","0–0","1–1","3–2","3–1","0–1","1–1","4–0","1–2","1–1","0–1","2–2",""
