"Home \ Away","BAR","BLP","BRE","BUR","CRL","CHA","CHE","CHF","COL","EXE","FUL","GIL","HUD","HUL","MIL","NPC","OXF","PLY","POR","REA","ROT","SHU","SWI","WAL"
"Barnsley","","2–0","0–1","3–2","3–1","0–0","2–0","1–1","3–0","1–0","2–2","3–3","1–0","5–0","2–0","4–1","1–1","2–1","1–2","2–3","1–0","2–1","2–0","3–0"
"Blackpool","1–0","","0–3","0–0","0–1","0–2","2–3","0–3","1–1","0–0","0–2","4–0","1–2","2–2","0–0","2–4","1–1","1–0","0–2","0–0","0–0","2–1","1–1","1–0"
"Brentford","1–1","2–0","","0–0","1–1","0–1","0–1","3–2","2–1","0–1","1–3","3–3","0–0","2–2","1–0","0–1","3–0","0–1","2–2","1–2","2–1","1–1","1–1","4–0"
"Burnley","0–1","4–1","2–0","","0–3","0–1","1–0","1–0","1–0","1–0","3–0","3–2","4–2","2–0","5–0","1–1","1–1","2–1","1–3","1–2","1–1","3–2","0–0","0–0"
"Carlisle United","2–2","2–0","1–2","3–2","","1–2","3–0","2–6","4–0","1–1","2–2","0–0","1–1","2–0","2–1","1–4","0–0","2–0","0–0","0–0","0–1","0–3","2–1","1–1"
"Charlton Athletic","1–1","2–1","3–1","2–0","2–1","","1–0","1–0","1–2","1–0","1–1","2–1","1–2","3–2","0–0","3–0","0–0","1–1","1–2","4–2","2–0","2–0","0–0","2–0"
"Chester","2–2","2–1","0–0","0–0","1–0","4–0","","2–1","0–0","1–0","0–1","1–2","0–2","4–1","0–1","1–1","0–1","1–0","0–1","1–0","0–1","3–2","1–0","1–0"
"Chesterfield","0–0","3–2","2–1","3–0","1–0","0–1","2–0","","3–0","1–0","0–0","2–0","2–1","1–0","3–0","3–2","2–1","2–2","3–0","3–2","2–0","1–0","2–2","1–2"
"Colchester United","2–2","3–2","0–2","2–1","1–0","2–0","1–1","1–1","","1–2","3–2","2–1","1–2","2–0","3–0","1–0","3–0","2–2","1–0","1–2","0–0","1–1","1–0","1–1"
"Exeter City","0–1","0–0","0–0","0–0","2–0","4–3","2–2","2–2","4–0","","1–0","2–1","1–4","1–3","2–0","2–2","1–1","1–1","2–0","3–1","2–1","1–1","3–4","0–3"
"Fulham","2–3","1–2","1–1","0–2","2–3","1–0","0–1","1–1","1–0","0–1","","3–2","2–2","0–0","1–1","2–1","0–4","0–0","3–0","1–2","1–1","2–1","2–0","2–1"
"Gillingham","1–1","3–1","2–0","0–0","0–1","0–1","2–1","1–0","0–0","1–5","1–0","","0–0","2–0","1–2","3–2","1–1","0–1","0–1","2–0","0–0","2–2","0–0","1–0"
"Huddersfield Town","1–0","1–1","3–0","0–0","1–1","0–1","0–0","2–0","2–0","5–0","4–2","1–0","","5–0","0–1","1–4","2–0","2–0","0–0","4–1","1–0","1–0","0–2","1–1"
"Hull City","1–2","2–1","0–0","0–0","0–1","0–2","0–0","0–0","0–1","3–3","0–1","2–2","2–1","","3–1","3–1","0–1","1–0","2–1","2–0","1–2","1–1","0–0","0–1"
"Millwall","1–1","0–0","2–2","2–2","3–0","2–0","1–0","0–2","3–1","1–0","3–1","0–0","2–1","1–1","","0–0","2–1","1–1","0–0","2–1","0–1","1–4","3–1","0–1"
"Newport County","0–0","3–1","1–1","1–2","4–0","1–2","1–1","5–1","1–0","2–1","2–1","1–1","3–2","4–0","2–1","","0–1","0–2","2–1","0–0","0–1","4–0","0–2","1–1"
"Oxford United","1–1","0–2","1–1","0–2","1–2","1–0","1–0","0–3","2–1","1–2","2–0","1–1","0–2","1–1","1–0","0–1","","0–0","1–2","2–1","1–1","2–0","0–0","1–1"
"Plymouth Argyle","1–3","0–2","0–1","2–1","4–1","1–1","2–0","1–0","1–1","0–2","2–1","4–1","0–0","0–0","2–0","3–2","3–0","","1–0","2–1","3–1","1–0","0–0","2–0"
"Portsmouth","0–1","3–3","0–2","4–2","2–1","1–0","2–0","1–0","2–1","5–0","1–0","0–0","1–2","2–1","2–1","0–0","1–1","1–3","","0–0","3–1","1–0","1–0","2–0"
"Reading","3–2","3–0","0–0","1–3","3–1","1–3","3–0","2–3","1–0","2–1","0–0","0–1","2–1","2–0","4–1","1–1","0–1","1–1","2–1","","1–1","1–0","4–1","2–0"
"Rotherham United","2–0","4–0","4–1","1–0","3–0","3–0","0–0","0–0","2–0","3–1","2–2","2–0","0–0","1–1","3–0","1–0","0–0","2–1","3–0","2–0","","2–1","1–0","2–1"
"Sheffield United","1–1","4–2","0–0","0–0","2–2","3–2","2–0","2–0","3–0","3–1","1–2","0–1","2–2","3–1","2–3","2–0","1–0","0–0","1–0","2–0","1–2","","3–0","0–1"
"Swindon Town","2–0","1–2","0–0","0–3","1–1","0–3","1–2","0–1","3–0","2–2","3–4","0–0","1–0","3–1","0–0","1–1","1–0","3–0","0–2","3–1","2–1","5–2","","3–1"
"Walsall","1–1","2–2","2–3","3–1","4–3","2–2","2–1","4–3","3–1","1–3","1–2","3–3","2–2","1–1","0–0","1–0","0–3","1–3","2–0","2–2","0–2","4–4","2–1",""
