"Home \ Away","ALD","BLP","BOU","BRA","BRY","COL","CRE","DAR","HAL","HAR","HER","HUL","MAN","NOR","PET","PTV","ROC","SCU","SHU","STP","TOR","TRA","WIG","YOR"
"Aldershot","","3–2","2–0","0–2","1–2","1–1","3–0","0–0","3–1","1–2","2–2","0–3","2–3","2–1","0–1","1–2","2–2","4–0","1–1","1–1","1–1","2–1","2–0","0–1"
"Blackpool","0–2","","0–3","1–0","1–1","0–0","5–0","1–0","7–1","2–2","1–0","3–1","2–3","1–0","2–2","2–3","1–1","2–0","0–1","2–0","2–1","1–2","1–2","3–1"
"Bournemouth","2–2","1–0","","0–2","3–2","1–1","2–0","2–0","1–1","5–1","1–1","1–0","1–0","1–1","1–1","1–1","1–0","2–0","0–0","1–0","4–0","1–1","0–0","5–1"
"Bradford City","4–1","1–0","2–2","","1–1","2–1","4–1","3–0","5–2","1–0","0–0","1–1","3–4","2–1","2–0","1–0","2–0","0–0","0–2","5–1","3–0","1–1","3–3","6–2"
"Bury","1–1","0–1","2–2","1–1","","4–3","2–1","2–0","1–1","1–1","1–1","0–2","3–2","7–1","3–1","3–2","3–0","4–0","1–1","2–0","0–1","4–0","5–3","3–1"
"Colchester United","1–1","2–1","1–2","1–2","1–1","","1–1","1–0","1–1","3–3","4–0","2–0","0–1","5–1","1–1","1–0","3–2","2–1","5–2","0–1","3–0","4–0","1–2","4–0"
"Crewe Alexandra","2–3","1–1","0–0","0–1","1–2","1–3","","1–0","0–1","1–2","1–0","1–1","0–2","2–2","0–1","0–2","1–2","3–0","2–3","0–2","0–1","1–1","0–1","1–1"
"Darlington","0–1","2–2","0–1","1–5","2–3","1–2","1–0","","1–1","5–2","0–1","2–1","1–0","3–0","0–0","1–1","2–0","4–1","0–2","2–0","1–1","1–2","3–1","3–1"
"Halifax Town","2–2","0–0","1–1","0–0","2–1","0–2","2–1","3–3","","2–0","1–2","2–2","2–1","2–1","1–1","1–1","0–0","1–2","1–5","4–1","1–2","0–2","0–0","0–0"
"Hartlepool","2–2","2–2","1–1","0–2","1–0","1–3","1–2","1–2","3–2","","2–1","3–2","3–0","3–1","0–1","3–1","1–1","3–3","2–3","2–2","0–0","0–0","2–1","3–2"
"Hereford United","0–1","2–1","1–2","1–2","3–0","2–2","4–1","1–1","2–2","1–1","","2–2","3–1","2–1","2–1","1–0","0–0","2–1","1–1","0–0","0–3","1–1","3–0","2–1"
"Hull City","1–2","1–0","0–0","2–1","3–2","2–3","1–0","1–3","2–0","5–2","2–1","","2–0","0–1","1–1","3–1","2–1","2–0","2–1","0–0","1–0","1–2","0–2","2–0"
"Mansfield Town","1–0","2–2","0–1","0–2","1–1","1–3","0–1","2–3","3–2","3–2","2–1","3–3","","4–1","1–2","1–3","4–3","1–1","1–1","2–2","3–1","3–0","1–2","0–2"
"Northampton Town","0–0","0–1","1–0","0–2","1–0","1–2","3–0","0–1","0–1","2–1","2–3","1–1","1–1","","1–0","3–5","2–1","1–1","1–2","0–0","2–0","3–2","2–3","5–0"
"Peterborough United","7–1","3–1","1–0","2–0","1–0","2–2","3–0","3–1","0–0","4–4","3–1","3–0","1–0","1–0","","1–0","5–1","2–1","0–4","2–0","1–0","1–2","0–3","0–1"
"Port Vale","1–0","2–0","1–1","1–1","0–0","2–1","0–0","2–2","0–0","5–2","1–1","2–1","0–0","1–0","1–3","","1–1","2–1","0–2","1–0","2–0","0–0","1–1","0–0"
"Rochdale","0–0","0–0","0–1","1–1","1–1","1–2","1–0","3–2","0–1","2–1","0–1","0–1","1–1","5–3","1–1","1–2","","1–1","0–1","4–1","1–0","0–0","1–1","2–0"
"Scunthorpe United","1–1","1–1","0–2","1–3","2–2","2–1","0–1","1–1","0–0","2–1","2–2","4–4","1–0","2–1","0–1","0–0","1–0","","2–1","0–0","0–2","2–1","2–7","0–3"
"Sheffield United","2–0","3–1","0–0","1–1","1–1","1–0","4–0","0–0","2–2","1–1","2–2","0–0","4–1","7–3","4–0","2–1","3–1","1–0","","4–0","4–1","2–0","1–0","4–0"
"Stockport County","4–2","2–3","1–2","2–3","2–1","0–0","2–0","1–0","2–1","0–2","1–1","1–2","3–0","0–0","3–0","1–2","0–4","1–1","1–0","","2–1","1–1","0–1","4–1"
"Torquay United","2–1","1–1","1–2","2–0","1–1","1–0","1–1","1–2","2–2","1–1","1–2","2–1","2–0","2–2","1–2","0–1","2–1","1–0","1–1","1–0","","1–2","0–0","3–2"
"Tranmere","1–0","3–1","0–1","1–1","1–3","2–1","3–0","1–1","1–1","1–0","0–0","2–2","2–2","0–2","1–2","1–2","2–0","0–1","2–2","2–0","1–1","","0–0","0–2"
"Wigan Athletic","1–0","2–1","0–0","4–1","3–2","3–2","3–0","2–1","2–0","1–1","1–1","2–1","3–1","3–1","5–0","2–0","1–1","2–1","0–1","2–1","1–0","0–0","","4–2"
"York City","4–0","0–4","0–1","0–3","0–0","3–0","6–0","2–2","4–0","1–2","3–4","1–3","2–1","2–1","4–3","2–0","1–2","3–1","3–4","2–2","1–1","1–3","0–0",""
