"Home \ Away","BAR","BLB","BOL","CAM","CAR","CHA","CHE","CRY","DER","GRI","LEI","LUT","NEW","NWC","OLD","ORI","QPR","ROT","SHW","SHR","WAT","WRE"
"Barnsley","","0–1","3–0","0–0","0–1","1–0","2–1","2–0","0–0","3–2","0–2","4–3","1–0","0–1","3–1","1–0","3–0","3–0","1–0","4–0","0–0","2–2"
"Blackburn Rovers","2–1","","0–2","1–0","1–0","0–2","1–1","1–0","4–1","2–0","0–2","0–1","4–1","3–0","0–0","2–0","2–1","2–0","0–1","0–0","1–2","0–0"
"Bolton Wanderers","2–1","2–2","","3–4","1–0","2–0","2–2","0–0","3–2","1–2","0–3","1–2","1–0","0–1","0–2","1–0","1–0","0–1","3–1","1–1","2–0","2–0"
"Cambridge United","2–1","1–0","2–1","","2–1","4–0","1–0","0–0","1–2","2–2","1–2","1–1","1–0","1–2","0–0","2–0","1–0","3–0","1–2","2–0","1–2","2–3"
"Cardiff City","0–0","1–3","2–1","5–4","","0–1","1–2","0–1","1–0","2–1","3–1","2–3","0–4","1–0","0–1","2–1","1–2","1–2","0–2","1–1","2–0","3–2"
"Charlton Athletic","2–1","2–0","1–0","0–0","2–2","","3–4","2–1","2–1","2–0","1–4","0–0","0–1","0–0","3–1","5–2","1–2","1–2","3–0","1–0","1–1","1–0"
"Chelsea","1–2","1–1","2–0","4–1","1–0","2–2","","1–2","0–2","1–1","4–1","1–2","2–1","2–1","2–2","2–2","2–1","1–4","2–1","3–1","1–3","2–0"
"Crystal Palace","1–2","1–2","1–0","2–1","1–0","2–0","0–1","","0–1","0–3","0–2","3–3","1–2","2–1","4–0","1–0","0–0","3–1","1–2","0–1","0–3","2–1"
"Derby County","0–1","1–1","0–2","2–1","0–0","1–1","1–1","4–1","","1–1","3–1","0–0","2–2","0–2","1–0","1–2","3–1","3–1","3–1","1–1","3–2","2–1"
"Grimsby Town","3–2","1–1","1–1","1–2","0–1","3–3","3–3","0–1","1–0","","2–2","0–0","1–1","1–2","2–1","1–2","2–1","1–2","0–1","5–1","0–2","1–1"
"Leicester City","1–0","1–0","1–0","4–1","3–1","3–1","1–1","1–1","2–1","1–2","","1–2","3–0","1–4","2–1","0–1","3–2","1–0","0–0","0–0","1–1","1–0"
"Luton Town","1–1","2–0","2–0","1–0","2–3","3–0","2–2","1–0","3–2","6–0","2–1","","3–2","2–0","2–0","2–0","3–2","3–1","0–3","4–1","4–1","0–0"
"Newcastle United","1–0","0–0","2–0","1–0","2–1","4–1","1–0","0–0","3–0","0–1","0–0","3–2","","2–1","2–0","1–0","0–4","1–1","1–0","2–0","0–1","4–2"
"Norwich City","1–1","2–0","0–0","2–1","2–1","5–0","2–1","1–0","4–1","2–1","0–0","1–3","2–1","","1–2","2–0","0–1","2–0","2–3","2–1","4–2","4–0"
"Oldham Athletic","1–1","0–3","1–1","2–0","2–2","1–0","1–0","0–0","1–1","3–1","1–1","1–1","3–1","2–0","","3–2","2–0","0–3","0–3","1–1","1–1","2–1"
"Orient","1–3","0–0","3–0","0–0","1–1","1–1","0–2","0–0","3–2","1–2","3–0","0–3","1–0","1–1","0–3","","1–1","1–2","3–0","2–0","1–3","0–0"
"Queens Park Rangers","1–0","2–0","7–1","2–1","2–0","4–0","0–2","1–0","3–0","1–0","2–0","1–2","3–0","2–0","0–0","3–0","","1–1","2–0","2–1","0–0","1–1"
"Rotherham United","2–4","4–1","2–0","1–0","1–0","2–1","6–0","2–0","2–1","2–2","1–1","2–2","0–0","4–1","1–2","1–0","1–0","","2–2","3–0","1–2","2–0"
"Sheffield Wednesday","2–2","2–2","0–1","2–1","2–1","1–1","0–0","1–0","1–1","1–1","2–0","3–3","2–1","2–1","2–1","2–0","1–3","2–0","","0–0","3–1","0–3"
"Shrewsbury Town","0–2","1–2","2–0","1–0","1–1","1–1","1–0","1–0","4–1","2–0","1–1","2–2","0–0","0–2","2–1","2–0","2–1","2–1","0–1","","0–2","1–1"
"Watford","3–1","3–2","3–0","0–0","0–0","2–2","1–0","1–1","6–1","0–2","3–1","1–1","2–3","3–0","1–1","3–0","4–0","1–0","4–0","3–1","","2–0"
"Wrexham","0–0","1–0","2–1","0–0","3–1","1–0","1–0","0–1","1–1","2–0","0–0","0–2","4–2","2–3","0–3","0–1","1–3","3–2","0–1","1–0","0–1",""
