"Home \ Away","BRE","BRI","BRR","BUR","CRL","CHE","CHF","DON","EXE","FUL","GIL","HUD","LIN","MIL","NPC","OXF","PLY","POR","PNE","REA","STD","SWI","WAL","WDN"
"Brentford","","0–1","1–0","0–0","1–2","1–0","2–0","2–2","2–0","0–1","0–1","0–1","3–1","4–1","2–0","1–2","0–0","2–2","0–0","1–2","0–1","4–2","0–0","2–3"
"Bristol City","0–1","","1–2","2–3","1–1","1–0","0–0","2–2","3–2","0–0","2–1","0–0","0–1","4–1","2–1","0–2","3–2","0–1","0–0","2–0","0–2","0–3","0–1","1–3"
"Bristol Rovers","1–2","1–0","","2–1","0–1","2–2","1–0","3–0","3–2","1–2","2–0","3–2","0–2","0–1","2–0","1–0","2–3","1–1","2–0","1–1","2–1","1–4","2–1","2–2"
"Burnley","0–0","2–0","4–0","","1–0","1–0","1–1","0–1","3–3","2–2","1–0","0–0","1–0","1–1","2–1","2–1","1–0","3–0","2–0","3–0","3–5","0–2","2–1","2–2"
"Carlisle United","1–0","2–2","1–2","1–0","","3–0","3–0","2–0","3–2","1–2","2–0","2–2","1–0","2–1","2–2","2–1","3–1","2–0","1–0","2–1","3–2","1–1","2–1","2–1"
"Chester","1–2","0–0","1–1","0–1","0–1","","0–2","1–1","0–2","0–2","0–0","3–1","1–2","0–0","0–2","2–2","0–3","3–2","0–1","2–3","1–1","0–0","0–0","1–1"
"Chesterfield","0–2","1–0","2–0","1–2","1–0","3–5","","3–1","2–1","3–0","1–3","1–0","0–2","0–1","1–0","2–2","2–2","2–2","0–0","2–1","1–2","2–1","1–0","2–0"
"Doncaster Rovers","1–0","2–2","4–2","0–1","1–1","4–3","0–0","","3–0","2–1","1–1","1–2","4–1","1–0","0–2","1–1","2–2","0–0","1–0","0–1","1–1","0–0","1–0","1–3"
"Exeter City","3–1","4–0","1–3","2–1","2–1","3–0","0–3","2–1","","1–0","1–1","1–0","1–2","5–4","1–0","1–2","1–1","3–3","4–3","4–3","1–1","1–2","2–0","2–1"
"Fulham","1–2","2–1","4–2","1–1","4–1","2–0","1–0","3–1","4–1","","0–0","2–2","1–1","0–0","3–1","0–0","1–3","1–1","3–0","2–2","2–1","2–0","1–1","4–1"
"Gillingham","1–1","1–1","2–0","3–1","0–0","0–1","3–2","3–0","2–3","2–0","","3–2","1–0","1–1","1–1","2–1","3–2","4–2","0–2","2–1","2–0","1–0","1–4","6–1"
"Huddersfield Town","1–1","5–0","0–2","1–2","2–1","1–2","1–1","1–2","1–1","1–0","2–0","","0–2","1–2","2–0","2–0","0–0","0–1","2–3","6–1","3–2","3–0","2–1","1–1"
"Lincoln City","1–0","1–2","1–0","1–1","0–0","3–0","2–1","5–0","2–0","1–1","2–0","2–0","","0–1","2–2","2–1","2–0","1–1","1–2","2–1","1–1","2–0","1–1","5–1"
"Millwall","0–1","2–0","0–0","4–3","1–2","2–1","3–2","0–2","5–1","4–3","1–2","1–3","1–1","","1–0","1–2","2–1","1–0","2–1","0–1","1–1","0–0","2–0","2–1"
"Newport County","2–0","1–1","1–1","0–0","2–0","0–1","1–0","1–0","1–1","1–3","4–2","1–0","0–0","1–1","","3–2","0–1","1–1","1–1","3–1","3–2","1–0","2–2","0–0"
"Oxford United","1–2","1–0","1–1","0–0","2–1","3–1","1–1","3–1","0–0","2–0","1–1","1–0","1–1","0–0","1–1","","1–0","0–2","3–0","1–0","0–2","5–0","0–1","0–3"
"Plymouth Argyle","1–0","2–1","4–0","1–1","1–0","5–1","0–2","4–2","2–1","3–1","1–2","1–1","0–2","2–1","1–2","0–1","","0–0","0–3","1–1","0–0","2–1","4–1","2–0"
"Portsmouth","2–2","2–0","0–0","1–2","1–2","2–0","5–1","0–0","2–0","1–1","1–0","2–1","1–1","2–2","0–0","1–1","1–0","","1–1","3–0","0–0","3–0","1–0","1–0"
"Preston North End","1–3","1–3","0–1","1–1","0–1","0–1","2–0","3–1","1–0","1–3","1–1","1–1","1–1","1–0","2–1","2–2","1–0","1–0","","0–0","1–0","0–0","1–0","3–2"
"Reading","4–1","3–1","0–3","1–1","2–2","4–1","0–2","3–3","4–0","0–3","3–2","1–2","3–2","4–0","2–1","0–3","2–2","2–1","2–1","","0–2","1–1","0–0","2–1"
"Southend","1–1","3–0","1–0","1–4","1–1","2–0","0–2","1–1","2–1","0–0","3–0","4–0","0–2","2–2","0–4","0–1","3–0","2–0","2–2","2–0","","0–0","3–2","2–0"
"Swindon Town","0–3","0–0","5–2","1–2","2–1","3–0","1–2","2–2","3–2","1–4","0–1","1–5","1–0","1–2","1–1","3–2","0–2","2–0","4–0","0–2","0–0","","2–2","4–1"
"Walsall","3–0","0–1","2–1","1–1","1–1","2–1","1–1","0–0","2–1","1–1","1–0","1–1","2–1","1–1","3–1","1–3","0–1","3–1","0–3","1–2","0–1","5–0","","1–0"
"Wimbledon","1–2","0–0","1–0","0–0","3–1","1–0","3–1","0–1","1–1","1–3","0–2","2–0","1–1","1–3","2–3","2–3","2–1","3–2","3–2","0–0","3–0","1–1","2–0",""
