"Home \ Away","ALD","BLP","BRI","BRY","CHE","COL","CRE","DAR","HAL","HAR","HER","HUL","MAN","NOR","PET","PTV","ROC","SCU","STP","SWI","TOR","TRA","WDN","YOR"
"Aldershot","","2–1","0–0","1–1","1–2","0–1","0–0","1–6","6–1","0–2","2–1","1–2","2–1","3–0","2–0","1–4","6–4","1–1","2–1","1–1","2–1","1–0","1–1","2–3"
"Blackpool","4–1","","1–4","1–1","1–1","1–2","2–0","2–0","0–0","1–2","5–1","1–1","2–1","0–0","0–3","2–0","1–0","3–1","0–0","2–1","1–0","0–2","1–1","1–1"
"Bristol City","2–0","0–0","","2–1","0–0","0–2","2–1","2–2","3–0","2–0","1–1","2–1","3–1","1–3","1–0","1–3","0–0","0–2","2–2","1–1","0–1","1–0","4–2","2–2"
"Bury","3–1","4–1","2–2","","3–2","1–0","0–1","3–0","2–0","4–0","3–2","2–3","1–0","1–1","1–0","0–1","0–0","1–0","3–2","0–0","3–0","3–0","1–3","2–1"
"Chester City","1–1","1–2","1–0","0–1","","1–1","1–0","2–3","2–0","2–1","5–0","0–0","1–3","2–1","1–1","1–0","5–2","1–2","0–2","0–1","0–0","0–0","1–2","0–1"
"Colchester United","0–0","4–1","3–1","2–1","1–0","","4–3","2–2","1–0","4–1","3–2","0–0","2–0","3–1","1–0","1–2","4–1","5–1","3–0","1–0","1–0","3–3","3–0","0–0"
"Crewe Alexandra","0–0","3–1","4–1","3–3","3–2","0–1","","2–5","1–1","3–0","3–1","0–3","1–2","1–0","0–3","1–2","1–1","0–1","3–0","3–0","1–1","0–1","0–2","2–1"
"Darlington","1–1","0–1","2–2","1–2","0–2","1–3","1–1","","1–2","2–1","2–1","1–2","0–0","2–0","4–3","0–0","3–0","0–1","3–1","1–0","0–2","1–0","0–2","1–3"
"Halifax Town","1–3","2–0","2–2","1–0","0–0","4–0","0–3","2–0","","1–1","2–2","1–2","0–0","2–0","1–2","0–2","0–0","3–1","1–0","1–0","3–0","1–2","1–1","2–2"
"Hartlepool United","1–1","2–1","3–1","0–1","1–0","1–4","1–0","2–0","1–2","","0–1","0–0","0–4","2–1","0–0","2–2","3–0","0–0","3–2","1–2","0–2","4–0","1–0","2–0"
"Hereford United","2–1","0–0","1–3","0–2","5–2","0–0","1–0","0–0","2–0","1–0","","2–0","0–2","1–1","0–1","0–2","1–0","0–2","0–0","1–2","0–1","1–0","1–4","0–0"
"Hull City","2–2","3–1","1–0","2–1","2–0","3–0","1–0","0–0","1–1","1–1","2–0","","2–2","4–0","4–1","1–0","2–1","1–1","7–0","0–0","4–1","0–1","1–1","4–0"
"Mansfield Town","4–1","2–1","1–1","1–4","2–1","1–1","1–0","0–2","1–2","3–0","0–1","3–1","","2–0","0–0","0–2","2–1","0–2","1–0","1–0","2–1","1–1","2–2","2–2"
"Northampton Town","1–1","2–1","7–1","0–3","1–1","2–1","4–0","3–3","3–1","3–1","2–1","1–2","1–2","","0–0","2–2","1–1","2–1","2–3","0–1","2–0","1–0","2–2","1–1"
"Peterborough United","0–0","3–1","3–0","1–1","0–1","2–1","2–1","1–1","2–1","2–1","4–0","1–1","3–2","2–0","","0–0","1–0","0–1","1–0","4–3","1–3","3–0","0–3","2–2"
"Port Vale","2–1","1–0","1–1","0–0","2–1","0–0","1–1","2–1","2–1","3–0","2–0","1–0","4–1","1–2","2–1","","4–0","0–1","2–3","3–0","1–0","0–1","1–0","2–1"
"Rochdale","3–1","3–1","1–0","0–0","0–1","2–1","0–1","1–1","2–2","2–0","4–1","1–3","2–2","2–0","1–1","3–3","","0–1","1–0","1–1","2–2","4–2","0–2","1–0"
"Scunthorpe United","1–1","4–3","1–1","0–1","2–0","2–1","2–0","2–2","2–0","3–0","1–2","0–1","2–2","5–1","3–0","1–0","1–1","","3–0","2–0","2–0","2–1","0–0","0–0"
"Stockport County","2–1","3–0","2–2","2–1","3–3","3–0","3–2","2–1","4–2","1–1","2–1","1–1","1–1","0–1","1–1","0–2","2–2","1–1","","1–2","1–0","3–2","1–3","2–1"
"Swindon Town","2–0","3–3","2–0","1–1","2–3","3–0","1–0","1–2","0–1","3–0","3–2","0–1","4–0","1–5","1–0","1–0","4–1","2–2","2–0","","2–1","4–2","0–1","3–2"
"Torquay United","4–2","1–3","0–2","2–3","0–1","2–0","2–1","1–0","1–3","3–2","2–1","0–0","","3–1","2–1","0–1","3–2","1–1","3–0","1–1","","3–0","0–1","1–3"
"Tranmere Rovers","1–1","1–1","2–2","1–1","2–4","2–4","1–1","2–0","1–2","1–1","2–1","0–1","3–0","2–1","1–0","0–2","0–0","0–4","1–1","2–0","2–0","","0–2","3–0"
"Wimbledon","6–1","5–0","2–1","2–1","4–0","2–1","3–2","3–1","2–4","2–0","1–0","1–2","1–1","1–1","2–1","1–0","3–0","2–2","2–1","0–0","4–1","4–0","","4–3"
"York City","4–0","2–0","3–0","3–1","1–0","3–0","2–0","5–2","3–2","5–1","5–1","1–0","6–1","5–2","1–1","0–0","1–0","2–1","3–1","0–0","1–1","2–1","1–4",""
