"Home \ Away","BAR","BLB","BOL","BUR","CAM","CRL","CHA","CHE","CRY","DER","FUL","GRI","LEE","LEI","MID","NEW","OLD","QPR","ROT","SHW","SHR","WOL"
"Barnsley","","2–2","3–1","3–0","2–3","2–2","0–0","1–1","3–1","1–1","4–3","4–0","2–1","1–2","2–0","0–5","1–1","0–1","2–1","0–0","2–2","2–1"
"Blackburn Rovers","1–1","","1–1","2–1","3–1","3–2","2–0","3–0","3–0","2–0","0–0","2–1","0–0","3–1","1–1","1–2","2–2","1–3","3–0","2–3","1–0","2–2"
"Bolton Wanderers","0–2","1–0","","3–0","2–0","1–0","4–1","0–1","1–0","0–2","0–1","0–0","1–2","3–1","3–1","3–1","2–3","3–2","2–2","0–2","1–4","0–1"
"Burnley","3–1","0–1","0–0","","2–1","4–1","7–1","3–0","2–1","1–1","1–0","1–1","1–2","2–4","1–1","1–0","1–2","2–1","1–2","4–1","1–2","0–1"
"Cambridge United","1–1","2–0","0–0","2–0","","1–1","3–2","0–1","1–0","0–0","1–0","1–0","0–0","3–1","2–0","1–0","1–4","1–4","2–0","2–2","0–0","2–1"
"Carlisle United","1–1","3–1","5–0","1–1","2–2","","4–1","2–1","4–1","3–0","3–2","2–3","2–2","0–1","1–3","2–0","0–0","1–0","2–2","4–2","2–3","0–2"
"Charlton Athletic","3–2","3–0","4–1","2–1","2–1","0–0","","5–2","2–1","1–1","3–0","0–1","0–1","2–1","2–3","2–0","4–1","1–3","1–5","0–3","0–1","3–3"
"Chelsea","0–3","2–0","2–1","2–1","6–0","4–2","3–1","","0–0","1–3","0–0","5–2","0–0","1–1","0–0","0–2","2–0","0–2","1–1","1–1","1–2","0–0"
"Crystal Palace","1–1","2–0","3–0","1–0","0–0","2–1","1–1","0–0","","4–1","1–1","2–0","1–1","1–0","3–0","0–2","1–0","0–3","1–1","2–0","2–1","3–4"
"Derby County","1–1","1–2","0–0","2–0","1–1","0–3","1–1","1–0","1–1","","1–0","2–0","3–3","0–4","1–1","2–1","2–2","2–0","3–0","0–0","2–3","1–1"
"Fulham","1–0","3–1","4–0","3–1","1–1","2–0","2–1","1–1","1–0","2–1","","4–0","3–2","0–1","1–0","2–2","0–3","1–1","1–1","1–0","2–1","1–3"
"Grimsby Town","1–2","5–0","1–0","3–2","1–0","2–1","1–1","2–1","4–1","1–1","0–4","","1–1","2–0","0–3","2–2","0–2","1–1","1–2","1–1","2–0","1–1"
"Leeds United","0–0","2–1","1–1","3–1","2–1","1–1","1–2","3–3","2–1","2–1","1–1","1–0","","2–2","0–0","3–1","0–0","0–1","2–2","1–2","1–1","0–0"
"Leicester City","1–0","0–1","0–0","0–0","4–0","6–0","1–2","3–0","0–1","1–1","2–0","2–0","0–1","","1–0","2–2","2–1","0–1","3–1","0–2","3–2","5–0"
"Middlesbrough","2–0","1–5","1–0","1–4","0–1","1–0","3–0","3–1","2–0","2–3","1–4","1–4","0–0","1–1","","1–1","1–1","2–1","1–1","1–1","2–1","0–0"
"Newcastle United","1–2","3–2","2–2","3–0","2–0","2–2","4–2","1–1","1–0","1–0","1–4","4–0","2–1","2–2","1–1","","1–0","1–0","4–0","2–1","4–0","1–1"
"Oldham Athletic","1–1","0–0","2–3","3–0","3–0","4–3","2–2","2–2","2–0","2–2","1–0","1–1","2–2","1–2","3–0","2–2","","0–1","1–1","1–1","1–0","4–1"
"Queens Park Rangers","3–0","2–2","1–0","3–2","2–1","1–0","5–1","1–2","0–0","4–1","3–1","4–0","1–0","2–2","6–1","2–0","1–0","","4–0","0–2","4–0","2–1"
"Rotherham United","1–0","3–1","1–1","1–1","2–0","1–2","1–0","1–0","2–2","1–1","0–1","3–0","0–1","1–3","1–1","1–5","1–3","0–0","","0–3","0–3","1–1"
"Sheffield Wednesday","0–1","0–0","3–1","1–1","3–1","1–1","5–4","3–2","2–1","2–0","2–1","2–0","2–3","2–2","3–1","1–1","1–1","0–1","0–1","","0–0","0–0"
"Shrewsbury Town","3–1","0–0","1–0","1–2","2–1","2–1","0–0","2–0","1–1","1–1","0–1","0–0","0–0","0–2","2–2","2–1","0–0","0–0","2–0","1–0","","0–2"
"Wolverhampton Wanderers","2–0","2–1","0–0","2–0","1–1","2–1","5–0","2–1","1–0","2–1","2–4","3–0","3–0","0–3","4–0","2–2","0–0","4–0","2–0","1–0","2–2",""
