"Home \ Away","BOU","BRA","BRE","BRR","CAR","CHF","DON","EXE","GIL","HUD","LIN","MIL","NPC","ORI","OXF","PLY","POR","PNE","REA","SHU","STD","WAL","WIG","WRE"
"Bournemouth","","2–2","4–3","0–0","3–1","2–1","2–2","2–0","0–1","0–1","1–0","3–0","0–1","2–0","2–0","1–0","0–2","4–0","1–1","0–0","0–2","3–0","2–2","1–1"
"Bradford City","2–3","","0–1","2–0","4–2","1–0","1–0","3–3","1–1","3–1","1–1","0–0","4–2","2–3","3–2","4–0","2–2","1–2","3–2","2–0","1–0","1–1","0–1","0–0"
"Brentford","2–1","0–2","","5–1","1–3","4–2","1–0","4–0","1–1","1–0","2–0","1–1","2–0","5–2","1–1","2–0","1–1","3–1","1–2","2–1","4–2","2–3","1–3","4–1"
"Bristol Rovers","1–1","4–1","2–0","","1–1","3–0","2–0","4–4","2–1","1–0","1–2","4–0","1–3","2–1","0–1","2–0","5–1","3–2","3–0","2–1","2–2","2–0","4–0","4–0"
"Cardiff City","1–1","1–0","3–1","3–1","","1–1","3–0","2–0","1–0","1–1","1–0","3–0","3–2","2–0","3–0","0–0","1–0","3–1","0–0","2–0","4–1","3–1","3–2","1–2"
"Chesterfield","0–0","3–0","2–1","0–0","0–1","","3–3","1–3","1–2","0–1","1–3","0–1","3–1","1–2","1–2","1–2","0–1","1–1","0–0","3–1","0–2","0–0","2–0","5–1"
"Doncaster Rovers","2–1","1–2","4–4","1–2","2–2","0–0","","6–1","0–2","0–4","2–2","2–1","0–0","0–3","0–1","2–2","0–2","2–0","7–5","2–0","0–0","1–3","3–6","1–1"
"Exeter City","4–2","2–1","1–7","0–1","0–2","2–3","3–0","","2–2","3–4","3–1","2–1","0–1","2–0","3–1","1–0","1–1","5–1","2–2","0–3","4–3","4–3","2–1","3–3"
"Gillingham","2–5","3–0","2–2","1–0","2–3","3–1","1–1","4–4","","1–3","0–2","1–0","2–0","4–0","0–1","2–1","1–0","2–1","1–0","0–2","1–0","3–0","0–2","1–1"
"Huddersfield Town","0–0","6–3","2–0","3–1","4–0","3–1","3–0","1–1","3–2","","1–1","5–1","1–0","6–0","2–0","2–0","1–1","1–1","3–1","0–0","2–1","2–2","1–1","4–1"
"Lincoln City","9–0","1–0","2–1","2–1","2–1","2–0","5–1","4–1","3–1","1–2","","3–1","1–4","2–0","1–1","1–2","0–3","3–0","4–0","3–0","0–1","2–1","2–1","2–0"
"Millwall","2–0","1–1","1–0","1–1","0–4","1–1","3–0","5–2","4–1","3–0","2–1","","3–0","0–1","2–1","2–2","0–2","1–0","1–1","1–2","3–1","2–2","2–0","1–1"
"Newport County","5–1","1–1","0–0","2–0","1–0","1–0","1–2","1–1","2–1","2–1","1–0","2–2","","4–1","1–2","2–2","0–3","3–0","1–0","3–1","1–1","1–1","1–0","4–0"
"Orient","5–0","0–1","3–3","1–5","4–0","2–0","1–0","5–1","2–0","1–3","1–1","2–3","1–5","","1–5","0–2","2–1","2–1","3–3","4–1","1–1","2–1","1–1","0–0"
"Oxford United","2–0","5–1","2–2","4–2","2–2","1–0","3–0","1–1","1–1","1–1","1–0","1–0","0–3","2–2","","1–1","1–1","3–2","1–2","0–0","1–0","4–2","2–0","2–0"
"Plymouth Argyle","2–0","3–1","2–0","0–4","3–2","2–0","1–2","1–0","2–0","2–1","0–2","3–1","2–4","2–0","2–1","","0–1","1–1","3–0","3–1","1–0","0–0","0–2","2–0"
"Portsmouth","0–2","0–1","2–1","1–0","0–0","4–0","2–1","3–2","1–0","3–2","4–1","2–0","1–2","2–2","1–0","2–1","","3–1","2–2","4–1","2–0","1–0","0–0","3–0"
"Preston North End","0–1","0–0","3–0","2–2","2–1","1–1","4–1","2–2","0–0","0–0","1–0","3–2","0–0","2–1","1–2","2–2","0–0","","2–0","1–0","1–1","1–0","4–1","3–0"
"Reading","2–1","2–1","1–1","1–2","1–2","0–0","2–0","3–1","0–0","1–1","1–1","3–3","4–2","3–0","0–3","3–2","1–2","2–3","","2–0","1–1","1–1","2–1","1–0"
"Sheffield United","2–2","2–1","1–2","2–1","2–0","3–1","3–1","3–0","0–2","2–0","0–1","1–1","2–0","3–0","3–2","3–1","2–1","2–1","1–1","","0–1","3–1","2–0","2–0"
"Southend United","0–0","1–1","4–2","1–0","1–2","2–0","3–2","1–1","1–1","0–1","2–0","1–1","1–4","1–1","1–2","3–1","4–0","2–3","4–2","3–1","","1–1","2–0","2–2"
"Walsall","3–1","1–1","2–1","5–0","1–2","0–1","1–0","3–2","0–0","2–0","1–1","4–0","2–1","2–0","1–0","2–0","0–3","2–1","2–1","0–0","1–3","","2–0","1–1"
"Wigan Athletic","1–2","3–2","3–2","0–5","0–0","2–2","0–3","1–0","2–2","2–0","2–1","3–1","0–1","0–1","0–1","3–0","0–1","0–1","2–2","3–2","4–0","1–3","","3–1"
"Wrexham","1–0","0–4","3–4","0–0","0–0","0–0","5–0","1–2","1–0","1–1","0–1","4–3","1–0","1–0","1–1","2–3","0–2","3–1","4–0","4–1","3–2","4–0","1–1",""
