"Home \ Away","ALD","BLP","BRI","BRY","CHE","CHF","COL","CRE","DAR","DON","HAL","HAR","HER","MAN","NOR","PET","REA","ROC","STP","SWI","TOR","TRA","WRE","YOR"
"Aldershot","","3–2","1–0","1–2","5–2","2–1","5–1","0–0","0–0","2–1","5–2","2–1","1–4","7–1","1–0","3–2","0–0","2–1","1–1","2–1","3–1","1–1","1–1","1–4"
"Blackpool","5–0","","1–0","1–1","3–3","1–0","3–2","3–0","3–1","3–1","4–0","1–0","3–1","2–0","2–3","1–2","1–0","0–2","1–1","1–1","1–0","0–1","4–0","3–0"
"Bristol City","2–1","1–1","","3–2","4–2","2–0","4–1","2–1","1–0","1–2","3–0","2–0","1–0","4–0","4–1","0–1","3–1","1–1","3–1","1–0","5–0","1–1","2–1","1–0"
"Bury","0–3","0–0","2–1","","2–1","2–0","1–1","1–1","0–3","2–3","3–0","3–0","1–4","2–2","1–2","2–2","2–3","3–1","2–1","2–1","0–0","0–0","2–0","1–3"
"Chester City","1–2","0–2","1–2","2–1","","0–2","1–4","0–1","2–1","1–0","1–1","4–1","0–1","0–4","1–1","1–1","2–1","1–0","2–4","0–3","1–2","0–0","1–0","1–1"
"Chesterfield","3–1","1–1","1–1","1–5","1–1","","1–1","1–3","1–1","0–0","0–0","4–1","0–0","0–0","2–1","1–0","2–1","3–0","2–0","1–0","3–2","3–3","1–1","2–1"
"Colchester United","4–1","2–1","0–0","1–0","1–0","2–0","","2–0","2–1","1–1","4–1","6–0","3–0","1–0","2–2","1–1","3–0","4–0","1–1","0–0","3–0","0–1","1–1","1–3"
"Crewe Alexandra","0–0","2–1","2–2","2–1","1–1","2–1","1–1","","2–1","1–1","6–1","2–0","1–1","1–3","3–2","0–1","1–1","0–1","0–3","2–0","2–1","3–0","1–1","0–3"
"Darlington","0–1","2–0","0–1","1–2","2–1","2–1","0–2","2–0","","1–2","3–2","2–0","0–0","3–0","5–3","1–0","1–1","1–0","1–0","1–0","0–1","1–0","2–2","0–0"
"Doncaster Rovers","3–1","2–1","1–0","3–1","1–0","2–1","3–3","1–0","3–2","","3–2","0–1","3–0","3–1","1–0","1–1","2–3","3–0","2–1","3–0","1–1","1–1","3–0","2–2"
"Halifax Town","1–0","1–0","1–2","0–0","2–2","2–1","4–1","1–0","0–2","1–2","","3–2","2–1","0–0","2–2","2–1","0–1","5–0","2–0","2–1","2–2","1–2","1–1","1–2"
"Hartlepool United","0–1","0–1","2–2","1–3","1–1","2–2","0–0","2–1","2–1","1–0","3–0","","0–0","4–1","2–0","1–1","3–3","1–2","1–2","0–1","2–1","0–1","1–1","2–3"
"Hereford United","2–1","1–2","0–2","1–2","2–1","3–1","1–1","0–1","1–0","0–3","0–0","5–0","","0–0","0–0","2–1","1–1","2–1","2–0","2–1","1–1","0–1","3–0","2–1"
"Mansfield Town","5–2","1–1","0–1","1–1","3–1","0–1","0–0","3–3","1–0","1–2","7–1","5–0","1–1","","3–1","0–0","2–0","3–0","1–2","2–2","1–3","1–0","3–4","0–1"
"Northampton Town","1–4","1–5","1–0","1–0","2–1","1–1","3–1","2–0","2–0","1–4","1–1","1–1","0–3","2–1","","2–1","2–2","1–1","0–0","2–0","2–1","0–0","3–3","1–2"
"Peterborough United","1–2","4–0","4–1","2–1","1–0","2–0","2–0","1–0","2–2","1–1","4–0","3–1","1–1","3–0","6–0","","3–3","2–0","2–0","1–1","5–0","2–0","0–1","0–2"
"Reading","1–0","2–0","2–0","1–1","1–0","1–1","1–0","5–0","1–0","3–2","1–0","5–1","3–1","4–0","3–0","1–1","","0–0","6–2","2–2","2–2","1–0","4–1","1–0"
"Rochdale","3–1","1–0","0–1","0–2","1–1","2–4","0–0","1–0","2–0","3–3","1–1","2–0","3–3","0–0","1–1","2–1","4–1","","2–2","3–3","1–0","2–3","1–2","0–2"
"Stockport County","2–2","1–2","0–0","1–1","2–1","2–0","2–0","2–3","2–0","0–2","4–0","1–0","1–0","0–4","1–0","4–1","3–0","2–1","","1–3","2–1","2–1","1–1","0–2"
"Swindon Town","0–2","0–0","1–1","0–0","4–0","1–2","2–1","1–0","1–0","2–1","2–3","3–2","3–0","1–1","0–0","2–0","1–1","2–1","2–1","","2–3","1–1","0–1","3–2"
"Torquay United","0–1","1–0","1–1","2–0","1–0","1–1","2–1","3–1","0–1","4–1","1–1","0–0","1–1","1–0","2–1","1–0","2–2","4–2","1–1","1–0","","1–1","1–1","1–3"
"Tranmere Rovers","3–0","3–2","2–0","1–1","2–2","0–3","2–1","2–3","0–1","1–1","3–2","0–1","0–1","1–0","1–0","0–0","2–3","2–2","1–0","2–1","3–0","","2–1","0–1"
"Wrexham","1–1","0–1","3–1","3–0","2–0","4–2","0–2","0–1","1–1","1–2","1–0","1–4","0–0","2–3","0–1","2–2","0–3","5–1","1–2","0–3","2–2","5–1","","0–0"
"York City","2–0","4–0","1–1","3–0","4–1","1–0","3–0","5–2","2–0","1–1","4–1","2–0","4–0","2–1","3–0","2–0","2–2","2–0","3–1","2–0","2–3","1–1","3–2",""
