"Home \ Away","BAR","BLB","B&HA","CAM","CAR","CRL","CHA","CHE","CRY","DER","FUL","GRI","HUD","LEE","MCI","MID","NEW","OLD","POR","SHW","SHR","SWA"
"Barnsley","","0–0","3–1","2–0","2–3","2–1","2–0","0–0","1–1","5–1","3–0","3–1","2–2","0–2","1–1","0–2","1–1","0–1","0–3","0–1","3–0","3–2"
"Blackburn Rovers","1–1","","2–2","1–0","1–1","4–1","1–1","0–0","2–1","5–1","0–1","1–1","2–2","1–1","2–1","1–0","1–1","3–1","2–1","0–0","1–1","4–1"
"Brighton & Hove Albion","1–0","1–1","","3–0","3–1","1–1","7–0","1–2","3–1","1–0","1–1","2–0","3–1","3–0","1–1","3–0","0–1","4–0","0–1","1–3","2–2","1–1"
"Cambridge United","0–3","2–0","3–4","","0–2","0–2","2–2","0–1","1–3","0–1","1–1","2–2","0–3","2–2","0–0","0–0","1–0","2–1","1–3","1–2","1–0","1–1"
"Cardiff City","0–3","0–1","2–2","5–0","","2–0","2–1","3–3","0–2","1–0","0–4","3–1","3–1","0–1","2–1","2–1","0–2","2–0","0–0","0–2","2–0","3–2"
"Carlisle United","4–2","0–1","1–2","0–0","1–1","","3–0","0–0","2–2","2–1","2–0","1–1","0–0","1–0","2–0","1–1","3–1","2–0","0–0","1–1","1–0","2–0"
"Charlton Athletic","3–2","2–0","2–0","5–2","2–0","1–0","","1–1","1–0","1–0","3–4","3–3","1–2","2–0","1–0","2–0","1–3","2–1","2–1","1–1","2–4","2–2"
"Chelsea","3–1","2–1","1–0","2–1","2–0","0–0","3–2","","2–2","5–0","4–0","2–3","3–1","5–0","0–1","0–0","4–0","3–0","2–2","3–2","3–0","6–1"
"Crystal Palace","0–1","0–2","0–2","1–1","1–0","1–2","2–0","0–1","","0–1","1–1","0–1","0–0","0–0","0–2","1–0","3–1","2–1","2–1","1–0","1–1","2–0"
"Derby County","0–2","1–1","0–3","1–0","2–3","1–4","0–1","1–2","3–0","","1–0","1–2","1–1","1–1","1–0","1–0","3–2","2–2","2–0","1–1","1–0","2–1"
"Fulham","1–0","0–1","3–1","1–0","0–2","0–0","0–1","3–5","1–1","2–2","","1–1","0–2","2–1","5–1","2–1","2–2","3–0","0–2","1–1","3–0","5–0"
"Grimsby Town","1–0","3–2","5–0","0–0","1–0","1–1","2–1","0–1","2–0","2–1","2–1","","2–1","2–0","1–1","0–0","1–1","3–0","3–4","1–0","1–1","3–0"
"Huddersfield Town","0–1","0–2","0–1","3–0","4–0","0–0","0–0","2–3","2–1","3–0","2–0","0–0","","2–2","1–3","2–2","2–2","0–1","2–1","0–1","1–0","1–0"
"Leeds United","1–2","1–0","3–2","3–1","1–0","3–0","1–0","1–1","1–1","0–0","1–0","2–1","1–2","","1–2","4–1","0–1","2–0","2–1","1–1","3–0","1–0"
"Manchester City","3–2","6–0","4–0","5–0","2–1","3–1","0–1","0–2","3–1","1–1","0–0","2–1","2–3","1–1","","2–1","1–2","2–0","2–1","1–2","1–0","2–1"
"Middlesbrough","2–1","1–2","0–0","1–1","2–0","0–1","1–0","2–1","1–3","0–0","0–2","1–1","0–0","2–2","0–0","","3–2","3–2","0–0","2–0","4–0","1–0"
"Newcastle United","1–0","1–1","3–1","2–1","3–1","5–1","2–1","1–1","3–1","4–0","3–2","0–1","5–2","1–0","5–0","3–1","","3–0","4–2","0–1","0–1","2–0"
"Oldham Athletic","1–0","0–0","1–0","0–0","2–1","2–3","0–0","1–1","3–2","3–0","3–0","2–1","0–3","3–2","2–2","2–1","1–2","","3–2","1–3","0–1","3–3"
"Portsmouth","2–1","2–4","5–1","5–0","1–1","0–1","4–0","2–2","0–1","3–0","1–4","4–0","1–1","2–3","1–2","0–1","1–4","3–4","","0–1","4–1","5–0"
"Sheffield Wednesday","2–0","4–2","2–1","1–0","5–2","2–0","4–1","2–1","1–0","3–1","1–1","1–0","0–0","3–1","0–0","0–2","4–2","3–0","2–0","","1–1","6–1"
"Shrewsbury Town","3–2","1–0","2–1","1–0","1–0","0–0","1–1","2–4","1–1","3–0","0–0","1–2","1–0","5–1","1–3","1–0","2–2","2–0","2–0","2–1","","2–0"
"Swansea City","1–0","0–1","1–3","2–1","3–2","0–0","1–0","1–3","1–0","2–0","0–3","0–1","2–2","2–2","0–2","2–1","1–2","0–0","1–2","0–1","0–2",""
