"Home \ Away","BOL","BOU","BRA","BRE","BRR","BUR","EXE","GIL","HUL","LIN","MIL","NPC","ORI","OXF","PLY","PTV","PNE","ROT","SCU","SHU","STD","WAL","WIG","WDN"
"Bolton Wanderers","","0–1","0–2","1–0","3–0","0–0","1–0","0–1","0–0","0–2","2–0","2–3","3–2","1–0","2–1","2–0","2–2","2–0","0–0","3–1","2–0","8–1","0–1","2–0"
"Bournemouth","2–2","","4–1","0–3","0–1","1–0","3–1","2–0","2–3","3–0","1–1","1–1","3–2","2–1","2–1","1–1","0–1","4–2","1–1","0–1","1–0","3–0","0–1","2–3"
"Bradford City","0–2","5–2","","1–1","0–1","2–1","1–3","3–2","0–0","0–0","3–3","1–0","4–1","2–2","2–0","2–2","3–2","1–0","2–2","2–1","1–1","0–0","6–2","5–2"
"Brentford","3–0","1–1","1–4","","2–2","0–0","3–0","2–3","1–1","3–0","2–2","2–0","1–1","1–2","2–2","3–1","4–1","2–1","3–0","1–3","0–0","1–1","0–1","3–4"
"Bristol Rovers","2–1","1–3","1–0","3–1","","2–1","2–0","3–0","1–3","3–1","3–2","4–0","0–0","1–1","2–0","0–0","3–1","2–0","4–1","1–1","2–1","4–2","2–1","1–1"
"Burnley","2–2","5–1","2–1","2–2","0–0","","4–0","2–3","0–2","4–0","1–0","2–0","2–3","1–1","2–1","7–0","2–1","2–2","5–0","2–1","3–0","0–2","3–0","0–2"
"Exeter City","2–2","0–2","0–2","1–2","1–2","1–1","","0–0","2–1","0–3","3–2","1–2","3–4","3–1","1–1","1–1","2–1","0–1","1–1","1–2","3–3","0–1","1–1","0–3"
"Gillingham","2–0","2–1","0–0","4–2","1–2","0–1","3–1","","1–2","2–0","3–3","4–1","3–1","2–3","2–1","1–1","2–0","4–2","1–1","4–2","5–1","1–3","3–0","0–1"
"Hull City","1–1","3–1","1–0","2–0","0–0","4–1","1–0","0–0","","2–0","5–0","0–0","2–1","0–1","1–2","1–0","3–0","5–0","1–0","4–1","2–1","2–2","1–0","1–0"
"Lincoln City","0–0","3–0","2–3","2–0","4–0","3–1","1–1","4–0","1–3","","2–2","2–3","3–1","2–2","2–0","3–2","2–1","0–1","2–1","0–2","1–2","2–1","0–1","1–2"
"Millwall","3–0","3–1","0–0","1–2","1–0","2–0","3–0","2–2","1–0","0–2","","1–1","4–3","2–1","1–0","3–2","1–0","2–0","2–1","1–2","4–0","2–0","2–0","1–1"
"Newport County","2–3","2–1","4–3","1–1","2–1","1–0","1–0","1–0","1–1","1–0","1–1","","0–0","1–1","2–0","2–1","1–1","1–4","1–1","0–2","1–1","3–1","5–3","1–1"
"Orient","2–1","2–0","2–0","2–0","0–1","1–2","2–2","1–1","3–1","1–1","5–3","2–2","","1–2","3–2","3–0","2–1","2–1","1–0","2–0","1–0","0–1","0–0","2–6"
"Oxford United","5–0","3–2","2–0","2–1","3–2","2–2","1–1","0–1","1–1","3–0","4–2","2–0","5–2","","5–0","2–0","2–0","3–2","1–0","2–2","2–1","6–3","0–0","2–0"
"Plymouth Argyle","2–0","1–0","3–0","1–0","1–1","1–1","2–2","1–1","2–0","2–2","0–1","0–1","3–1","2–1","","3–0","1–0","1–1","4–0","0–1","4–0","3–1","0–0","1–2"
"Port Vale","1–2","2–1","1–2","4–3","2–0","2–3","2–2","0–1","1–0","0–1","1–0","4–2","2–0","1–3","0–1","","1–1","2–3","0–0","2–0","2–1","0–2","1–1","2–0"
"Preston North End","2–1","2–0","1–2","3–3","1–0","4–2","2–1","2–2","0–0","1–2","0–0","2–0","3–1","1–2","2–1","4–0","","1–0","1–0","2–2","4–1","0–1","2–3","2–3"
"Rotherham United","1–1","1–0","1–0","4–0","2–2","1–1","1–0","3–0","0–1","1–1","1–0","0–1","0–1","1–2","2–0","2–1","0–1","","3–0","0–1","0–0","0–1","4–1","1–2"
"Scunthorpe United","1–0","1–2","2–1","4–4","2–2","4–0","3–1","2–0","2–0","0–0","0–1","3–3","3–1","0–0","3–0","1–1","1–5","1–2","","1–1","1–6","0–0","0–0","5–1"
"Sheffield United","5–0","2–0","2–0","0–0","4–0","0–0","2–2","4–0","2–2","0–0","2–0","2–0","6–3","1–2","2–0","3–1","1–1","3–0","5–3","","5–0","2–0","2–2","1–2"
"Southend United","0–1","0–0","2–1","6–0","1–2","2–2","0–3","3–1","2–2","2–0","3–2","3–1","3–0","0–1","1–1","1–2","1–1","2–2","0–0","0–1","","0–0","1–0","1–1"
"Walsall","1–0","3–1","1–2","1–0","2–1","1–1","4–1","3–1","2–1","0–1","1–1","3–2","0–1","0–1","3–2","2–0","2–1","2–2","1–1","1–2","4–0","","3–0","4–0"
"Wigan Athletic","0–1","1–3","0–1","2–1","0–0","1–0","1–1","1–2","1–1","2–0","0–0","1–0","0–1","0–2","1–1","3–0","1–0","2–1","2–0","3–0","0–1","0–1","","3–2"
"Wimbledon","4–0","3–2","4–1","2–1","1–1","1–4","2–1","1–3","1–4","3–1","4–3","6–0","2–2","3–1","1–0","4–2","2–2","3–1","1–1","3–1","3–2","2–0","2–2",""
