"Home \ Away","ALD","BLP","BRY","CHE","CHF","COL","CRE","DAR","EXE","HAL","HAR","HER","MAN","NOR","PET","PTV","ROC","SCU","STD","STP","SWI","TOR","TRA","WRE"
"Aldershot","","1–0","0–1","1–2","1–1","1–0","1–1","3–4","1–1","2–0","1–0","0–1","0–0","0–0","0–0","1–0","5–0","1–2","6–2","2–1","0–1","1–0","3–2","2–1"
"Blackpool","1–0","","0–0","3–1","1–0","1–1","6–1","0–0","3–0","1–1","2–1","2–0","1–0","2–1","4–2","1–1","3–0","1–0","1–0","4–1","1–0","3–3","1–2","0–0"
"Bury","2–1","1–0","","4–1","0–0","4–3","2–2","1–0","2–2","3–0","1–0","2–1","0–0","3–1","1–1","4–0","2–2","0–1","2–0","2–1","2–0","3–1","3–0","2–3"
"Chester City","2–0","0–0","2–3","","1–1","1–2","0–2","5–2","1–3","2–0","1–0","2–1","0–3","1–0","1–3","2–0","0–1","1–1","5–1","2–1","2–0","0–1","2–4","2–1"
"Chesterfield","2–1","2–1","0–1","3–1","","1–1","3–1","0–0","5–1","3–0","0–0","3–1","0–0","2–1","2–0","0–0","0–0","1–0","2–1","3–0","1–0","1–0","4–2","2–1"
"Colchester United","2–0","1–1","1–0","1–1","3–1","","4–1","1–2","3–4","1–3","1–0","2–2","2–1","4–1","3–1","3–2","1–1","1–1","3–3","3–0","1–1","2–1","2–1","4–1"
"Crewe Alexandra","1–1","0–2","1–0","2–0","1–1","1–4","","2–2","0–0","0–1","2–0","0–3","1–1","3–2","2–1","0–0","3–1","1–1","0–2","2–1","3–2","3–0","1–3","3–0"
"Darlington","1–1","0–4","1–1","2–1","1–3","4–0","2–1","","2–1","2–0","0–1","1–1","3–1","4–0","2–1","1–1","1–0","2–1","3–1","3–1","1–0","1–0","2–1","2–1"
"Exeter City","3–0","1–1","0–2","1–1","0–1","1–5","0–2","1–1","","1–0","3–2","0–0","0–0","5–0","0–1","2–1","1–1","2–1","2–1","0–2","1–1","4–3","0–1","2–0"
"Halifax Town","1–2","0–2","4–1","0–4","1–3","0–0","1–1","0–1","2–3","","2–3","2–1","1–0","1–0","0–0","2–1","0–2","1–2","1–0","2–1","2–1","0–1","2–1","1–2"
"Hartlepool United","1–0","0–2","0–1","2–1","1–0","2–1","3–0","1–2","1–1","0–1","","2–2","0–0","0–0","0–3","2–2","0–2","3–2","2–1","5–1","2–2","3–1","2–4","2–0"
"Hereford United","2–1","2–1","5–3","0–0","0–1","2–1","3–2","0–1","1–2","3–0","3–0","","3–0","1–1","1–0","1–0","1–2","1–0","3–0","2–0","0–3","1–0","2–1","2–1"
"Mansfield Town","1–2","1–1","0–2","2–0","0–0","0–1","0–2","2–0","2–2","2–1","2–0","1–1","","2–0","0–0","1–1","5–1","0–1","1–0","1–0","0–0","1–0","0–0","1–0"
"Northampton Town","4–0","0–1","0–1","0–2","1–3","1–3","1–3","2–1","5–2","0–1","2–0","0–3","1–0","","0–3","1–0","0–0","0–2","1–2","4–0","4–0","3–1","2–0","0–4"
"Peterborough United","1–2","2–0","1–4","3–1","0–0","0–1","2–1","1–1","0–0","2–0","3–1","1–1","1–0","0–0","","0–0","1–1","3–1","1–4","3–1","0–1","1–0","1–0","2–1"
"Port Vale","1–2","1–1","0–0","0–0","0–0","3–2","2–0","0–2","5–1","3–1","1–1","3–1","0–1","0–3","3–1","","3–1","1–1","4–1","3–2","2–0","2–2","2–1","0–0"
"Rochdale","1–2","1–1","1–1","1–2","3–1","1–1","1–3","1–2","2–0","2–0","4–3","0–1","2–1","3–0","2–1","1–2","","3–3","2–2","0–0","0–1","0–0","2–1","0–2"
"Scunthorpe United","2–1","1–1","2–2","2–1","2–4","2–2","2–3","0–1","7–1","4–0","2–0","1–1","2–2","2–1","2–1","3–3","4–2","","2–1","1–0","6–2","2–0","5–2","5–2"
"Southend United","1–0","1–4","3–3","1–1","0–1","2–5","3–1","1–1","1–0","2–1","1–1","0–0","1–3","2–1","2–1","1–1","0–2","1–1","","1–1","3–2","1–0","2–3","0–1"
"Stockport County","6–0","1–3","2–0","5–1","0–1","1–0","0–1","0–0","1–0","0–3","4–1","2–1","1–1","4–2","1–1","3–1","1–1","2–0","1–2","","2–1","1–2","0–2","2–2"
"Swindon Town","2–1","4–1","1–0","4–4","4–0","2–1","1–1","1–0","2–0","2–1","2–1","0–3","1–0","2–0","1–1","0–1","2–1","0–0","2–0","4–0","","1–3","2–1","2–1"
"Torquay United","1–3","0–2","0–2","2–0","0–1","1–1","0–0","1–1","1–1","1–1","0–1","1–0","1–0","0–2","0–0","1–3","1–0","0–0","2–2","0–0","0–0","","1–1","4–3"
"Tranmere Rovers","4–3","3–0","3–2","1–0","0–1","3–1","3–1","3–0","3–2","1–0","1–2","0–1","0–0","1–2","4–0","4–1","3–1","2–0","2–0","3–0","0–2","3–1","","3–1"
"Wrexham","1–0","1–2","3–0","2–0","2–0","2–2","1–3","1–1","2–0","0–1","1–1","1–1","2–2","0–3","1–3","1–1","2–0","2–1","1–2","3–4","4–0","2–0","4–0",""
