"Home \ Away","BAR","BIR","BLB","B&HA","CAR","CRL","CHA","CRY","FUL","GRI","HUD","LEE","MCI","MID","NTC","OLD","OXF","POR","SHU","SHR","WDN","WOL"
"Barnsley","","0–1","1–1","0–0","2–0","1–3","1–0","3–1","1–0","0–0","2–1","1–0","0–0","1–0","0–0","0–1","3–0","2–2","1–0","3–1","0–0","5–1"
"Birmingham City","0–0","","0–2","1–1","2–0","2–0","2–1","3–0","2–2","2–1","1–0","1–0","0–0","3–2","2–1","0–1","0–0","0–1","4–1","0–0","4–2","1–0"
"Blackburn Rovers","0–0","2–1","","2–0","2–1","4–0","3–0","0–1","2–1","3–1","1–3","2–1","0–1","3–0","1–0","1–1","1–1","0–1","3–1","3–1","2–0","3–0"
"Brighton & Hove Albion","0–0","2–0","3–1","","1–0","4–1","2–1","1–0","2–0","0–0","0–1","1–1","0–0","1–2","2–1","2–0","0–0","1–1","1–0","1–0","2–1","5–1"
"Cardiff City","3–0","1–2","1–2","2–4","","2–1","0–3","0–3","0–2","2–4","3–0","2–1","0–3","2–1","1–4","2–2","0–2","1–2","1–3","0–0","1–3","0–0"
"Carlisle United","2–0","2–1","0–1","0–3","0–1","","1–1","1–0","3–0","1–1","0–1","2–2","0–0","0–3","1–0","2–5","0–1","3–0","1–1","2–0","6–1","0–1"
"Charlton Athletic","5–3","2–1","1–0","0–1","1–4","1–1","","1–1","1–2","4–1","2–2","2–3","1–3","1–0","3–0","2–1","3–3","2–2","0–0","1–1","0–1","1–0"
"Crystal Palace","0–1","0–2","1–1","1–1","1–1","2–1","2–1","","2–2","0–2","1–1","3–1","1–2","1–0","1–0","3–0","1–0","2–1","1–3","2–2","0–5","0–0"
"Fulham","1–1","0–1","3–2","2–0","3–2","3–2","0–0","2–2","","2–1","2–1","0–2","3–2","2–1","1–0","3–1","1–0","1–3","1–0","1–2","3–1","1–2"
"Grimsby Town","1–0","1–0","1–1","2–4","6–3","1–0","2–1","1–3","2–4","","5–1","0–2","4–1","3–1","2–0","4–1","1–2","2–3","0–2","2–1","2–1","5–1"
"Huddersfield Town","1–1","0–1","1–1","1–2","2–1","2–0","2–1","2–0","2–2","0–0","","1–0","0–2","3–1","1–2","2–1","0–3","0–2","2–2","1–5","2–1","3–1"
"Leeds United","2–0","0–1","0–0","1–0","1–1","1–1","1–0","4–1","2–0","0–0","0–0","","1–1","2–0","5–0","6–0","1–0","0–1","1–1","1–0","5–2","3–2"
"Manchester City","1–1","1–0","2–1","2–0","2–2","1–3","5–1","2–1","2–3","3–0","1–0","1–2","","1–0","2–0","0–0","1–0","2–2","2–0","4–0","3–0","4–0"
"Middlesbrough","0–0","0–0","1–2","2–1","3–2","1–2","1–0","1–1","2–0","1–5","2–2","0–0","2–1","","0–1","1–2","0–1","0–0","1–0","1–1","2–4","1–1"
"Notts County","0–2","1–3","0–3","1–2","0–2","3–0","0–0","0–0","2–1","1–1","0–2","1–2","3–2","3–2","","0–0","2–0","1–3","0–0","1–3","2–3","4–1"
"Oldham Athletic","2–1","0–1","2–0","1–0","0–1","2–3","2–1","1–0","2–1","2–0","2–2","1–1","0–2","2–0","3–2","","0–0","0–2","2–2","0–1","0–1","3–2"
"Oxford United","4–0","0–3","2–1","2–1","4–0","4–0","5–0","5–0","3–2","1–0","3–0","5–2","3–0","1–0","1–1","5–2","","1–1","5–1","1–0","4–0","3–1"
"Portsmouth","0–0","1–3","2–2","1–1","0–0","3–1","0–1","1–1","4–4","3–2","3–2","3–1","1–2","1–0","3–1","5–1","2–1","","2–1","3–0","1–0","0–1"
"Sheffield United","3–1","3–4","1–3","1–1","2–1","0–0","1–1","1–2","0–1","2–3","0–2","2–1","0–0","0–3","3–0","2–0","1–1","4–1","","0–1","3–0","2–2"
"Shrewsbury Town","2–0","1–0","3–0","0–0","0–0","4–2","1–1","4–1","3–1","4–1","5–1","2–3","1–0","0–2","4–2","3–0","2–2","0–0","3–3","","1–2","2–1"
"Wimbledon","3–3","1–2","1–1","1–0","2–1","3–0","1–3","3–2","1–1","1–1","0–1","2–2","2–2","1–1","3–2","1–0","1–3","3–2","5–0","4–1","","1–1"
"Wolverhampton Wanderers","0–1","0–2","0–3","0–1","3–0","0–2","1–0","2–1","0–4","0–1","2–1","0–2","2–0","0–0","2–3","0–3","1–2","0–0","2–2","0–1","3–3",""
