"Home \ Away","BOL","BOU","BRA","BRE","BRC","BRR","BUR","CAM","DER","DON","GIL","HUL","LEY","LIN","MIL","NPC","PLY","PNE","REA","ROT","SWA","WAL","WIG","YOR"
"Bolton Wanderers","","2–1","0–2","1–1","1–4","0–1","1–3","0–0","3–0","3–1","1–2","0–0","0–0","1–0","2–0","3–1","7–2","4–0","1–2","2–0","0–0","3–1","1–0","2–1"
"Bournemouth","4–0","","4–1","1–0","2–1","1–0","1–1","0–0","1–0","1–3","2–0","1–1","1–0","3–1","1–2","3–0","1–0","2–0","0–3","3–0","1–2","4–1","1–0","4–0"
"Bradford City","2–1","1–0","","5–4","1–1","2–0","3–2","2–0","3–1","0–1","1–1","2–0","4–1","0–0","3–1","1–0","1–0","3–0","2–5","1–1","1–1","1–1","4–2","1–0"
"Brentford","2–1","0–0","0–1","","1–2","0–3","2–1","2–0","1–1","1–1","5–2","2–1","0–1","2–2","1–1","2–5","3–1","3–1","2–1","3–0","3–0","3–1","2–0","2–1"
"Bristol City","3–2","2–0","2–0","1–1","","3–0","1–0","3–0","3–0","1–0","2–0","2–0","3–2","2–1","0–1","2–1","4–3","4–0","2–3","0–1","2–2","1–2","2–0","1–0"
"Bristol Rovers","1–2","1–0","2–0","3–0","1–0","","4–0","2–1","2–1","1–1","3–2","1–1","0–1","0–0","1–1","2–1","1–0","3–0","1–0","1–0","4–2","0–0","2–0","1–1"
"Burnley","3–2","1–1","1–2","3–1","0–1","0–0","","2–0","0–1","0–1","0–1","1–1","1–1","1–2","1–1","2–0","1–1","2–0","0–2","7–0","1–1","1–2","1–2","1–1"
"Cambridge United","2–3","1–0","0–4","1–2","2–3","0–2","2–3","","0–2","1–1","1–2","1–3","2–3","0–2","1–0","1–2","1–1","0–3","0–2","0–2","0–2","0–1","1–1","0–4"
"Derby County","3–2","2–3","0–0","1–0","1–0","0–0","2–2","1–0","","3–1","1–0","3–1","1–0","2–0","1–2","3–3","3–1","2–0","4–1","1–1","1–1","2–0","2–2","1–0"
"Doncaster Rovers","2–0","3–0","0–3","2–2","1–1","2–2","2–0","3–2","2–1","","0–1","1–2","1–1","3–2","0–1","3–2","4–3","1–2","0–4","0–1","4–1","4–1","1–1","3–0"
"Gillingham","2–3","3–2","2–2","2–0","1–3","4–1","1–1","3–0","3–2","2–1","","1–0","2–0","3–2","1–4","1–1","3–3","4–0","4–1","2–1","1–1","3–0","5–1","1–0"
"Hull City","2–2","3–0","0–2","4–0","2–1","2–0","2–0","2–1","3–2","3–2","2–0","","5–1","1–0","2–1","2–0","2–2","1–2","0–0","0–0","4–1","1–0","3–1","0–2"
"Orient","4–3","0–0","1–0","0–1","0–1","1–4","0–2","2–2","2–2","2–1","2–4","4–5","","1–0","1–0","1–1","3–0","0–0","0–0","0–1","4–2","0–3","1–1","1–3"
"Lincoln City","2–0","0–0","1–2","1–1","1–1","1–2","3–1","1–1","0–0","0–2","2–0","0–0","0–0","","0–1","2–2","2–2","4–0","5–1","3–3","1–0","0–0","1–0","2–1"
"Millwall","5–2","2–1","4–0","2–0","1–1","1–0","2–1","2–1","2–1","2–1","2–1","2–2","1–0","2–0","","2–0","2–0","3–0","0–0","0–0","2–0","0–0","4–1","1–0"
"Newport County","3–2","1–1","0–1","2–0","0–0","1–1","2–1","1–2","1–3","2–1","0–3","0–1","2–0","2–1","3–2","","1–0","3–3","1–2","0–2","2–0","1–2","1–1","1–1"
"Plymouth Argyle","2–0","0–0","0–0","1–1","1–0","3–2","2–2","2–0","0–1","2–1","1–1","0–1","1–1","2–0","3–1","1–0","","6–4","1–2","1–0","1–2","1–3","1–0","1–1"
"Preston North End","1–0","2–1","1–4","1–1","3–2","2–2","3–3","3–1","2–1","2–0","0–0","1–4","0–1","0–1","2–1","1–1","1–2","","0–2","0–3","3–2","1–0","2–5","2–4"
"Reading","3–1","0–2","0–3","0–0","1–0","3–2","5–1","3–1","0–0","1–4","0–2","4–2","1–1","1–1","2–2","0–1","1–1","3–0","","1–0","0–1","0–1","1–1","1–2"
"Rotherham United","3–1","1–0","1–2","1–1","2–1","3–3","3–2","0–1","2–0","2–3","1–0","1–1","2–1","0–0","0–0","1–0","0–2","3–0","3–0","","0–1","0–1","3–3","4–1"
"Swansea City","2–1","0–0","1–2","3–2","0–0","3–2","0–1","2–2","1–5","3–1","0–1","0–2","3–1","2–2","1–2","0–3","0–2","4–1","1–2","1–0","","1–2","2–2","1–3"
"Walsall","1–0","0–0","0–0","0–1","4–1","1–2","2–3","5–0","0–0","1–0","0–1","0–1","4–2","0–0","3–3","1–1","0–3","2–1","3–1","0–2","3–0","","0–0","3–0"
"Wigan Athletic","1–0","1–2","1–0","1–1","2–2","1–0","2–0","3–3","2–0","5–2","0–1","1–1","4–2","1–0","0–1","1–1","1–0","2–0","1–0","2–1","2–0","1–2","","1–2"
"York City","0–3","4–1","1–2","1–0","0–2","1–0","4–0","3–2","1–1","3–1","7–1","1–2","2–1","2–1","1–1","2–0","0–0","0–1","2–2","3–0","1–0","1–1","2–0",""
