"Home \ Away","ALD","BUR","CAM","CHE","COL","CRE","EXE","HAL","HAR","HER","LEY","MAN","NOR","PET","PTV","PNE","ROC","SCU","STD","STP","SWI","TOR","TRA","WRE"
"Aldershot","","0–2","2–1","1–1","1–1","3–2","4–0","1–2","0–1","2–0","1–1","1–2","1–0","1–0","0–0","4–0","2–1","2–1","1–3","6–1","2–4","1–1","3–1","6–0"
"Burnley","1–2","","1–1","1–0","0–2","0–1","3–1","1–3","2–0","3–2","1–0","2–1","3–2","1–1","1–2","1–1","1–0","1–2","1–3","0–1","0–2","3–0","3–1","5–2"
"Cambridge United","0–2","0–4","","3–2","1–3","1–0","1–1","4–0","4–2","4–0","1–2","4–2","2–5","3–1","1–3","2–0","1–0","0–1","1–2","1–2","1–1","3–0","3–2","4–3"
"Chester City","1–0","4–0","1–1","","4–0","4–0","2–1","1–1","1–1","1–0","3–0","1–0","2–3","2–1","4–1","2–0","1–1","1–1","2–0","1–0","0–1","3–1","1–0","2–1"
"Colchester United","4–0","2–2","4–1","2–3","","1–2","1–1","3–1","3–1","4–1","4–0","0–0","2–0","5–0","1–0","4–0","0–1","1–1","2–0","3–1","1–1","0–0","1–2","5–2"
"Crewe Alexandra","2–0","3–1","0–1","2–2","0–2","","0–1","2–2","0–0","2–0","1–3","2–1","0–1","1–1","0–1","3–3","4–2","4–0","1–1","0–1","2–0","1–0","2–1","3–2"
"Exeter City","2–0","0–2","0–0","1–3","2–2","1–2","","1–0","1–2","3–2","1–1","1–0","1–2","0–1","1–0","3–0","2–0","2–0","0–2","1–0","0–3","2–2","1–0","0–1"
"Halifax Town","1–1","2–2","1–1","1–2","2–2","1–0","1–0","","3–2","1–0","2–1","1–2","2–0","1–1","2–0","2–1","1–1","2–1","2–3","0–0","1–3","0–0","1–2","5–2"
"Hartlepool United","2–1","3–1","2–1","1–1","4–1","4–1","0–0","3–0","","2–1","1–2","1–1","2–1","2–1","1–1","1–0","2–0","0–1","1–1","3–2","1–0","1–0","1–0","3–3"
"Hereford United","4–1","2–2","1–0","0–2","2–0","4–1","4–1","2–1","2–2","","3–2","4–2","3–0","2–1","1–1","1–1","2–2","1–1","2–1","3–2","4–1","4–1","1–4","3–1"
"Orient","1–1","3–0","3–1","0–0","1–2","0–1","2–2","1–0","1–1","2–2","","0–1","0–1","2–2","1–0","2–0","5–0","3–0","3–0","0–1","1–0","4–2","3–1","1–3"
"Mansfield Town","2–0","0–0","2–0","0–0","2–1","2–2","2–1","2–0","4–0","4–0","1–1","","1–0","0–1","2–1","2–3","3–2","1–1","3–0","4–2","1–1","4–0","0–1","1–1"
"Northampton Town","2–3","2–0","0–2","2–2","1–0","0–1","2–2","4–0","3–0","1–3","2–3","1–0","","2–2","2–2","6–0","1–0","2–2","0–0","3–1","0–1","5–1","2–2","1–2"
"Peterborough United","3–0","0–0","0–0","3–0","1–2","0–0","1–1","1–1","3–1","0–0","2–2","4–2","0–5","","1–0","1–1","1–1","1–0","1–1","2–0","3–0","2–0","0–1","1–1"
"Port Vale","3–1","1–1","4–1","1–1","1–1","3–0","0–0","3–2","4–0","1–0","2–0","0–0","0–0","2–0","","0–1","1–1","3–1","4–0","1–1","3–0","0–0","0–0","4–0"
"Preston North End","1–3","1–0","1–2","3–6","3–2","1–2","2–2","0–1","2–1","2–0","1–3","0–2","1–1","2–4","0–1","","1–1","0–1","3–2","1–2","0–3","4–0","2–2","1–0"
"Rochdale","2–0","1–0","2–1","1–2","3–3","1–0","1–1","1–0","0–2","1–1","1–4","1–1","3–2","2–1","3–3","1–1","","1–0","2–1","4–1","1–2","5–0","1–1","3–2"
"Scunthorpe United","1–0","1–1","0–0","2–0","1–1","3–1","1–0","3–3","1–0","2–1","2–2","0–3","1–0","2–0","0–0","1–3","3–1","","2–0","2–3","0–2","4–0","0–1","1–1"
"Southend United","2–0","2–3","1–0","1–1","2–4","0–1","2–0","2–1","3–2","3–1","5–1","3–1","0–4","0–1","2–1","2–1","5–0","2–1","","0–0","0–0","1–2","2–2","3–0"
"Stockport County","3–2","1–1","3–1","2–2","1–1","3–0","1–1","2–1","1–3","1–1","2–3","0–2","1–0","2–2","1–2","2–1","3–0","0–0","2–1","","0–2","1–1","1–1","2–0"
"Swindon Town","4–1","3–1","1–0","4–2","2–1","1–0","2–1","3–1","3–2","1–0","4–1","2–1","3–2","3–0","0–0","4–1","4–0","1–1","2–1","1–0","","2–1","2–1","0–1"
"Torquay United","1–2","2–0","1–1","0–3","2–1","0–0","1–2","2–0","1–3","2–1","2–2","1–2","1–1","2–0","0–1","1–0","1–2","1–0","2–2","4–3","0–1","","1–2","1–3"
"Tranmere Rovers","3–0","2–1","6–2","2–3","3–4","0–1","0–1","0–3","4–2","1–2","0–3","1–2","1–3","7–0","1–2","2–3","2–0","2–1","1–1","2–3","3–1","2–0","","1–3"
"Wrexham","4–1","0–1","6–2","1–1","2–1","2–1","1–1","2–1","1–0","0–1","1–3","1–2","1–0","0–1","1–3","1–1","2–0","1–0","0–0","3–0","0–1","3–2","1–1",""
