"Home \ Away","BAR","BLB","BRA","B&HA","CRL","CHA","CRY","FUL","GRI","HUD","HUL","LEE","MID","MIL","NWC","OLD","POR","SHU","SHR","STK","SUN","WDN"
"Barnsley","","1–1","2–2","3–2","1–2","2–1","2–4","2–0","1–0","1–3","1–4","3–0","0–0","2–1","2–2","1–0","0–1","2–1","2–0","0–0","1–1","0–1"
"Blackburn Rovers","0–3","","3–0","1–4","2–0","0–0","1–2","1–0","3–1","0–1","2–2","2–0","0–1","1–2","2–1","0–0","1–0","6–1","1–1","0–1","2–0","2–0"
"Bradford City","2–0","3–2","","3–2","1–0","1–2","1–0","3–1","0–1","3–0","4–2","0–1","2–1","0–2","0–2","1–0","2–1","1–4","3–1","3–1","2–0","1–1"
"Brighton & Hove Albion","0–1","3–1","2–1","","6–1","3–5","2–0","2–3","2–2","4–3","3–1","0–1","3–3","1–0","1–1","1–1","2–3","0–0","0–2","2–0","3–1","2–0"
"Carlisle United","1–1","2–1","1–2","2–0","","2–3","2–2","2–1","1–2","2–0","2–1","1–2","1–0","1–0","0–4","3–1","0–1","1–0","0–2","3–0","1–2","2–3"
"Charlton Athletic","2–1","3–0","1–1","2–2","3–0","","3–1","2–0","2–0","3–0","1–2","4–0","2–0","3–3","1–0","1–1","1–2","2–0","4–1","2–0","2–1","0–0"
"Crystal Palace","1–0","2–0","2–1","1–0","1–1","2–1","","0–0","2–1","2–3","0–2","3–0","2–1","2–1","1–2","3–2","2–1","1–1","0–1","0–1","1–0","1–3"
"Fulham","2–0","3–3","4–1","1–0","0–1","0–3","2–3","","2–1","2–1","1–1","3–1","0–3","1–2","0–1","2–2","0–1","2–3","2–1","1–0","1–2","0–2"
"Grimsby Town","1–2","5–2","2–0","0–2","1–0","2–2","3–0","1–0","","1–1","0–1","1–0","3–2","5–1","1–0","1–4","1–0","0–1","3–1","3–3","1–1","0–1"
"Huddersfield Town","1–1","0–0","2–0","1–0","3–3","0–2","0–0","1–3","2–2","","2–1","3–1","0–3","4–3","0–0","2–0","1–2","3–1","1–0","2–0","2–0","0–1"
"Hull City","0–1","2–2","1–0","2–0","4–0","1–1","1–2","5–0","2–0","3–1","","2–1","0–0","3–0","1–0","4–2","2–2","0–0","4–3","0–2","1–1","1–1"
"Leeds United","0–2","1–1","2–1","2–3","2–0","1–2","1–3","1–0","1–1","2–0","1–1","","1–0","3–1","0–2","3–1","2–1","1–1","1–1","4–0","1–1","0–0"
"Middlesbrough","0–0","0–0","1–1","0–1","1–3","1–3","0–2","1–0","3–1","0–1","1–2","2–2","","3–0","1–1","3–2","1–0","1–2","3–1","1–1","2–0","1–0"
"Millwall","2–2","0–1","2–1","0–1","3–1","2–2","3–2","1–1","1–0","2–1","5–0","3–1","3–0","","4–2","0–1","0–4","3–0","2–0","2–3","1–0","0–1"
"Norwich City","1–1","3–0","0–0","3–0","2–1","3–1","4–3","2–1","3–2","4–1","2–0","4–0","2–0","6–1","","1–0","2–0","4–0","3–1","1–1","0–0","1–2"
"Oldham Athletic","1–1","3–1","0–1","4–0","2–1","2–1","2–0","2–1","2–1","1–1","3–1","3–1","1–0","0–0","1–3","","2–0","1–5","4–3","2–4","2–2","2–1"
"Portsmouth","1–1","3–0","4–0","1–2","4–0","1–0","1–0","1–1","3–1","4–1","1–1","2–3","1–0","2–1","2–0","1–2","","0–3","4–0","3–0","3–0","1–1"
"Sheffield United","3–1","3–3","3–1","3–0","1–0","1–1","0–0","2–1","1–1","1–1","3–1","3–2","0–1","1–3","2–5","2–0","0–0","","1–1","1–2","1–0","4–0"
"Shrewsbury Town","3–0","2–0","2–0","2–1","0–0","2–1","0–2","2–1","0–2","3–0","0–0","1–3","2–1","1–1","0–3","2–0","1–1","3–1","","1–0","1–2","1–1"
"Stoke City","0–0","2–2","3–1","1–1","0–0","0–0","0–0","1–0","1–1","3–0","0–1","6–2","3–2","0–0","1–1","2–0","2–0","1–3","2–2","","1–0","0–0"
"Sunderland","2–0","0–2","1–1","2–1","2–2","1–2","1–1","4–2","3–3","1–0","1–1","4–2","1–0","1–2","0–2","0–3","1–3","2–1","2–0","2–0","","2–1"
"Wimbledon","1–0","1–1","1–0","0–0","4–1","3–1","1–1","1–0","3–0","2–2","3–1","0–3","3–0","1–1","2–1","0–0","1–3","5–0","2–1","1–0","3–0",""
