"Home \ Away","BOU","BLP","BOL","BRE","BRC","BRR","BRY","CAR","CHF","DAR","DER","DON","GIL","LIN","NPC","NTC","PLY","REA","ROT","SWA","WAL","WIG","WOL","YOR"
"AFC Bournemouth","","1–4","2–1","0–0","5–0","6–1","2–1","1–1","3–2","4–2","1–1","1–1","2–3","2–2","0–1","0–0","1–3","0–1","1–2","4–0","0–1","0–2","3–2","2–0"
"Blackpool","2–0","","1–1","4–0","2–1","4–2","5–0","3–0","0–1","0–0","0–1","4–0","2–2","2–0","0–0","1–3","1–1","0–0","2–1","2–0","2–1","1–2","0–1","0–2"
"Bolton Wanderers","1–0","1–3","","1–2","0–4","0–2","1–4","5–0","2–1","0–3","0–1","2–0","0–1","1–1","4–0","1–0","3–1","2–0","1–1","1–1","3–1","1–2","4–1","1–1"
"Brentford","1–0","1–1","1–1","","1–2","1–0","1–0","3–0","1–0","2–1","3–3","1–3","1–2","0–1","0–0","1–1","1–1","1–2","1–1","1–0","1–3","1–3","2–1","3–3"
"Bristol City","1–3","2–1","2–0","0–0","","2–0","4–1","2–1","0–0","1–0","1–1","4–1","1–2","1–1","3–1","3–0","2–0","3–0","3–1","0–1","2–3","1–0","3–0","2–2"
"Bristol Rovers","2–3","1–0","2–1","0–1","1–1","","2–1","2–1","1–1","3–1","0–0","1–0","1–0","0–0","2–0","1–1","1–2","0–2","5–2","0–0","0–1","1–1","1–1","0–1"
"Bury","3–0","4–1","2–1","0–0","6–3","1–1","","3–0","1–1","0–1","1–1","1–2","1–2","4–0","1–1","2–4","0–1","3–1","2–0","2–2","2–1","0–0","3–1","4–2"
"Cardiff City","0–1","1–0","0–1","1–0","1–3","2–0","0–0","","0–2","0–1","0–2","0–1","1–1","2–1","1–1","1–3","1–2","1–3","2–3","1–0","1–1","3–1","1–1","2–1"
"Chesterfield","0–1","1–2","3–0","1–3","0–0","2–0","4–3","3–4","","1–0","1–0","0–0","1–1","2–2","3–1","2–2","1–2","3–4","2–0","4–1","2–3","1–1","3–0","1–0"
"Darlington","0–0","2–1","1–1","3–5","2–1","3–3","1–1","4–1","2–1","","2–1","0–2","3–2","1–0","3–2","2–3","0–2","0–0","2–2","6–0","0–3","1–1","2–1","1–0"
"Derby County","3–0","1–2","2–1","1–1","2–0","0–2","1–1","2–1","0–0","1–1","","1–1","2–0","7–0","1–1","2–0","1–2","1–1","2–1","5–1","3–1","1–0","4–2","2–1"
"Doncaster Rovers","1–1","0–0","1–1","1–0","1–1","0–2","1–0","0–2","2–0","1–0","0–3","","2–3","1–1","1–1","2–1","1–0","0–1","0–0","0–0","1–0","2–2","0–1","1–1"
"Gillingham","2–0","2–2","2–1","1–2","1–1","2–0","1–0","2–0","1–1","1–1","1–2","4–0","","2–0","0–1","4–0","1–1","3–0","3–0","5–1","5–2","2–0","2–0","1–2"
"Lincoln City","3–2","0–3","1–1","3–0","1–1","2–2","2–0","0–4","2–1","1–1","0–1","3–3","1–0","","1–1","0–2","1–1","0–1","0–0","4–1","3–2","0–0","2–3","3–4"
"Newport County","2–1","1–1","0–1","1–2","1–1","3–0","1–0","1–2","3–3","3–0","1–1","2–2","1–1","1–2","","1–2","3–1","0–2","0–0","2–0","1–5","3–4","3–1","1–1"
"Notts County","3–1","1–2","1–0","0–4","4–0","0–0","2–2","1–4","2–1","5–0","0–3","1–1","1–1","3–2","1–2","","2–0","0–0","1–0","3–0","3–1","1–1","4–0","3–1"
"Plymouth Argyle","2–1","3–1","4–1","2–0","4–0","4–2","3–0","4–4","0–0","4–2","4–1","0–1","3–0","2–1","2–0","0–1","","0–1","4–0","2–0","2–0","2–1","3–1","2–2"
"Reading","1–2","1–0","1–0","3–1","1–0","3–2","2–0","1–1","4–2","0–2","1–0","2–0","1–2","0–2","2–0","3–1","4–3","","2–1","2–0","2–1","1–0","2–2","0–0"
"Rotherham United","4–1","4–1","4–0","1–2","2–0","2–0","2–0","3–0","1–2","1–2","1–1","2–1","1–1","1–0","0–0","1–0","1–1","1–2","","4–1","3–0","0–0","1–2","4–1"
"Swansea City","1–1","2–0","3–1","2–0","1–3","0–1","1–0","3–1","1–1","2–2","0–3","0–2","2–2","3–1","1–1","0–0","0–2","2–3","1–0","","2–1","0–1","0–2","1–0"
"Walsall","4–2","1–1","2–0","1–2","2–1","6–0","3–2","6–3","3–0","0–0","1–1","1–0","4–1","2–1","2–0","0–0","2–2","6–0","3–1","3–1","","3–3","1–1","3–1"
"Wigan Athletic","3–0","1–1","1–3","4–0","1–1","4–0","1–0","2–0","2–0","5–1","2–1","4–1","3–3","3–2","0–0","3–1","3–0","1–0","2–0","5–0","2–0","","5–3","1–0"
"Wolverhampton Wanderers","0–3","2–1","0–2","1–4","2–1","3–4","1–1","3–1","1–0","2–1","0–4","1–2","1–3","1–1","1–2","2–2","0–3","2–3","0–0","1–5","0–0","2–2","","3–2"
"York City","2–1","3–0","3–0","1–0","1–1","4–0","0–0","1–1","2–0","7–0","1–3","0–1","2–0","2–1","3–1","2–2","3–1","0–1","2–1","3–1","1–0","4–1","2–1",""
