"Home \ Away","ALD","BUR","CAM","CAR","COL","CRE","EXE","HAL","HAR","HER","LEY","LIN","NOR","PET","PNE","ROC","SCU","STD","STP","SWA","TOR","TRA","WOL","WRE"
"Aldershot","","2–0","4–1","1–2","1–0","1–0","2–1","4–1","1–1","1–0","1–2","4–0","3–3","1–1","0–0","2–1","2–1","0–1","3–0","4–1","1–1","0–2","1–2","1–0"
"Burnley","0–1","","0–2","1–3","2–1","4–0","0–0","3–0","1–1","0–6","2–1","3–1","2–1","0–0","1–4","0–3","1–0","2–1","2–0","1–1","2–2","2–2","2–5","0–0"
"Cambridge United","0–3","3–1","","2–1","0–1","0–3","2–2","1–0","3–0","2–1","2–0","1–1","2–3","1–1","2–0","3–0","1–0","1–2","5–0","1–0","3–3","1–1","0–0","1–0"
"Cardiff City","2–0","1–0","3–0","","0–2","1–1","0–0","0–0","4–1","4–0","1–1","1–1","1–1","0–1","1–1","0–0","1–1","0–2","1–1","0–0","3–1","0–2","0–2","0–0"
"Colchester United","0–1","1–0","1–2","3–1","","2–1","1–1","3–1","2–1","2–0","0–0","2–0","3–1","1–3","0–2","2–0","1–0","1–2","5–1","2–1","3–0","1–1","3–0","2–1"
"Crewe Alexandra","1–3","1–0","0–0","1–2","1–1","","2–2","2–2","1–0","1–2","3–2","1–2","0–5","1–3","2–2","5–1","2–2","2–1","5–0","1–1","1–0","3–2","1–1","1–1"
"Exeter City","4–0","3–0","1–1","0–0","2–0","1–0","","2–2","2–0","1–0","1–0","2–0","1–1","1–1","1–2","1–1","0–0","0–0","4–0","2–2","2–2","1–0","1–3","4–2"
"Halifax Town","1–0","2–2","1–0","1–1","0–0","0–3","2–0","","1–0","2–1","4–0","1–2","3–6","1–0","1–3","3–1","1–1","0–1","0–2","1–0","2–4","0–0","3–4","2–1"
"Hartlepool United","1–1","2–2","2–2","1–1","0–0","0–5","1–0","0–0","","0–0","1–3","2–1","3–3","1–2","2–2","1–1","0–2","1–0","1–0","1–1","2–1","1–1","0–1","0–1"
"Hereford United","1–0","2–0","2–3","0–2","2–3","2–0","1–1","1–0","4–0","","1–1","0–0","3–2","2–0","2–3","0–1","2–2","0–1","1–2","2–0","2–2","1–0","2–0","0–0"
"Leyton Orient","1–3","2–0","3–0","2–0","1–0","1–1","2–0","1–3","2–0","2–0","","2–1","0–1","1–0","1–2","3–0","3–1","1–0","1–0","1–4","3–2","2–2","3–1","2–4"
"Lincoln City","0–2","2–1","0–3","0–1","3–1","2–1","1–1","0–0","1–4","0–0","2–0","","3–1","1–2","1–1","1–1","1–2","1–3","0–0","4–0","1–1","3–1","3–0","0–1"
"Northampton Town","4–2","4–2","3–0","4–1","3–2","2–1","4–0","1–0","1–1","3–2","2–0","3–1","","2–1","3–1","5–0","1–0","2–1","2–1","0–1","1–0","2–0","2–1","2–2"
"Peterborough United","1–1","1–1","2–1","1–2","2–0","1–2","2–2","2–0","3–1","2–1","0–1","0–1","0–1","","2–1","1–1","1–1","2–0","0–0","1–1","2–1","2–1","0–1","1–0"
"Preston North End","1–2","2–1","1–0","0–1","1–0","2–1","2–1","3–2","0–0","2–1","1–0","3–0","1–0","0–0","","2–4","2–1","2–0","3–0","2–1","1–1","2–0","2–2","1–0"
"Rochdale","3–1","0–2","2–0","0–0","1–0","1–1","0–0","5–3","0–2","2–0","0–0","1–1","1–2","3–2","0–2","","1–1","1–2","2–1","2–0","3–3","0–1","0–3","3–3"
"Scunthorpe United","2–0","2–1","1–1","1–3","5–2","2–1","3–1","2–1","1–2","3–1","0–2","2–1","2–2","2–0","4–0","2–0","","3–0","1–2","3–2","2–0","6–0","0–2","3–3"
"Southend United","2–0","2–1","3–1","2–0","1–1","3–1","2–1","2–3","1–1","2–0","2–1","1–0","0–4","2–2","1–2","5–3","3–1","","0–0","1–2","4–0","3–0","1–0","0–3"
"Stockport County","0–0","0–1","3–2","2–0","1–1","2–1","0–0","2–0","0–2","1–2","2–2","1–0","0–3","3–1","1–3","1–1","1–0","0–2","","3–1","0–0","0–2","0–2","2–1"
"Swansea City","2–1","2–2","2–0","2–0","1–2","1–1","1–0","0–2","1–0","1–3","4–1","2–0","2–1","0–1","1–1","1–0","1–2","1–0","3–0","","0–1","2–0","1–0","0–3"
"Torquay United","2–2","1–1","1–0","1–0","3–1","2–2","1–1","1–0","0–1","1–1","2–2","0–1","0–1","1–0","0–2","2–1","2–2","2–1","0–0","3–5","","0–2","1–2","2–1"
"Tranmere Rovers","1–1","2–1","1–1","2–1","3–4","3–2","1–0","3–4","1–1","3–3","1–3","2–0","1–1","1–1","1–1","1–1","1–0","1–3","0–3","1–1","2–2","","0–1","0–2"
"Wolverhampton Wanderers","3–0","0–1","1–2","0–1","2–0","2–3","2–2","1–2","4–1","1–0","3–1","3–0","1–1","0–3","1–0","0–0","1–0","1–2","3–1","4–0","1–0","2–1","","0–3"
"Wrexham","3–0","2–2","2–1","5–1","0–1","2–1","0–0","3–1","1–1","2–2","1–1","1–1","1–3","4–3","1–1","2–2","1–1","4–0","0–0","0–0","2–1","1–1","0–0",""
