"Home \ Away","BAR","BIR","BLB","BRA","B&HA","CRY","DER","GRI","HUD","HUL","IPS","LEE","MIL","OLD","PLY","POR","REA","SHU","SHR","STK","SUN","WBA"
"Barnsley","","2–2","1–1","2–0","3–1","2–3","0–1","1–0","0–1","1–1","2–1","0–1","1–0","1–1","1–1","0–2","2–0","2–2","2–1","0–2","1–0","2–2"
"Birmingham City","1–1","","1–1","2–1","2–0","4–1","1–1","1–0","1–1","0–0","2–2","2–1","1–1","1–3","3–2","0–1","1–1","2–1","0–2","0–0","2–0","0–1"
"Blackburn Rovers","4–2","1–0","","2–1","1–1","0–2","3–1","2–2","1–2","0–2","0–0","2–1","1–0","1–0","1–2","1–0","0–0","0–2","2–1","2–1","6–1","0–1"
"Bradford City","0–0","0–0","2–0","","2–0","1–2","0–1","4–2","4–3","2–0","3–4","2–0","4–0","0–3","2–2","1–0","3–0","1–1","0–0","1–4","3–2","1–3"
"Brighton & Hove Albion","1–1","2–0","0–2","2–2","","2–0","0–1","0–1","1–1","2–1","1–2","0–1","0–1","1–2","1–1","0–0","1–1","2–0","3–0","1–0","0–3","2–0"
"Crystal Palace","0–1","6–0","2–0","1–1","2–0","","1–0","0–3","1–0","5–1","3–3","1–0","2–1","2–1","0–0","1–0","1–3","1–2","2–3","1–0","2–0","1–1"
"Derby County","3–2","2–2","3–2","1–0","4–1","1–0","","4–0","2–0","1–1","2–1","2–1","1–1","0–1","4–2","0–0","3–0","2–0","3–1","0–0","3–2","1–1"
"Grimsby Town","0–1","0–1","1–0","0–0","1–2","0–1","0–1","","0–1","2–2","1–1","0–0","1–0","2–2","1–1","0–2","3–2","1–0","0–1","1–1","1–1","3–1"
"Huddersfield Town","2–2","2–2","1–2","5–2","2–1","1–2","2–0","0–0","","1–3","1–2","1–1","3–0","5–4","1–2","2–0","2–0","1–1","2–1","2–2","0–2","2–1"
"Hull City","3–4","3–2","0–0","2–1","1–0","3–0","1–1","1–1","0–0","","2–1","0–0","2–1","1–0","0–3","0–2","0–2","0–0","3–0","0–4","1–0","2–0"
"Ipswich Town","1–0","3–0","3–1","1–0","1–0","3–0","0–2","1–1","3–0","0–0","","2–0","0–0","0–1","3–0","0–1","1–1","2–2","1–0","2–0","1–1","1–0"
"Leeds United","2–2","4–0","0–0","1–0","3–1","3–0","2–0","2–0","1–1","3–0","3–2","","2–0","0–2","4–0","3–1","3–2","0–1","1–0","2–1","1–1","3–2"
"Millwall","1–0","0–2","2–2","1–2","3–1","0–1","0–1","1–0","4–0","0–1","1–0","1–0","","0–0","3–1","1–1","2–1","1–0","4–0","1–1","1–1","0–1"
"Oldham Athletic","2–0","2–2","3–0","2–1","1–1","1–0","1–4","1–1","2–0","0–0","2–1","0–1","2–1","","2–1","0–0","4–0","3–1","3–0","2–0","1–1","2–1"
"Plymouth Argyle","2–0","0–0","1–1","3–2","2–2","3–1","1–1","5–0","1–1","4–0","2–0","1–1","1–0","3–2","","2–3","1–0","1–0","3–2","1–3","2–4","1–0"
"Portsmouth","2–1","2–0","1–0","2–1","1–0","2–0","3–1","2–1","1–0","1–0","1–1","1–1","2–0","3–0","0–1","","1–0","1–2","3–0","3–0","3–1","2–1"
"Reading","0–0","2–2","4–0","0–1","2–1","1–0","2–0","2–3","3–2","1–0","1–4","2–1","0–1","2–3","2–0","2–2","","2–0","3–1","0–1","1–0","1–1"
"Sheffield United","1–0","1–1","4–1","2–2","0–1","1–0","0–1","1–2","0–0","4–2","0–0","0–0","2–1","2–0","2–1","1–0","3–3","","1–1","3–1","2–1","1–1"
"Shrewsbury Town","1–0","1–0","0–1","0–1","1–0","0–0","0–1","4–1","1–2","3–0","2–1","0–2","1–2","2–0","1–1","1–0","0–0","1–0","","4–1","0–1","1–0"
"Stoke City","1–2","0–2","1–0","2–3","1–1","3–1","0–2","5–1","2–0","1–1","0–0","7–2","2–0","0–2","1–0","1–1","3–0","5–2","1–0","","3–0","1–1"
"Sunderland","2–3","2–0","3–0","2–3","1–1","1–0","1–2","0–1","2–1","1–0","1–0","1–1","1–1","0–2","2–1","0–0","1–1","1–2","1–1","2–0","","0–3"
"West Bromwich Albion","0–1","3–2","0–1","2–2","0–0","1–2","2–0","1–1","1–0","1–1","3–4","3–0","0–1","2–0","0–0","1–0","1–2","1–0","1–2","4–1","2–2",""
