"Home \ Away","BLP","BOL","BOU","BRE","BRC","BRR","BRY","CRL","CHE","CHF","DAR","DON","FUL","GIL","MAN","MID","NPC","NTC","PTV","ROT","SWI","WAL","WIG","YOR"
"Blackpool","","1–1","1–3","2–0","1–0","6–1","1–1","1–2","1–0","0–0","2–1","1–1","1–0","0–1","1–2","0–1","1–1","3–1","2–0","1–0","1–1","1–1","5–1","2–1"
"Bolton Wanderers","1–0","","0–1","0–2","0–0","2–2","2–3","2–0","1–1","1–2","4–3","0–1","3–2","3–0","0–1","0–1","0–1","1–1","3–0","0–0","1–2","1–0","1–2","3–1"
"Bournemouth","1–1","2–1","","1–1","2–0","2–0","1–0","2–1","2–0","2–0","1–0","3–2","3–2","0–2","4–1","3–1","2–1","3–0","0–0","2–0","1–0","1–0","3–1","3–0"
"Brentford","1–1","1–2","1–1","","1–1","1–2","0–2","3–1","3–1","2–2","5–3","1–1","3–3","3–2","3–1","0–1","2–0","1–0","0–2","2–0","1–1","0–1","2–3","3–1"
"Bristol City","3–1","4–1","2–0","0–2","","0–1","2–2","3–0","1–0","1–0","1–1","5–0","0–0","2–0","0–0","2–2","4–0","3–1","1–0","0–1","1–1","2–1","2–1","3–0"
"Bristol Rovers","2–2","1–0","0–3","0–1","0–0","","1–1","4–0","3–2","3–2","2–1","2–3","0–0","0–1","0–0","1–2","2–2","0–0","0–0","0–2","3–4","0–3","1–0","1–0"
"Bury","4–1","0–0","0–1","1–1","1–2","1–0","","0–0","1–1","1–1","2–0","2–0","2–1","1–0","1–1","0–3","4–3","0–2","2–2","0–2","1–2","4–0","1–3","1–0"
"Carlisle United","3–1","0–0","0–0","0–0","1–2","2–0","2–1","","0–2","3–0","1–0","1–0","1–3","2–4","1–2","0–1","2–2","0–2","2–0","3–5","0–3","0–3","0–2","2–2"
"Chester City","1–4","0–0","2–2","1–1","0–3","3–1","0–1","2–2","","1–1","6–0","1–0","2–2","1–1","1–1","1–2","2–0","1–2","1–2","1–0","2–0","0–0","1–2","2–1"
"Chesterfield","1–1","0–0","1–1","1–2","0–3","1–1","1–1","3–2","0–1","","1–0","4–1","3–1","1–0","0–1","2–1","3–2","1–2","2–4","2–1","1–3","3–2","4–3","1–0"
"Darlington","1–1","0–1","0–3","1–1","0–0","1–1","4–1","0–1","1–0","1–1","","2–2","0–1","1–1","2–1","0–1","1–3","2–1","3–2","1–1","0–0","1–3","1–0","2–2"
"Doncaster Rovers","2–2","3–0","0–3","2–0","1–0","2–0","0–0","2–0","1–1","1–1","0–0","","2–1","2–0","1–0","0–2","0–1","1–2","2–1","3–0","2–2","1–1","1–1","3–1"
"Fulham","0–1","4–2","1–3","1–3","0–3","2–2","2–1","3–0","0–5","3–1","3–1","0–0","","2–2","1–1","2–2","2–0","3–1","0–6","1–1","0–2","2–2","2–2","1–0"
"Gillingham","2–1","1–0","2–1","2–0","1–1","4–1","1–0","1–0","1–2","3–0","4–1","2–1","4–1","","2–0","0–0","1–1","3–1","0–0","1–0","1–0","4–0","0–0","2–0"
"Mansfield Town","1–1","2–2","1–1","1–0","2–0","5–0","1–3","2–0","2–3","1–1","1–0","2–1","1–1","1–0","","1–1","1–0","1–2","0–1","0–0","0–0","2–0","1–5","1–1"
"Middlesbrough","1–3","0–0","4–0","2–0","1–0","1–0","3–1","1–0","1–2","2–0","1–1","1–0","3–0","3–0","1–0","","2–0","2–0","2–2","0–0","1–0","3–1","0–0","3–1"
"Newport County","1–1","2–1","0–1","2–2","0–1","0–1","2–2","1–1","2–2","1–0","3–0","3–2","0–0","1–2","0–3","0–1","","1–1","0–2","1–2","2–2","2–4","1–2","1–1"
"Notts County","3–2","0–0","1–1","1–1","2–0","3–0","1–2","2–1","1–1","2–1","2–2","3–1","2–3","3–1","0–0","1–0","5–2","","4–1","5–0","2–3","2–1","2–0","5–1"
"Port Vale","1–6","1–1","1–2","4–1","0–0","4–1","2–0","0–1","2–1","2–2","1–2","4–2","0–1","1–2","3–2","0–0","6–1","1–1","","1–1","3–4","4–1","0–1","2–3"
"Rotherham United","1–0","1–0","4–2","2–3","2–0","0–1","2–1","2–1","3–0","0–1","0–0","2–0","0–0","0–1","2–2","1–4","3–1","1–1","1–1","","1–2","1–0","0–2","0–0"
"Swindon Town","2–6","2–0","1–1","2–0","1–2","1–2","1–0","2–0","1–1","2–1","1–0","1–1","2–0","1–1","3–0","1–0","3–0","1–2","1–0","2–0","","0–0","3–1","3–1"
"Walsall","2–1","3–3","2–0","5–2","1–1","0–3","3–1","3–0","2–1","2–0","4–2","1–3","1–1","1–0","2–0","1–0","2–0","1–1","5–2","4–1","1–0","","2–3","3–2"
"Wigan Athletic","4–1","2–1","0–2","1–1","3–1","4–3","1–0","2–0","2–2","1–1","1–1","1–1","2–0","3–1","3–0","0–2","1–2","1–0","2–1","2–1","3–2","5–1","","3–2"
"York City","1–1","2–1","2–0","2–1","1–1","1–0","1–0","2–0","1–1","1–1","3–1","1–1","1–1","2–1","1–3","3–1","3–0","1–1","1–4","2–1","0–3","1–5","1–1",""
