"Home \ Away","BOL","BUR","CAM","CAR","CRL","COL","CRE","DAR","EXE","HAL","HAR","HER","LEY","NPC","PET","ROC","SCA","SCU","STP","SWA","TOR","TRA","WOL","WRE"
"Bolton Wanderers","","2–1","2–2","1–0","5–0","4–0","1–1","1–1","1–0","2–0","1–2","1–0","1–0","6–0","2–0","0–0","3–1","0–0","2–1","1–1","1–2","2–0","1–0","2–0"
"Burnley","2–1","","0–2","1–2","4–3","0–3","0–0","2–1","3–0","3–1","1–0","0–0","2–0","2–0","1–2","4–0","0–1","1–1","1–1","1–0","1–0","1–1","0–3","1–0"
"Cambridge United","2–2","2–0","","0–0","1–2","0–1","4–1","1–0","2–1","2–1","1–1","0–1","2–0","4–0","1–3","1–2","1–0","3–3","2–0","0–3","1–0","1–1","1–1","0–1"
"Cardiff City","1–0","2–1","4–0","","4–2","1–0","2–0","3–1","3–2","0–0","1–1","0–1","1–1","4–0","0–0","1–0","2–0","0–1","0–0","1–0","2–1","3–0","3–2","1–1"
"Carlisle United","0–2","3–4","2–1","0–0","","4–0","0–1","3–3","0–0","1–1","1–3","3–1","1–2","3–1","0–2","2–0","4–0","3–1","2–0","0–1","3–3","3–2","0–1","0–4"
"Colchester United","3–0","0–1","0–0","2–1","1–0","","1–4","2–1","0–2","2–1","0–0","1–0","0–0","0–0","4–1","1–0","1–3","0–3","2–0","2–1","0–1","0–0","0–1","1–2"
"Crewe Alexandra","2–1","0–1","0–0","0–0","4–1","0–0","","3–1","0–0","0–0","1–1","0–0","3–3","2–1","0–1","0–1","1–0","2–2","3–1","2–2","0–1","0–0","0–2","2–0"
"Darlington","1–0","4–2","0–1","0–0","2–1","2–0","1–0","","4–1","4–1","1–1","3–1","2–2","0–2","2–1","2–1","2–1","1–4","1–2","2–0","1–1","0–0","2–2","2–1"
"Exeter City","1–1","1–2","3–0","0–2","1–1","0–2","3–1","4–1","","1–2","1–0","2–2","2–3","3–0","0–1","1–1","1–0","1–1","2–1","3–1","0–1","0–1","2–4","1–1"
"Halifax Town","0–0","2–1","1–1","0–1","1–1","1–2","1–2","2–2","2–0","","3–1","2–1","1–0","3–1","0–0","1–2","2–2","2–2","2–0","3–1","2–3","2–1","2–1","2–0"
"Hartlepool United","0–0","2–1","2–1","0–1","0–0","3–1","2–1","2–5","3–1","2–1","","1–2","2–2","0–0","0–1","1–1","1–0","1–0","1–3","0–2","0–0","1–2","0–0","1–0"
"Hereford United","0–3","2–1","1–0","1–2","2–0","1–0","1–1","1–0","1–1","2–1","4–2","","0–3","4–2","0–1","0–0","1–1","2–3","0–1","0–0","0–0","1–1","1–2","0–2"
"Leyton Orient","1–2","4–1","0–2","4–1","4–1","0–0","1–1","4–3","2–3","4–1","0–2","4–0","","4–1","2–0","8–0","3–1","1–1","1–1","3–0","0–2","3–1","0–2","2–1"
"Newport County","0–1","0–1","0–0","1–2","1–2","1–2","1–2","2–1","1–1","1–0","2–3","0–0","0–0","","0–4","0–1","0–4","1–1","1–2","1–2","3–1","0–3","1–3","2–0"
"Peterborough United","0–4","5–0","1–0","4–3","1–0","2–0","0–4","1–2","2–1","1–0","0–1","1–2","1–2","3–0","","1–1","0–0","1–1","0–0","0–1","0–2","2–1","1–1","1–0"
"Rochdale","2–2","2–1","2–1","2–2","1–2","1–4","2–2","1–3","0–0","0–0","0–2","3–1","1–3","3–0","1–1","","1–1","2–1","0–1","2–3","1–1","0–0","0–1","1–2"
"Scarborough","4–0","1–0","0–0","1–1","3–1","3–1","2–0","0–1","3–1","1–1","1–1","2–1","3–1","3–1","1–1","2–1","","0–0","1–1","2–0","1–2","2–0","2–2","0–2"
"Scunthorpe United","1–1","1–1","3–2","2–1","1–0","2–2","2–1","1–0","1–1","1–0","3–0","3–0","3–2","3–1","5–0","1–0","0–1","","0–0","1–2","2–3","3–0","0–1","3–1"
"Stockport County","1–2","2–0","0–2","0–1","3–0","1–1","1–1","1–1","2–1","1–0","1–0","0–2","1–2","5–1","0–1","1–1","1–1","1–1","","0–2","2–1","1–2","0–2","1–1"
"Swansea City","1–0","0–0","1–1","2–2","3–1","1–2","2–4","3–0","0–2","1–1","2–1","3–0","3–0","1–2","2–1","0–3","3–0","1–1","1–1","","1–1","1–2","1–2","2–1"
"Torquay United","2–1","1–3","0–1","2–0","1–0","0–0","1–0","0–0","1–1","1–2","1–1","1–0","1–1","6–1","0–0","5–0","0–1","1–2","3–0","0–1","","1–0","0–0","6–1"
"Tranmere Rovers","2–0","0–1","0–1","0–1","3–0","0–2","2–2","2–1","2–1","2–0","3–1","0–1","2–1","4–0","3–1","6–1","1–0","1–3","4–0","1–2","1–1","","3–0","1–0"
"Wolverhampton Wanderers","4–0","3–0","3–0","1–4","3–1","2–0","2–2","5–3","3–0","0–1","2–0","2–0","2–0","2–1","0–1","2–0","0–0","4–1","1–1","2–0","1–2","3–0","","0–2"
"Wrexham","0–1","1–3","3–0","3–0","4–0","0–1","2–1","0–1","3–0","2–2","2–1","0–0","2–2","4–1","3–1","2–3","1–0","2–1","2–1","1–2","2–3","3–0","4–2",""
