"Home \ Away","ALD","BLP","BRE","B&HA","BRC","BRR","BRY","CHE","CHF","DON","FUL","GIL","GRI","MAN","NOR","NTC","PTV","PNE","ROT","STD","SUN","WAL","WIG","YOR"
"Aldershot","","0–0","4–1","1–4","2–1","3–0","0–2","4–1","2–0","2–1","0–3","6–0","3–2","3–0","4–4","0–2","3–0","0–0","1–3","0–1","3–2","1–1","3–2","1–2"
"Blackpool","3–2","","0–1","1–3","4–2","2–1","5–1","0–1","1–0","4–2","2–1","3–3","3–0","2–0","3–1","1–1","1–2","3–0","3–0","1–1","0–2","1–2","0–0","2–1"
"Brentford","3–0","2–1","","1–1","0–2","1–1","0–3","1–1","2–0","1–1","3–1","2–2","0–2","2–2","0–1","1–0","1–0","2–0","1–1","1–0","0–1","0–0","2–1","1–2"
"Brighton & Hove Albion","1–1","1–3","2–1","","3–2","2–1","2–1","1–0","2–2","2–0","2–0","2–0","0–0","3–1","3–0","1–1","2–0","0–0","1–1","0–0","3–1","2–1","1–0","1–0"
"Bristol City","2–0","2–1","2–3","5–2","","3–3","3–2","2–2","2–1","1–0","4–0","3–3","1–1","1–2","2–2","2–1","1–0","3–1","2–0","3–2","0–1","0–0","4–1","3–2"
"Bristol Rovers","3–1","2–0","0–0","1–2","1–0","","0–0","2–2","2–0","4–0","3–1","2–0","4–2","2–1","0–2","1–1","1–0","1–2","3–1","0–0","4–0","3–0","2–3","2–1"
"Bury","1–0","3–1","2–2","2–1","1–1","4–1","","0–1","2–0","2–1","1–1","2–1","0–2","1–0","0–0","0–1","0–1","4–0","2–2","2–2","2–3","2–2","0–2","0–1"
"Chester City","4–1","1–1","1–1","2–2","1–0","0–3","4–4","","1–1","1–1","1–2","3–1","1–0","0–2","0–5","1–2","1–0","1–0","1–0","1–1","1–2","1–1","1–0","1–0"
"Chesterfield","1–0","1–1","2–1","0–0","1–4","0–1","1–0","0–0","","0–1","1–0","1–4","0–3","3–1","0–2","2–0","1–3","0–0","3–2","3–1","1–1","2–1","0–1","2–1"
"Doncaster Rovers","0–0","2–1","0–1","0–2","1–2","0–1","1–2","2–2","1–0","","2–2","4–2","1–0","0–2","0–2","0–1","1–1","3–2","2–2","0–1","0–2","0–4","3–4","2–0"
"Fulham","1–2","3–1","2–2","1–2","0–0","3–1","0–1","1–0","1–3","4–0","","0–2","5–0","0–0","0–0","0–0","1–2","0–1","3–1","3–1","0–2","2–0","3–2","3–1"
"Gillingham","2–1","0–0","0–1","1–1","1–1","3–0","3–3","0–1","10–0","3–1","2–2","","1–1","0–0","1–2","3–1","0–0","4–0","0–2","8–1","0–0","0–1","0–1","3–1"
"Grimsby Town","1–1","1–1","0–1","0–1","1–4","0–0","2–0","2–1","1–1","0–0","0–2","2–0","","2–3","2–2","0–0","3–1","0–1","2–1","1–3","0–1","0–2","0–2","5–1"
"Mansfield Town","1–0","0–0","2–1","1–1","2–0","1–0","0–0","1–2","0–1","2–0","0–2","2–2","1–0","","3–1","2–2","4–0","0–0","0–1","1–0","0–4","1–3","0–1","2–1"
"Northampton Town","1–1","3–3","2–1","1–1","3–0","2–1","0–0","2–0","4–0","1–0","3–2","2–1","2–1","2–0","","0–1","1–0","0–1","0–0","4–0","0–2","2–2","1–1","0–0"
"Notts County","2–1","2–3","3–0","1–2","0–1","1–1","3–0","1–0","2–0","2–0","5–1","0–1","0–0","1–1","3–1","","1–2","4–2","4–0","6–2","2–1","3–1","4–4","3–0"
"Port Vale","4–2","0–0","1–0","2–0","1–1","2–1","1–0","1–1","0–1","5–0","0–0","0–0","2–0","1–1","1–1","1–3","","3–2","0–0","4–1","0–1","2–1","2–1","2–1"
"Preston North End","0–2","2–1","1–2","3–0","2–0","3–1","1–0","1–1","0–1","1–2","2–1","1–1","1–3","1–0","0–0","1–2","3–2","","0–0","1–1","2–2","1–0","0–1","3–0"
"Rotherham United","1–0","0–1","2–0","1–0","4–1","1–1","0–1","5–2","1–1","1–0","0–2","1–2","0–0","2–1","2–2","1–1","1–0","2–2","","1–1","1–4","0–1","1–1","0–1"
"Southend United","0–1","4–0","2–3","2–1","2–0","4–2","1–0","2–2","3–0","4–1","0–2","0–0","1–3","2–1","1–1","1–2","3–3","1–2","1–1","","1–4","1–1","3–2","3–1"
"Sunderland","3–1","2–2","2–0","1–0","0–1","1–1","1–1","0–2","3–2","3–1","2–0","2–1","1–1","4–1","3–1","1–1","2–1","1–1","3–0","7–0","","1–1","4–1","4–2"
"Walsall","2–0","3–2","4–2","1–1","1–1","0–0","2–1","1–0","0–0","2–1","0–1","0–0","3–2","2–1","1–0","2–1","2–1","1–0","5–2","2–1","2–2","","1–2","2–1"
"Wigan Athletic","4–0","0–0","1–1","3–3","1–1","1–0","0–2","1–0","1–2","2–1","1–3","1–1","0–1","2–1","2–2","2–1","2–0","2–0","3–0","1–0","2–2","3–1","","1–1"
"York City","2–2","1–3","1–1","0–2","0–1","0–4","1–1","2–0","1–0","1–1","1–3","0–2","0–2","2–2","2–2","3–5","2–3","1–1","1–2","0–3","2–1","1–3","3–1",""
